asset,slug,timeframe,window_start_unix,outcome_up,strike_price,settlement_price,abs_move_pct,btc_close_at_ws,ret_5m,ret_15m,ret_1h,oi_now,oi_delta_5m,oi_delta_15m,oi_delta_1h,oiv_delta_5m,ls_count,ls_count_delta_5m,ls_top_count,ls_top_sum,smart_minus_retail,taker_ratio,taker_delta_5m,book_skew,entry_yes_ask,entry_no_ask,votes_up,prob_a,prob_b
btc,btc-updown-15m-1776888900,15m,1776888900,0,78748.46,78595.13,0.0019470856953901,78750.0,-2.2729900403949207e-05,-0.0011789872609869,-0.0018184091834994,104355.318,0.0001199220204977,0.0003525451913672,-0.0023743523220463,-0.0003043447197779,0.52211473,-0.0006804,0.55079173,0.877634,0.028677,0.975683,-0.0407309999999999,0.1236990070582605,0.57,0.44,0,0.4406779661016949,0.4983991462113128
btc,btc-updown-15m-1776889800,15m,1776889800,0,78595.13,78513.37,0.0010402680166061,78593.43,7.634517336169273e-05,-0.0019901695504949,-0.0056660718025753,104366.147,-0.0003581870779999,0.0001037704662065,-0.001835267778884,0.0001473140311001,0.51705267,0.00044573,0.54834179,0.871856,0.03128912,1.624617,0.858382,-0.6112553926724046,0.57,0.44,1,0.5,0.4983991462113128
btc,btc-updown-15m-1776890700,15m,1776890700,0,78513.37,78436.69,0.0009766489452688,78496.97,-0.000628616459606,-0.0012280828379494,-0.0042848579655994,104493.314,-9.042823020444236e-05,0.0012184698166541,0.0009601881933223,-0.0002537293489631,0.51608465,0.00019348,0.54840939,0.875004,0.0323247399999999,0.462196,0.060126,-0.0433562090488464,0.55,0.46,0,0.4406779661016949,0.4983991462113128
btc,btc-updown-15m-1776891600,15m,1776891600,1,78436.69,78584.0,0.0018780751711985,78473.79,0.000525663920905,-0.0002953416313777,-0.004692581280809,104270.767,-0.0004205066840478,-0.0021297726283232,-0.0004579626933239,-0.0005313659178486,0.51333138,-0.0001395299999999,0.54746048,0.87555,0.0341291,1.318064,0.8394709999999999,0.65,0.63,0.38,1,0.5,0.4983991462113128
btc,btc-updown-15m-1776892500,15m,1776892500,0,78584.0,78580.08,4.98829278224e-05,78593.57,0.000213399002161,0.0015252057871207,-0.0019883882327012,104234.051,-0.0002463750676219,-0.0003521217025286,-0.0011620586504272,-0.0002527394875082,0.5157991,0.0001196299999999,0.54944981,0.876602,0.03365071,1.417819,-0.9346980000000004,0.354042214257268,0.53,0.48,2,0.457516339869281,0.4983991462113128
btc,btc-updown-15m-1776893400,15m,1776893400,1,78580.08,78750.0,0.0021623800841129,78613.27,0.0004870592849205,0.0002506252285602,0.0002524065463538,104280.19,0.000612591030344,0.0004426480555763,-0.0008236099776682,0.0007869005553917,0.51645729,0.00010577,0.54977575,0.876774,0.03331846,2.463413,2.083104,0.1431879388890286,0.51,0.5,3,0.559322033898305,0.4983991462113128
btc,btc-updown-15m-1776894300,15m,1776894300,1,78750.0,78762.68,0.0001610158730158,78742.88,0.0003160150026731,0.0016473462182539,0.0031278356025572,104217.459,-9.176123163379124e-05,-0.0006015620032913,-0.0026399296705241,0.0001471290325529,0.51890422,0.0006466299999999,0.55142198,0.87346,0.0325177599999999,0.900826,-1.522166,-0.0501076531610882,0.44,0.57,3,0.559322033898305,0.4983991462113128
btc,btc-updown-15m-1776895200,15m,1776895200,1,78762.68,78762.62,7.617821028e-07,78810.83,0.0004039600833741,0.0008625630486642,0.0042857402825991,104242.041,-8.776878146177225e-05,0.0002358721872119,-0.0002754942811536,5.465790945380356e-05,0.51983852,3.264999999996743e-05,0.55180726,0.874281,0.03196874,1.927886,1.640675,0.486093814860938,0.43,0.58,3,0.559322033898305,0.4983991462113128
btc,btc-updown-15m-1776896100,15m,1776896100,0,78762.62,78541.6,0.0028061534773728,78747.39,-0.0006172267647334,-0.0008052896691567,0.0019552448263217,104334.796,0.0002796589322995,0.0008898041434166,0.0009665267638883,-9.659108717974264e-05,0.52019213,0.00050452,0.55229619,0.871017,0.0321040599999999,1.04118,-1.3852970000000002,0.9600175302565486,0.44,0.57,1,0.5,0.4983991462113128
btc,btc-updown-15m-1776897000,15m,1776897000,0,78541.6,78499.86,0.0005314381168705,78587.6,-0.0001232942939014,-0.0020312081239976,-0.000326588526236,104361.407,0.0002500207959297,0.0002550539323429,0.0007788344075705,-0.0008234923042094,0.51813315,-0.0007649499999999,0.55060294,0.870138,0.0324697899999999,0.70943,0.1229,-0.9440089585666294,0.56,0.45,0,0.4406779661016949,0.4983991462113128
btc,btc-updown-15m-1776897900,15m,1776897900,1,78499.86,78607.95,0.0013769451308575,78525.32,-0.0002884004041296,-0.0007928056236511,-0.0027667403681411,104322.036,-0.0002544452278976,-0.0003772563166,0.0010034499114011,-0.0008862831288183,0.51897879,0.0001759599999999,0.55159086,0.869497,0.0326120699999999,2.096934,1.332084,-0.8700235883117509,0.57,0.45,0,0.4406779661016949,0.4983991462113128
