slug,outcome,taker_side,n_trades,total_size
btc-updown-15m-1776875400,Down,buy,4,50.110990
btc-updown-15m-1776875400,Up,buy,26,841.247660
btc-updown-15m-1776875400,Up,sell,2,23.020000
btc-updown-15m-1776876300,Down,buy,9,119.949497
btc-updown-15m-1776876300,Up,buy,20,616.749014
btc-updown-15m-1776876300,Up,sell,1,8.590000
btc-updown-15m-1776877200,Down,buy,6,102.416058
btc-updown-15m-1776877200,Up,buy,10,1232.803496
btc-updown-15m-1776878100,Down,buy,2,20.980391
btc-updown-15m-1776878100,Down,sell,1,9.000000
btc-updown-15m-1776878100,Up,buy,7,327.880000
btc-updown-15m-1776879000,Down,buy,3,31.037734
btc-updown-15m-1776879000,Up,buy,10,284.797273
btc-updown-15m-1776879000,Up,sell,1,20.000000
btc-updown-15m-1776879900,Down,buy,2,81.310000
btc-updown-15m-1776879900,Up,buy,5,27.471957
btc-updown-15m-1776880800,Down,buy,13,333.857139
btc-updown-15m-1776880800,Down,sell,1,10.000000
btc-updown-15m-1776880800,Up,buy,9,245.061876
btc-updown-15m-1776881700,Down,buy,9,141.782511
btc-updown-15m-1776881700,Up,buy,11,96.928040
btc-updown-15m-1776882600,Down,buy,5,153.070000
btc-updown-15m-1776882600,Down,sell,1,5.000000
btc-updown-15m-1776882600,Up,buy,11,97.635685
btc-updown-15m-1776883500,Down,buy,3,13.050000
btc-updown-15m-1776883500,Up,buy,9,51.611899
btc-updown-15m-1776883500,Up,sell,1,20.000000
btc-updown-15m-1776884400,Down,buy,5,382.672722
btc-updown-15m-1776884400,Down,sell,1,8.790000
btc-updown-15m-1776884400,Up,buy,15,385.270283
btc-updown-15m-1776885300,Down,buy,3,14.000000
btc-updown-15m-1776885300,Down,sell,1,20.000000
btc-updown-15m-1776885300,Up,buy,11,181.099990
btc-updown-15m-1776885300,Up,sell,1,9.540000
btc-updown-15m-1776886200,Down,buy,3,22.790997
btc-updown-15m-1776886200,Up,buy,10,72.515810
btc-updown-15m-1776886200,Up,sell,1,20.000000
btc-updown-15m-1776887100,Down,buy,3,20.475110
btc-updown-15m-1776887100,Up,buy,10,210.009488
btc-updown-15m-1776887100,Up,sell,1,20.000000
btc-updown-15m-1776888000,Down,buy,7,44.200262
btc-updown-15m-1776888000,Down,sell,1,10.000000
btc-updown-15m-1776888000,Up,buy,5,40.946147
btc-updown-15m-1776888900,Down,buy,9,48.748372
btc-updown-15m-1776888900,Up,buy,14,309.880071
btc-updown-15m-1776889800,Down,buy,9,49.986275
btc-updown-15m-1776889800,Up,buy,10,221.080929
btc-updown-15m-1776890700,Down,buy,5,27.995580
btc-updown-15m-1776890700,Up,buy,7,466.978069
btc-updown-15m-1776891600,Down,buy,18,209.481968
btc-updown-15m-1776891600,Up,buy,14,4521.657317
btc-updown-15m-1776892500,Down,buy,2,204.081631
btc-updown-15m-1776892500,Down,sell,1,20.000000
btc-updown-15m-1776892500,Up,buy,2,93.210000
btc-updown-15m-1776893400,Down,buy,1,18.000000
btc-updown-15m-1776893400,Up,sell,1,10.000000
btc-updown-15m-1776894300,Down,buy,5,947.124306
btc-updown-15m-1776894300,Up,buy,6,45.100000
btc-updown-15m-1776894300,Up,sell,1,0.880000
btc-updown-15m-1776895200,Down,buy,4,19.362063
btc-updown-15m-1776895200,Up,buy,2,21.727905
btc-updown-15m-1776896100,Down,buy,7,169.685809
btc-updown-15m-1776896100,Up,buy,5,45.276326
btc-updown-15m-1776897000,Down,buy,5,34.395022
btc-updown-15m-1776897000,Down,sell,1,7.140000
btc-updown-15m-1776897000,Up,buy,15,282.991817
btc-updown-15m-1776897000,Up,sell,1,57.700000
btc-updown-15m-1776897900,Down,buy,11,146.600438
btc-updown-15m-1776897900,Down,sell,2,17.000000
btc-updown-15m-1776897900,Up,buy,21,1165.594933
btc-updown-15m-1776898800,Down,buy,6,36.823525
btc-updown-15m-1776898800,Down,sell,1,20.000000
btc-updown-15m-1776898800,Up,buy,9,58.190000
btc-updown-15m-1776898800,Up,sell,1,9.000000
btc-updown-15m-1776899700,Down,buy,5,27.801881
btc-updown-15m-1776899700,Down,sell,1,6.730000
btc-updown-15m-1776899700,Up,buy,5,49.516665
