asset,slug,timeframe,window_start_unix,outcome_up,strike_price,settlement_price,abs_move_pct,btc_close_at_ws,ret_5m,ret_15m,ret_1h,oi_now,oi_delta_5m,oi_delta_15m,oi_delta_1h,oiv_delta_5m,ls_count,ls_count_delta_5m,ls_top_count,ls_top_sum,smart_minus_retail,taker_ratio,taker_delta_5m,book_skew,entry_yes_ask,entry_no_ask,votes_up,prob_a,prob_b,prob_c
sol,sol-updown-15m-1776872700,15m,1776872700,0,88.3,88.19,0.0012457531143827,88.36,-0.0006788098461806,-0.0003394625209401,-0.0024867199431356,9567240.53,-0.0008010863090165,-0.001976628071565,-0.0163924163267726,-0.0026651204132912,1.54375508,0.0079394299999999,1.65990199,1.674778,0.1161469100000001,0.55581,-0.6387729999999999,-0.9830795262267344,0.69,0.32,0,0.4090909090909091,0.5173913043478258,0.5049767750497678
sol,sol-updown-15m-1776873600,15m,1776873600,1,88.19,88.24,0.0005669577049552,88.23,-0.0027164702612812,-0.001472337317903,-0.0050873435140973,9565766.72,0.0004247537286852,-0.0001540475537723,-0.0126888125423013,-0.0026304966220304,1.55045747,0.0018889500000001,1.66915848,1.671465,0.1187010100000001,0.402588,-1.445108,0.3333333333333333,0.54,0.47,0,0.4090909090909091,0.5173913043478258,0.5049767750497678
sol,sol-updown-15m-1776874500,15m,1776874500,0,88.24,87.89,0.0039664551223934,88.22,0.0010206975652246,-0.0001133465572197,-0.0021513907409193,9576401.6,0.0001030148542311,0.0011117645152023,-0.0033418515376297,0.000297068633273,1.54378688,-0.0056670099999998,1.66329733,1.670674,0.1195104499999999,0.714136,-0.178307,-0.049317943336831,0.56,0.45,1,0.4709302325581395,0.5173913043478258,0.5049767750497678
sol,sol-updown-15m-1776875400,15m,1776875400,0,87.89,87.83,0.0006826715212197,87.83,-0.0007966767621053,-0.0044305667477676,-0.0063557131438305,9594263.35,0.001609692090247,0.0018651838912018,0.000842304498474,0.0024081510180036,1.51371579,-0.0082303599999999,1.64618891,1.673763,0.13247312,1.060464,0.3619730000000001,-0.2662626911192263,0.56,0.45,0,0.4090909090909091,0.5173913043478258,0.5543478260869565
sol,sol-updown-15m-1776876300,15m,1776876300,0,87.83,87.65,0.0020494136399863,87.74,-0.0019356681250193,-0.0010252321909581,-0.0070414828138485,9611252.1,-0.000117095898501,0.0017707195831766,0.0046002365950759,-0.0012216785634044,1.5129634,-0.0014473099999998,1.64613021,1.670904,0.1331668099999998,0.622235,-0.298598,0.2312312312312312,0.54,0.47,0,0.4090909090909091,0.5173913043478258,0.5087209302325583
sol,sol-updown-15m-1776877200,15m,1776877200,1,87.65,87.89,0.0027381631488876,87.63,0.0005707436945068,-0.0012544906703085,-0.0068236361662541,9633418.43,4.162662452311672e-05,0.0023062895208003,0.0070722726133969,0.0004098352380719,1.50884645,-0.0001491799999999,1.64721203,1.670432,0.1383655799999998,1.103034,0.5142740000000001,0.6,0.59,0.43,1,0.4709302325581395,0.5173913043478258,0.5555555555555556
sol,sol-updown-15m-1776878100,15m,1776878100,0,87.89,87.88,0.0001137785868699,87.88,-0.0006825162362545,0.00284884244865,-0.0038614471603842,9632918.66,-0.0003955874733091,-5.187878047974159e-05,0.0059017011149575,-5.6923050875901104e-05,1.52198744,0.0064927799999998,1.65568527,1.672615,0.13369783,1.208833,-0.3178399999999999,-0.3255412914351408,0.55,0.46,1,0.4709302325581395,0.5173913043478258,0.5049767750497678
sol,sol-updown-15m-1776879000,15m,1776879000,1,87.88,87.88,0.0,87.88,0.0002276089687758,0.0,0.0005691195873834,9642468.65,3.927986603891043e-05,0.0009913911180061,0.0050243878285871,0.0003995090544104,1.51903358,0.0004294,1.65231277,1.66522,0.1332791899999998,1.540078,0.5391600000000001,0.4689742507387083,0.59,0.49,2,0.5833333333333334,0.5173913043478258,0.5087209302325583
sol,sol-updown-15m-1776879900,15m,1776879900,0,87.88,87.83,0.0005689576695493,87.76,-0.0022763497195855,-0.0013664315494345,0.0002279202289071,9640061.58,-0.0002593335612409,-0.0002496321312903,0.0029974741792486,-0.0005220019383038,1.52291024,0.00195958,1.65784701,1.667094,0.1349367699999999,0.671058,-0.633544,0.7360824742268042,0.47,0.55,1,0.4709302325581395,0.5173913043478258,0.5049767750497678
sol,sol-updown-15m-1776880800,15m,1776880800,1,87.83,88.13,0.0034156893999772,87.87,-0.0012510664128219,0.0012526335407769,0.0027350444399926,9617945.04,-0.0008245270544481,-0.0022942322324875,-0.0016062200674076,-0.0027475030340033,1.52503437,0.0065629499999999,1.65916004,1.670339,0.1341256699999999,0.325946,-1.624601,0.8324396782841823,0.54,0.47,2,0.5833333333333334,0.5173913043478258,0.5087209302325583
