depth,gates,offset,direction,train_n,train_wr,train_dpt,val_n,val_wr,val_dpt,lock_n,lock_wr,lock_dpt,lock_dd,lock_streak,lock_days,lock_sharpe,pass_count,bootstrap_p,sum_25_28d,gate_stack_str
3,"['g_tr_stack_full_with', 'g_rf_fresh', 'g_vwap_20_80']",480,UP,60,0.7833333333333333,7.133511704704827,24,0.7083333333333334,3.750010182957143,16,0.75,6.537290453290067,25.0,2,4,12.300688727270368,7,0.08,732.1765307684875,g_tr_stack_full_with+g_rf_fresh+g_vwap_20_80
2,"['g_tr_stack_full_with', 'g_rf_fresh']",480,UP,106,0.8490566037735849,4.814142190817161,41,0.7804878048780488,2.521534468044007,25,0.76,3.404792439029228,68.310990284013,1,4,8.394563609121548,7,0.15,595.8386768301149,g_tr_stack_full_with+g_rf_fresh
1,['g_regime_stack_full_with'],840,BOTH,209,0.46411483253588515,-0.590453351814728,87,0.5862068965517241,,64,0.578125,7.055653263934143,107.08825657699884,3,4,26.05006438081165,6,,,g_regime_stack_full_with
1,['g_vol_high'],840,BOTH,187,0.48128342245989303,0.8785900073934518,26,0.46153846153846156,,35,0.5142857142857142,4.26124861750454,92.48315422143624,2,4,12.906350774633943,6,,,g_vol_high
1,['g_lm_jump_against'],60,BOTH,353,0.4730878186968839,-2.393082297052936,151,0.5033112582781457,,17,0.7647058823529411,15.564273665862649,50.0,2,2,9.803954840961689,6,,,g_lm_jump_against
1,['g_mp_change_with'],600,BOTH,198,0.4797979797979798,-2.048713178496181,73,0.589041095890411,,30,0.5333333333333333,8.033946869053699,106.1740616631098,4,4,8.916494512500647,6,,,g_mp_change_with
1,['g_rf_in_band'],840,BOTH,124,0.46774193548387094,0.1104559594919064,41,0.4878048780487805,,34,0.5,5.27781242507392,141.86290189309577,2,4,5.977625699185377,6,,,g_rf_in_band
1,['g_mp_change_with'],840,BOTH,50,0.48,0.8818855304158751,17,0.47058823529411764,,13,0.46153846153846156,5.364698205649227,114.48725941551923,3,4,3.245963354040742,6,,,g_mp_change_with
1,['g_regime_stack_with'],840,BOTH,313,0.476038338658147,-1.0855859734279205,123,0.5284552845528455,,85,0.6,8.059583694495496,130.0057489033544,4,4,38.80437147600141,5,,,g_regime_stack_with
1,['g_cci_with'],840,BOTH,303,0.5115511551155115,0.6864801092446,121,0.5289256198347108,,84,0.5714285714285714,4.021795370055632,147.5696198772523,5,4,36.90254965520755,5,,,g_cci_with
1,['g_di_agrees'],840,BOTH,313,0.4696485623003195,-0.4064114649020206,122,0.45081967213114754,,86,0.5697674418604651,6.221185593915147,150.0,6,4,29.685105771865466,5,,,g_di_agrees
1,['g_hawkes_imb_strong_with'],840,BOTH,167,0.5568862275449101,4.590809951441522,74,0.47297297297297297,,80,0.55,5.648216831794693,231.22795746742844,6,4,24.61853066306518,5,,,g_hawkes_imb_strong_with
1,['g_hawkes_imb_loose_with'],840,BOTH,232,0.5689655172413793,5.221855368823855,110,0.4818181818181818,,84,0.5595238095238095,5.26799054490065,218.29632118271428,6,4,23.795881154906663,5,,,g_hawkes_imb_loose_with
1,['g_hawkes_imbalance_with'],840,BOTH,206,0.5533980582524272,4.863977190506699,94,0.46808510638297873,,84,0.5595238095238095,5.26799054490065,218.29632118271428,6,4,23.795881154906663,5,,,g_hawkes_imbalance_with
1,['g_tr_above_pp'],840,BOTH,315,0.4634920634920635,-2.309790160081245,126,0.5158730158730159,,88,0.5,3.328965352609336,167.61110947934193,6,4,13.808008314306893,5,,,g_tr_above_pp
1,['g_mp_skew_strong_with'],840,BOTH,310,0.5161290322580645,0.30362206978600004,123,0.5772357723577236,,87,0.5977011494252874,3.2743124534940535,129.1296314324861,4,4,12.093508771802409,5,,,g_mp_skew_strong_with
1,['g_mp_skew_with'],840,BOTH,310,0.5161290322580645,0.30362206978600004,123,0.5772357723577236,,87,0.5977011494252874,3.2743124534940535,129.1296314324861,4,4,12.093508771802409,5,,,g_mp_skew_with
1,['g_vol_expanding'],840,BOTH,354,0.4830508474576271,0.049239728121269546,96,0.4791666666666667,,83,0.5060240963855421,3.460464193140276,128.84793154342157,2,4,11.151968914869316,5,,,g_vol_expanding
1,['g_ribbon_slope_with'],840,BOTH,303,0.5346534653465347,2.593638743871791,122,0.5737704918032787,,86,0.5232558139534884,3.7726192694128615,157.23037752519554,5,4,11.141972717399057,5,,,g_ribbon_slope_with
3,"['g_hawkes_imb_strong_with', 'g_mp_no_extreme', 'g_trend_slope_with']",ALL,DOWN,673,0.5839524517087668,4.449057541940924,278,0.5179856115107914,0.05169495884040144,46,0.6956521739130435,13.764637023485912,150.0,6,2,10.921848669451744,5,,,g_hawkes_imb_strong_with+g_mp_no_extreme+g_trend_slope_with
1,['g_mp_change_with'],360,BOTH,250,0.512,-1.666983286103048,88,0.48863636363636365,,45,0.5333333333333333,6.754750950492629,206.82610730869885,7,4,10.80678447728294,5,,,g_mp_change_with
1,['g_lm_jump_against'],120,BOTH,357,0.46218487394957986,-2.674850806738851,159,0.5157232704402516,,17,0.7058823529411765,11.83020247772271,57.33916007647548,2,2,10.408653001461548,5,,,g_lm_jump_against
1,['g_lm_jump_against'],240,BOTH,346,0.48554913294797686,-0.8405758390042294,155,0.49032258064516127,,19,0.7368421052631579,11.98085245878211,62.96704179953247,2,2,9.904760576403644,5,,,g_lm_jump_against
1,['g_regime_trending_either'],720,BOTH,194,0.4793814432989691,-4.378626300578335,100,0.51,,13,0.5384615384615384,6.4385632801561234,83.91348823037181,2,2,9.677183474152503,5,,,g_regime_trending_either
1,['g_lm_jump_against'],360,BOTH,316,0.46835443037974683,-0.10513990694596886,132,0.48484848484848486,,18,0.7222222222222222,9.302436636874354,86.33692325251741,2,2,9.142157596052334,5,,,g_lm_jump_against
1,['g_lm_jump_against'],480,BOTH,269,0.49070631970260226,-0.31289045029581136,120,0.49166666666666664,,16,0.6875,4.981332299454438,77.15550618346975,2,2,8.812483252259462,5,,,g_lm_jump_against
1,['g_lm_jump_against'],600,BOTH,216,0.4861111111111111,-0.6212691564389701,96,0.5208333333333334,,11,0.7272727272727273,6.172729028677988,50.0,2,2,7.088706411296176,5,,,g_lm_jump_against
3,"['g_off_0_60', 'g_hawkes_imbalance_with', 'g_mp_no_extreme']",ALL,DOWN,387,0.524547803617571,1.1626670088654611,143,0.5314685314685315,2.0634900562600977,28,0.5714285714285714,3.517824445610472,75.0,3,2,6.458605834438768,5,,,g_off_0_60+g_hawkes_imbalance_with+g_mp_no_extreme
1,['g_rf_in_band'],360,BOTH,478,0.48535564853556484,-1.974519668515594,98,0.47959183673469385,,64,0.5,1.2108737997351242,131.69931935995444,2,4,5.550757047468211,5,,,g_rf_in_band
1,['g_lm_high_stat'],840,BOTH,169,0.46745562130177515,0.6922255020861652,59,0.4915254237288136,,11,0.45454545454545453,4.249114107917458,91.00980381942028,2,2,2.843262055563046,5,,,g_lm_high_stat
