depth,gates,train_n,train_wr,train_dpt,val_n,val_wr,lock_n,lock_wr,lock_dpt,lock_dd,lock_streak,offset,direction
1,['g_in_eu_us_brinks'],114,0.5614035087719298,3.67035519705672,53,0.5283018867924528,53,0.6415094339622641,5.687720156730516,78.18011503173827,3.0,480,DOWN
2,"['g_in_eu_us_brinks', 'g_lm_extreme_against']",32,0.5,18.744893850939217,7,0.42857142857142855,14,0.5,-10.084630531035023,116.6848269479218,2.0,480,DOWN
1,['g_in_eu_us_brinks'],114,0.43859649122807015,7.1383344280856855,52,0.5192307692307693,53,0.33962264150943394,-3.3665564952074187,739.4419755434951,5.0,600,UP
2,"['g_in_eu_us_brinks', 'g_vol_high']",31,0.4838709677419355,42.02930077136917,12,0.75,15,0.2,-19.75963348927478,271.3945023391217,5.0,600,UP
1,['g_mp_change_with'],143,0.5104895104895105,4.296851435922307,61,0.5737704918032787,49,0.4897959183673469,16.23394130934681,407.7331760538982,11.0,600,DOWN
2,"['g_mp_change_with', 'g_hawkes_imb_with_loose']",51,0.47058823529411764,22.969104840330466,29,0.5172413793103449,14,0.6428571428571429,8.797450348672417,61.27053055713388,2.0,600,DOWN
3,"['g_mp_change_with', 'g_hawkes_imb_with_loose', 'g_imb_change_with']",41,0.5365853658536586,33.17427172476889,22,0.5909090909090909,11,0.5454545454545454,9.959567395384862,72.45924799943688,2.0,600,DOWN
1,['g_in_eu_us_brinks'],97,0.3711340206185567,14.210480464629926,49,0.4489795918367347,48,0.2916666666666667,-15.020308052497008,761.7062027532048,7.0,720,UP
2,"['g_in_eu_us_brinks', 'g_adx_strong']",36,0.3888888888888889,56.162419107605125,30,0.4,19,0.21052631578947367,-17.513039492076402,373.4791665828001,11.0,720,UP
1,['g_hawkes_imbalance_with'],349,0.4899713467048711,1.0362814876977176,205,0.5073170731707317,148,0.4864864864864865,0.10517975590862769,738.4454691719393,5.0,720,DOWN
2,"['g_hawkes_imbalance_with', 'g_f7_rsi_mid']",154,0.512987012987013,11.463543063707654,91,0.4835164835164835,68,0.4852941176470588,-5.006094741422873,524.4350048059908,5.0,720,DOWN
3,"['g_hawkes_imbalance_with', 'g_f7_rsi_mid', 'g_adx_strong']",41,0.6097560975609756,26.39371403406527,39,0.4358974358974359,19,0.6842105263157895,-4.301640812180302,104.2008280536412,2.0,720,DOWN
1,['g_book_slope_with_us'],82,0.47560975609756095,19.713378480497042,43,0.3488372093023256,37,0.5135135135135135,-1.7639557692242769,272.9738425789991,5.0,840,UP
2,"['g_book_slope_with_us', 'g_hawkes_imbalance_with']",32,0.53125,72.07941577202534,11,0.36363636363636365,11,0.6363636363636364,-8.714553284941186,100.0,4.0,840,UP
1,['g_tr_above_ema800'],294,0.7380952380952381,9.405170076808103,157,0.7261146496815286,123,0.6910569105691057,2.749522991070343,193.92874789445267,4.0,840,DOWN
2,"['g_tr_above_ema800', 'g_hawkes_imbalance_with']",137,0.7591240875912408,25.60419968644573,71,0.7323943661971831,41,0.7073170731707317,-3.366438416011961,193.41261143602102,2.0,840,DOWN
3,"['g_tr_above_ema800', 'g_hawkes_imbalance_with', 'g_vpin_calm']",64,0.8125,49.19160522699135,58,0.7068965517241379,24,0.7083333333333334,-2.7110897115423795,120.45478945654774,2.0,840,DOWN
4,"['g_tr_above_ema800', 'g_hawkes_imbalance_with', 'g_vpin_calm', 'g_queue_top_high']",36,0.8888888888888888,85.29124044118751,28,0.7142857142857143,16,0.8125,1.511138087359318,69.9230135990288,2.0,840,DOWN
