depth,gates,train_n,train_wr,train_dpt,val_n,val_wr,val_dpt,lock_n,lock_wr,lock_dpt,lock_dd,lock_streak,lock_days,lock_sharpe,offset,direction,bootstrap_p,sum_25_28d,gate_stack_str
2,"['g_tr_stack_full_with', 'g_rf_fresh']",106,0.8490566037735849,4.814142190817161,41,0.7804878048780488,2.521534468044007,25,0.76,3.404792439029228,68.310990284013,1,4,8.394563609121548,480,UP,0.15,595.8386768301149,g_tr_stack_full_with+g_rf_fresh
3,"['g_tr_stack_full_with', 'g_rf_fresh', 'g_vwap_20_80']",60,0.7833333333333333,7.133511704704827,24,0.7083333333333334,3.750010182957143,16,0.75,6.537290453290067,25.0,2,4,12.300688727270368,480,UP,0.08,732.1765307684875,g_tr_stack_full_with+g_rf_fresh+g_vwap_20_80
