depth,gates,train_n,train_wr,train_dpt,val_n,val_wr,lock_n,lock_wr,lock_dpt,lock_dd,lock_streak,offset,direction,bootstrap_p,sharpe,sum_25_28d,gate_count,gate_stack_str
4,"['g_in_eu_us_brinks', 'g_hawkes_imbalance_with', 'g_f7_rsi_mid', 'g_vol_high']",69,0.4492753623188406,93.89971807149429,18,1.0,26,1.0,10.776913749249672,-0.0,0,ALL,BOTH,0.001,777.560654739393,1569.1186418907523,4,g_in_eu_us_brinks+g_hawkes_imbalance_with+g_f7_rsi_mid+g_vol_high
5,"['g_in_eu_us_brinks', 'g_hawkes_imbalance_with', 'g_f7_rsi_mid', 'g_vol_high', 'g_sms_rsi_mid']",38,0.6052631578947368,182.98047676249544,7,1.0,13,1.0,14.005688595239159,-0.0,0,ALL,BOTH,0.001,34.02199624600577,1019.6141297334107,5,g_in_eu_us_brinks+g_hawkes_imbalance_with+g_f7_rsi_mid+g_vol_high+g_sms_rsi_mid
