depth,gates,train_n,train_wr,train_dpt,val_n,val_wr,lock_n,lock_wr,lock_dpt,lock_dd,lock_streak,offset,direction
1,['g_in_eu_us_brinks'],870,0.43333333333333335,3.6558355226673647,404,0.47277227722772275,401,0.32917705735660846,-9.006904562225591,4858.428077335866,39,ALL,UP
2,"['g_in_eu_us_brinks', 'g_vol_high']",233,0.44206008583690987,26.61133809096848,106,0.5471698113207547,112,0.1875,-19.003405971909242,2103.381468853835,37,ALL,UP
3,"['g_in_eu_us_brinks', 'g_vol_high', 'g_sms_rsi_mid']",112,0.5357142857142857,67.4315420438492,28,0.4642857142857143,44,0.0,-25.0,1075.0,44,ALL,UP
4,"['g_in_eu_us_brinks', 'g_vol_high', 'g_sms_rsi_mid', 'g_trend_slope_with']",40,0.625,197.68169956914136,7,1.0,7,0.0,-25.0,150.0,7,ALL,UP
1,['g_hawkes_imbalance_with'],2936,0.4989782016348774,1.358941875618539,1692,0.5195035460992907,1258,0.5294117647058824,-0.7181910342216922,4057.8657220270734,38,ALL,DOWN
2,"['g_hawkes_imbalance_with', 'g_f7_rsi_mid']",1254,0.529505582137161,4.390325680169694,728,0.48214285714285715,564,0.5195035460992907,-2.662226736644683,2780.766806826361,37,ALL,DOWN
3,"['g_hawkes_imbalance_with', 'g_f7_rsi_mid', 'g_vol_expanding']",574,0.6341463414634146,9.924703395126713,289,0.38408304498269896,341,0.4633431085043988,-4.502633721260258,2562.191529499359,32,ALL,DOWN
4,"['g_hawkes_imbalance_with', 'g_f7_rsi_mid', 'g_vol_expanding', 'g_adx_strong']",197,0.7715736040609137,18.792280652651463,181,0.35359116022099446,116,0.6551724137931034,-0.12454478468284325,587.2089623635156,16,ALL,DOWN
5,"['g_hawkes_imbalance_with', 'g_f7_rsi_mid', 'g_vol_expanding', 'g_adx_strong', 'g_queue_top_high']",109,0.8532110091743119,29.248532360231465,68,0.38235294117647056,49,0.8367346938775511,6.2329059263535065,75.0,3,ALL,DOWN
6,"['g_hawkes_imbalance_with', 'g_f7_rsi_mid', 'g_vol_expanding', 'g_adx_strong', 'g_queue_top_high', 'g_ribbon_agrees']",67,0.8059701492537313,42.508136590655525,41,0.4878048780487805,32,0.875,8.99628236861389,50.0,2,ALL,DOWN
7,"['g_hawkes_imbalance_with', 'g_f7_rsi_mid', 'g_vol_expanding', 'g_adx_strong', 'g_queue_top_high', 'g_ribbon_agrees', 'g_tight_ribbon']",65,0.8,43.4749117491453,39,0.46153846153846156,25,0.84,7.941954852382879,50.0,2,ALL,DOWN
8,"['g_hawkes_imbalance_with', 'g_f7_rsi_mid', 'g_vol_expanding', 'g_adx_strong', 'g_queue_top_high', 'g_ribbon_agrees', 'g_tight_ribbon', 'g_adx_trending']",65,0.8,43.4749117491453,39,0.46153846153846156,25,0.84,7.941954852382879,50.0,2,ALL,DOWN
1,['g_in_eu_us_brinks'],1752,0.488013698630137,2.6411282088699783,806,0.47890818858560796,790,0.4759493670886076,-3.181398516242844,3446.5718638253593,5,ALL,BOTH
2,"['g_in_eu_us_brinks', 'g_hawkes_imbalance_with']",723,0.5283540802213001,11.900143230053681,326,0.5766871165644172,291,0.5945017182130584,0.32901355041068026,1218.3395181760952,28,ALL,BOTH
3,"['g_in_eu_us_brinks', 'g_hawkes_imbalance_with', 'g_f7_rsi_mid']",335,0.564179104477612,28.193876170545906,116,0.6637931034482759,136,0.6691176470588235,-0.08349342663937624,723.7594032062874,22,ALL,BOTH
4,"['g_in_eu_us_brinks', 'g_hawkes_imbalance_with', 'g_f7_rsi_mid', 'g_vol_high']",69,0.4492753623188406,93.89971807149429,18,1.0,26,1.0,10.776913749249672,-0.0,0,ALL,BOTH
5,"['g_in_eu_us_brinks', 'g_hawkes_imbalance_with', 'g_f7_rsi_mid', 'g_vol_high', 'g_sms_rsi_mid']",38,0.6052631578947368,182.98047676249544,7,1.0,13,1.0,14.005688595239159,-0.0,0,ALL,BOTH
