mode,fill,asset,slug,direction,slot_start_us,won,entry_vwap,fe,dev,fair_up,pnl,pnl07,iso,in_base
live_causal,A_poly_prewin,BTC,btc-updown-15m-1778919300,UP,1778919300000000,False,0.5199999809265137,1968.7271754716385,8.265929431105535,0.7168726984736775,-25.0,-25.0,2026-W20,True
live_causal,B_kalshi_inwin60,BTC,btc-updown-15m-1778919300,UP,1778919300000000,False,0.550000011920929,1968.7271754716385,8.265929431105535,0.7168726984736775,-25.0,-25.787499979138374,2026-W20,True
orig_lookahead,A_poly_prewin,BTC,btc-updown-15m-1778919300,UP,1778919300000000,False,0.5199999809265137,3657.235033872116,8.265929431105535,0.8857234843137253,-25.0,-25.0,2026-W20,True
orig_lookahead,B_kalshi_inwin60,BTC,btc-updown-15m-1778919300,UP,1778919300000000,False,0.550000011920929,3657.235033872116,8.265929431105535,0.8857234843137253,-25.0,-25.787499979138374,2026-W20,True
live_causal,A_poly_prewin,BTC,btc-updown-15m-1778940000,UP,1778940000000000,False,0.5099999904632568,2980.824737644878,9.118024596965734,0.8080824642277447,-25.0,-25.0,2026-W20,True
live_causal,B_kalshi_inwin60,BTC,btc-updown-15m-1778940000,UP,1778940000000000,False,0.41999998688697815,2980.824737644878,9.118024596965734,0.8080824642277447,-25.0,-26.01500002294779,2026-W20,True
orig_lookahead,A_poly_prewin,BTC,btc-updown-15m-1778940000,UP,1778940000000000,False,0.5099999904632568,1566.3163962107262,9.118024596965734,0.6666316300843295,-25.0,-25.0,2026-W20,True
orig_lookahead,B_kalshi_inwin60,BTC,btc-updown-15m-1778940000,UP,1778940000000000,False,0.41999998688697815,1566.3163962107262,9.118024596965734,0.6666316300843295,-25.0,-26.01500002294779,2026-W20,True
orig_lookahead,A_poly_prewin,BTC,btc-updown-15m-1778980500,UP,1778980500000000,False,0.5400000214576721,1486.4495042044412,20.47846030644277,0.6886449718781162,-25.0,-25.0,2026-W20,True
orig_lookahead,B_kalshi_inwin60,BTC,btc-updown-15m-1778980500,UP,1778980500000000,False,0.6000000238418579,1486.4495042044412,20.47846030644277,0.6886449718781162,-25.0,-25.69999995827675,2026-W20,True
orig_lookahead,A_poly_prewin,BTC,btc-updown-15m-1778982300,DOWN,1778982300000000,True,0.4699999988079071,508.5094416467106,-12.978092237219874,0.47914905702742183,27.627659706683005,27.26398949452915,2026-W20,True
orig_lookahead,B_kalshi_inwin60,BTC,btc-updown-15m-1778982300,DOWN,1778982300000000,True,0.44999998807907104,508.5094416467106,-12.978092237219874,0.47914905702742183,29.944445886729717,29.593057006413595,2026-W20,True
live_causal,A_poly_prewin,BTC,btc-updown-15m-1778993100,UP,1778993100000000,False,0.47999998927116394,2934.248734090763,8.699892279184164,0.7734248626802402,-25.0,-25.0,2026-W20,True
live_causal,B_kalshi_inwin60,BTC,btc-updown-15m-1778993100,UP,1778993100000000,False,0.4971225404118212,2934.248734090763,8.699892279184164,0.7734248626802402,-25.0,-25.88003555427931,2026-W20,True
orig_lookahead,A_poly_prewin,BTC,btc-updown-15m-1778993100,UP,1778993100000000,False,0.47999998927116394,2699.5771706779046,8.699892279184164,0.7499577063389544,-25.0,-25.0,2026-W20,True
orig_lookahead,B_kalshi_inwin60,BTC,btc-updown-15m-1778993100,UP,1778993100000000,False,0.4971225404118212,2699.5771706779046,8.699892279184164,0.7499577063389544,-25.0,-25.88003555427931,2026-W20,True
live_causal,A_poly_prewin,BTC,btc-updown-15m-1779012000,UP,1779012000000000,True,0.4699999988079071,2521.9539693979486,10.200183738122576,0.722195395747702,27.627659706683005,27.26398949452915,2026-W20,True
live_causal,B_kalshi_inwin60,BTC,btc-updown-15m-1779012000,UP,1779012000000000,True,0.4554816216402273,2521.9539693979486,10.200183738122576,0.722195395747702,29.289217470012193,28.93404943992366,2026-W20,True
orig_lookahead,A_poly_prewin,BTC,btc-updown-15m-1779012000,UP,1779012000000000,True,0.4699999988079071,4461.368758913589,10.200183738122576,0.916136874699266,27.627659706683005,27.26398949452915,2026-W20,True
orig_lookahead,B_kalshi_inwin60,BTC,btc-updown-15m-1779012000,UP,1779012000000000,True,0.4554816216402273,4461.368758913589,10.200183738122576,0.916136874699266,29.289217470012193,28.93404943992366,2026-W20,True
live_causal,A_poly_prewin,BTC,btc-updown-15m-1779013800,UP,1779013800000000,False,0.4699999988079071,1736.8211088586327,13.299133964544092,0.6436821096937704,-25.0,-25.0,2026-W20,True
live_causal,B_kalshi_inwin60,BTC,btc-updown-15m-1779013800,UP,1779013800000000,False,0.39881472621949143,1736.8211088586327,13.299133964544092,0.6436821096937704,-25.0,-26.05207422911589,2026-W20,True
orig_lookahead,A_poly_prewin,BTC,btc-updown-15m-1779013800,UP,1779013800000000,False,0.4699999988079071,2588.1590476686824,13.299133964544092,0.7288159035747753,-25.0,-25.0,2026-W20,True
orig_lookahead,B_kalshi_inwin60,BTC,btc-updown-15m-1779013800,UP,1779013800000000,False,0.39881472621949143,2588.1590476686824,13.299133964544092,0.7288159035747753,-25.0,-26.05207422911589,2026-W20,True
orig_lookahead,A_poly_prewin,BTC,btc-updown-15m-1779062400,UP,1779062400000000,False,0.550000011920929,627.6610659841075,23.013358158665678,0.6127661185193397,-25.0,-25.000000000000004,2026-W21,True
orig_lookahead,B_kalshi_inwin60,BTC,btc-updown-15m-1779062400,UP,1779062400000000,False,0.44999998807907104,627.6610659841075,23.013358158665678,0.6127661185193397,-25.0,-25.96250002086163,2026-W21,True
orig_lookahead,A_poly_prewin,BTC,btc-updown-15m-1779063300,DOWN,1779063300000000,True,0.4637248793848549,2608.2707600051185,-18.976019244456484,0.2754480446146332,28.333050563299494,27.972794623922976,2026-W21,True
orig_lookahead,B_kalshi_inwin60,BTC,btc-updown-15m-1779063300,DOWN,1779063300000000,True,0.4300000071525574,2608.2707600051185,-18.976019244456484,0.2754480446146332,32.47674323830366,32.142033929153364,2026-W21,True
live_causal,A_poly_prewin,BTC,btc-updown-15m-1779066000,UP,1779066000000000,False,0.5299999713897705,722.2501369082357,19.41007836758858,0.6022249850805941,-25.0,-25.000000000000004,2026-W21,True
live_causal,B_kalshi_inwin60,BTC,btc-updown-15m-1779066000,UP,1779066000000000,False,0.45653037049746176,722.2501369082357,19.41007836758858,0.6022249850805941,-25.0,-25.951071851629443,2026-W21,True
orig_lookahead,A_poly_prewin,BTC,btc-updown-15m-1779066000,UP,1779066000000000,False,0.5299999713897705,642.9699335908278,19.41007836758858,0.5942969647488533,-25.0,-25.000000000000004,2026-W21,True
orig_lookahead,B_kalshi_inwin60,BTC,btc-updown-15m-1779066000,UP,1779066000000000,False,0.45653037049746176,642.9699335908278,19.41007836758858,0.5942969647488533,-25.0,-25.951071851629443,2026-W21,True
live_causal,A_poly_prewin,BTC,btc-updown-15m-1779084900,UP,1779084900000000,False,0.5220645970818956,1152.7666284515137,11.138888790563886,0.6373412599270469,-25.0,-25.0,2026-W21,True
live_causal,B_kalshi_inwin60,BTC,btc-updown-15m-1779084900,UP,1779084900000000,False,0.699999988079071,1152.7666284515137,11.138888790563886,0.6373412599270469,-25.0,-25.525000020861626,2026-W21,True
live_causal,A_poly_prewin,BTC,btc-updown-15m-1779104700,UP,1779104700000000,False,0.4699999988079071,973.2811471047631,22.965794758485934,0.5673281135183834,-25.0,-25.0,2026-W21,True
live_causal,B_kalshi_inwin60,BTC,btc-updown-15m-1779104700,UP,1779104700000000,False,0.3499999940395355,973.2811471047631,22.965794758485934,0.5673281135183834,-25.0,-26.137500010430813,2026-W21,True
