asset,slug,direction,leg,slot_start_us,slot_end_us,fire_us,dev_bps,fair_edge_bp,fair_up,cvd_30s,sigma,s_now,strike,tau_s,won,in_baseline,iso_week,iso_year,variant,fill_ts_us,entry_vwap,shares,pnl_07,pnl_legacy
BTC,btc-updown-15m-1778919300,UP,Up,1778919300000000,1778920200000000,1778919180000000,8.265929431105535,2286.4886491828483,0.7486488458447985,182383.89659519997,2.778194812850634e-05,78466.65,78420.0,1020.0,False,True,20,2026,A_poly_prewindow,1778919180000000,0.5199999809265137,48.07692484037417,-25.0,-25.0
BTC,btc-updown-15m-1778919300,UP,Up,1778919300000000,1778920200000000,1778919180000000,8.265929431105535,2286.4886491828483,0.7486488458447985,182383.89659519997,2.778194812850634e-05,78466.65,78420.0,1020.0,False,True,20,2026,B_kalshi_inwin60,1778919360000000,0.550000011920929,45.45454446934474,-25.787499979138374,-25.000000000000004
BTC,btc-updown-15m-1778919300,UP,Up,1778919300000000,1778920200000000,1778919180000000,8.265929431105535,2286.4886491828483,0.7486488458447985,182383.89659519997,2.778194812850634e-05,78466.65,78420.0,1020.0,False,True,20,2026,C_kalshi_open,1778919301000000,0.5199999809265137,48.07692484037417,-25.8400000333786,-25.0
BTC,btc-updown-15m-1778926500,DOWN,Down,1778926500000000,1778927400000000,1778926380000000,-10.980908907689878,1696.806551996989,0.360319345992394,-7009.391524299968,7.482626655184657e-05,77840.27,77906.82,1020.0,True,True,20,2026,A_poly_prewindow,1778926380000000,0.4699999988079071,53.19148949661531,27.26398949452915,27.627659706683005
BTC,btc-updown-15m-1778926500,DOWN,Down,1778926500000000,1778927400000000,1778926380000000,-10.980908907689878,1696.806551996989,0.360319345992394,-7009.391524299968,7.482626655184657e-05,77840.27,77906.82,1020.0,True,True,20,2026,B_kalshi_inwin60,1778926560000000,0.40594059435155694,61.585365809336224,35.545761849451445,35.853658493149496
BTC,btc-updown-15m-1778926500,DOWN,Down,1778926500000000,1778927400000000,1778926380000000,-10.980908907689878,1696.806551996989,0.360319345992394,-7009.391524299968,7.482626655184657e-05,77840.27,77906.82,1020.0,True,True,20,2026,C_kalshi_open,1778926501000000,0.4300000071525574,58.13953391663639,32.142033929153364,32.47674323830366
BTC,btc-updown-15m-1778980500,UP,Up,1778980500000000,1778981400000000,1778980380000000,20.47846030644277,718.6164416088636,0.6118616656185585,13680.0647173,6.676077967571565e-05,78104.84,78057.53,1020.0,False,True,20,2026,A_poly_prewindow,1778980380000000,0.5400000214576721,46.29629445664684,-25.0,-25.0
BTC,btc-updown-15m-1778980500,UP,Up,1778980500000000,1778981400000000,1778980380000000,20.47846030644277,718.6164416088636,0.6118616656185585,13680.0647173,6.676077967571565e-05,78104.84,78057.53,1020.0,False,True,20,2026,B_kalshi_inwin60,1778980560000000,0.6000000238418579,41.66666501098216,-25.69999995827675,-25.0
BTC,btc-updown-15m-1778980500,UP,Up,1778980500000000,1778981400000000,1778980380000000,20.47846030644277,718.6164416088636,0.6118616656185585,13680.0647173,6.676077967571565e-05,78104.84,78057.53,1020.0,False,True,20,2026,C_kalshi_open,1778980501000000,0.5199999809265137,48.07692484037417,-25.8400000333786,-25.0
BTC,btc-updown-15m-1778982300,DOWN,Down,1778982300000000,1778983200000000,1778982180000000,-12.978092237219874,1301.1991511149556,0.39988008608059733,-1644153.5331052004,5.882363318540914e-05,77750.34,77787.4,1020.0,True,True,20,2026,A_poly_prewindow,1778982180000000,0.4699999988079071,53.19148949661531,27.26398949452915,27.627659706683005
BTC,btc-updown-15m-1778982300,DOWN,Down,1778982300000000,1778983200000000,1778982180000000,-12.978092237219874,1301.1991511149556,0.39988008608059733,-1644153.5331052004,5.882363318540914e-05,77750.34,77787.4,1020.0,True,True,20,2026,B_kalshi_inwin60,1778982360000000,0.44999998807907104,55.55555702727522,29.593057006413595,29.944445886729717
BTC,btc-updown-15m-1778982300,DOWN,Down,1778982300000000,1778983200000000,1778982180000000,-12.978092237219874,1301.1991511149556,0.39988008608059733,-1644153.5331052004,5.882363318540914e-05,77750.34,77787.4,1020.0,True,True,20,2026,C_kalshi_open,1778982301000000,0.44999998807907104,55.55555702727522,29.593057006413595,29.944445886729717
BTC,btc-updown-15m-1779012000,UP,Up,1779012000000000,1779012900000000,1779011880000000,10.200183738122576,3245.3666750301504,0.7945366663109221,86230.15841260002,2.1712559688901004e-05,78293.97,78249.34,1020.0,True,True,20,2026,A_poly_prewindow,1779011880000000,0.4699999988079071,53.19148949661531,27.26398949452915,27.627659706683005
BTC,btc-updown-15m-1779012000,UP,Up,1779012000000000,1779012900000000,1779011880000000,10.200183738122576,3245.3666750301504,0.7945366663109221,86230.15841260002,2.1712559688901004e-05,78293.97,78249.34,1020.0,True,True,20,2026,B_kalshi_inwin60,1779012060000000,0.4554816216402273,54.88695660205326,28.93404943992366,29.289217470012193
BTC,btc-updown-15m-1779012000,UP,Up,1779012000000000,1779012900000000,1779011880000000,10.200183738122576,3245.3666750301504,0.7945366663109221,86230.15841260002,2.1712559688901004e-05,78293.97,78249.34,1020.0,True,True,20,2026,C_kalshi_open,1779012001000000,0.41999998688697815,59.523811382231045,33.50881135928326,33.83333515458642
BTC,btc-updown-15m-1779013800,UP,Up,1779013800000000,1779014700000000,1779013680000000,13.299133964544092,2113.585974728053,0.6813585962807124,645765.8919047001,3.6166857657683594e-05,78553.18,78510.41,1020.0,False,True,20,2026,A_poly_prewindow,1779013680000000,0.4699999988079071,53.19148949661531,-25.0,-25.0
BTC,btc-updown-15m-1779013800,UP,Up,1779013800000000,1779014700000000,1779013680000000,13.299133964544092,2113.585974728053,0.6813585962807124,645765.8919047001,3.6166857657683594e-05,78553.18,78510.41,1020.0,False,True,20,2026,B_kalshi_inwin60,1779013860000000,0.39881472621949143,62.68574943805113,-26.05207422911589,-25.0
BTC,btc-updown-15m-1779013800,UP,Up,1779013800000000,1779014700000000,1779013680000000,13.299133964544092,2113.585974728053,0.6813585962807124,645765.8919047001,3.6166857657683594e-05,78553.18,78510.41,1020.0,False,True,20,2026,C_kalshi_open,1779013801000000,0.4414413314907594,56.632667166833514,-25.977477669891172,-25.0
BTC,btc-updown-15m-1779022800,DOWN,Down,1779022800000000,1779023700000000,1779022680000000,-9.819327699552057,1652.2295898321092,0.33477704101678907,-110370.92709920002,2.115308723805332e-05,78342.24,78364.83,1020.0,True,True,20,2026,A_poly_prewindow,1779022680000000,0.5,50.0,24.125,24.5
BTC,btc-updown-15m-1779022800,DOWN,Down,1779022800000000,1779023700000000,1779022680000000,-9.819327699552057,1652.2295898321092,0.33477704101678907,-110370.92709920002,2.115308723805332e-05,78342.24,78364.83,1020.0,True,True,20,2026,B_kalshi_inwin60,1779022860000000,0.6000000238418579,41.66666501098216,15.966665052705409,16.333331710762515
BTC,btc-updown-15m-1779022800,DOWN,Down,1779022800000000,1779023700000000,1779022680000000,-9.819327699552057,1652.2295898321092,0.33477704101678907,-110370.92709920002,2.115308723805332e-05,78342.24,78364.83,1020.0,True,True,20,2026,C_kalshi_open,1779022801000000,0.4699999988079071,53.19148949661531,27.263989494529145,27.627659706683005
