tag,fire_us,pnl,won,vwap,slug
v8_grandparent,1780083900000000,-5.0,0,0.62,eth-updown-5m-1780083600
cloud_vwap_v7,1780084500000000,2.2409411764705878,1,0.68,eth-updown-5m-1780084200
cloud_ribbon_v6,1780084500000000,2.2409411764705878,1,0.68,eth-updown-5m-1780084200
v8_grandparent,1780085100000000,2.1378768115942033,1,0.69,eth-updown-5m-1780084800
cloud_ribbon_v6,1780085400000000,1.4130064935064934,1,0.77,eth-updown-5m-1780085100
cloud_vwap_v7,1780085400000000,1.4130064935064934,1,0.77,eth-updown-5m-1780085100
v8_grandparent,1780085400000000,1.4130064935064934,1,0.77,eth-updown-5m-1780085100
v8_grandparent,1780085700000000,-5.0,0,0.5147801294870018,eth-updown-5m-1780085400
cloud_vwap_v7,1780085700000000,-5.0,0,0.5147801294870018,eth-updown-5m-1780085400
cloud_ribbon_v6,1780085700000000,-5.0,0,0.5147801294870018,eth-updown-5m-1780085400
cloud_ribbon_v6,1780086000000000,3.473689655172415,1,0.58,eth-updown-5m-1780085700
cloud_vwap_v7,1780086000000000,3.473689655172415,1,0.58,eth-updown-5m-1780085700
v8_grandparent,1780086000000000,3.473689655172415,1,0.58,eth-updown-5m-1780085700
cloud_vwap_v7,1780086600000000,1.940753521126761,1,0.71,eth-updown-5m-1780086300
v8_grandparent,1780086900000000,1.7548150684931507,1,0.73,eth-updown-5m-1780086600
cloud_vwap_v7,1780088100000000,1.2556139240506328,1,0.79,eth-updown-5m-1780087800
v6c3_v7,1780088100000000,1.2556139240506328,1,0.79,eth-updown-5m-1780087800
cloud_ribbon_v6,1780088100000000,1.2556139240506328,1,0.79,eth-updown-5m-1780087800
cloud_ribbon_v6,1780088400000000,-5.0,0,0.82,eth-updown-5m-1780088100
v6c3_v7,1780088400000000,-5.0,0,0.82,eth-updown-5m-1780088100
v8_grandparent,1780088700000000,2.8070079365079366,1,0.63,eth-updown-5m-1780088400
cloud_vwap_v7,1780089000000000,-5.0,0,0.63,eth-updown-5m-1780088700
v8_grandparent,1780089000000000,-5.0,0,0.63,eth-updown-5m-1780088700
v8_grandparent,1780089300000000,2.456757575757575,1,0.66,eth-updown-5m-1780089000
cloud_ribbon_v6,1780089300000000,2.456757575757575,1,0.66,eth-updown-5m-1780089000
cloud_vwap_v7,1780089300000000,2.456757575757575,1,0.66,eth-updown-5m-1780089000
v6c3_v7,1780089300000000,2.456757575757575,1,0.66,eth-updown-5m-1780089000
