sid,asset,offset,fire_us,pnl,won,vwap,slug
poly_sniper_v5_btc_15m_mpskew_trstack_off600_down,BTC,600,1780408800000000,0.9645963855421689,1,0.83,btc-updown-15m-1780407900
poly_fast_taker_lagv2_eth_15m,ETH,10,1780410600000000,24.125,1,0.5,eth-updown-15m-1780409700
poly_fast_taker_lagv2_btc_15m,BTC,5,1780410600000000,24.125,1,0.5,btc-updown-15m-1780409700
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1780411500000000,-5.0,0,0.13,btc-updown-15m-1780410600
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H,BTC,600,1780411500000000,-5.0,0,0.13,btc-updown-15m-1780410600
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1780412400000000,-5.0,0,0.26,btc-updown-15m-1780411500
poly_sniper_v5_btc_15m_ema800_ribslp_hawkes_off840_v6,BTC,840,1780412400000000,-5.0,0,0.35,btc-updown-15m-1780411500
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H,BTC,600,1780412400000000,-5.0,0,0.26,btc-updown-15m-1780411500
poly_fast_taker_lagv2_btc_15m,BTC,40,1780413300000000,-7.9876142857142876,0,0.56,btc-updown-15m-1780412400
poly_sniper_v5_btc_15m_vwapprem_ema50_mpskew_off600_v6,BTC,600,1780413300000000,3.473689655172415,1,0.58,btc-updown-15m-1780412400
poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,60,1780413300000000,3.7745714285714276,1,0.56,eth-updown-15m-1780412400
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1780413300000000,3.473689655172415,1,0.58,btc-updown-15m-1780412400
poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,30,1780413300000000,4.825,1,0.5,eth-updown-15m-1780412400
poly_sniper_v5_btc_15m_ema200_mpskew_rf_off600_down_v6,BTC,600,1780413300000000,3.473689655172415,1,0.58,btc-updown-15m-1780412400
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H,BTC,600,1780413300000000,3.473689655172415,1,0.58,btc-updown-15m-1780412400
poly_sniper_v5_btc_15m_vwapprem_ema50_mpskew_off600_v6,BTC,600,1780414200000000,0.24565789473684235,1,0.95,btc-updown-15m-1780413300
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1780414200000000,0.24565789473684235,1,0.95,btc-updown-15m-1780413300
poly_sniper_v5_btc_15m_ts_trstack_off600_down,BTC,600,1780414200000000,0.24565789473684235,1,0.95,btc-updown-15m-1780413300
poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,60,1780414200000000,2.6865,1,0.64,eth-updown-15m-1780413300
