sid,fire_us,pnl,won,vwap,slug
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,1779973200000000,2.413432835820895,1,0.67,eth-updown-5m-1779972900
poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7,1779974100000000,4.707843137254903,1,0.51,eth-updown-5m-1779973800
poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7_vL,1779974100000000,4.707843137254903,1,0.51,eth-updown-5m-1779973800
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,1779975600000000,1.9055555555555557,1,0.72,eth-updown-5m-1779975300
poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7,1779975600000000,-5.0,0,0.55,eth-updown-5m-1779975300
poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7_vL,1779975600000000,-5.0,0,0.55,eth-updown-5m-1779975300
poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7_vL,1779976500000000,0.2578947368421055,1,0.95,eth-updown-5m-1779976200
poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7,1779976500000000,0.2578947368421055,1,0.95,eth-updown-5m-1779976200
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,1779977100000000,5.411673076923077,1,0.4751896189344786,eth-updown-5m-1779976800
poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7,1779977100000000,-5.0,0,0.59,eth-updown-5m-1779976800
poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7_vL,1779977100000000,-5.0,0,0.59,eth-updown-5m-1779976800
poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7_vL,1779977400000000,-5.0,0,0.93,eth-updown-5m-1779977100
poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7_vL,1779977700000000,-5.0,0,0.9199999999999999,eth-updown-5m-1779977400
poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7,1779977700000000,-5.0,0,0.9199999999999999,eth-updown-5m-1779977400
poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7_vL,1779978300000000,0.9333333333333335,1,0.84,eth-updown-5m-1779978000
poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7,1779978300000000,0.9333333333333335,1,0.84,eth-updown-5m-1779978000
poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7,1779979200000000,2.0856056338028175,1,0.7014424026872159,eth-updown-5m-1779978900
poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7_vL,1779979200000000,2.0856056338028175,1,0.7014424026872159,eth-updown-5m-1779978900
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,1779979200000000,-5.0,0,0.5841584158415842,eth-updown-5m-1779978900
poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7,1779979800000000,3.266666666666667,1,0.6,eth-updown-5m-1779979500
poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7_vL,1779979800000000,3.266666666666667,1,0.6,eth-updown-5m-1779979500
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,1779980100000000,1.6333333333333333,1,0.75,eth-updown-5m-1779979800
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,1779982500000000,1.30253164556962,1,0.79,eth-updown-5m-1779982200
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,1779984600000000,-5.0,0,0.5623520126282557,eth-updown-5m-1779984300
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,1779985200000000,-5.0,0,0.65,eth-updown-5m-1779984900
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,1779991800000000,-5.0,0,0.56,eth-updown-5m-1779991500
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,1779992100000000,-5.0,0,0.51,eth-updown-5m-1779991800
