sid,fire_us,pnl,won,vwap,slug
poly_sniper_v5_sol_5m_rf_tr_partial_mid,1779905700000000,8.343243243243244,1,0.37,sol-updown-5m-1779905400
poly_sniper_v5_sol_5m_depth_up_hod_session,1779905700000000,-5.0,0,0.66,sol-updown-5m-1779905400
poly_sniper_v5_sol_5m_rf_tr_partial_mid,1779905700000000,5.838297872340425,1,0.45631067961165056,sol-updown-5m-1779905400
poly_sniper_v5_sol_5m_depth_up_hod_session,1779905700000000,-5.0,0,0.74,sol-updown-5m-1779905400
poly_sniper_v5_sol_5m_rf_tr_partial_mid,1779906000000000,6.28090909090909,1,0.4382470119521913,sol-updown-5m-1779905700
poly_sniper_v5_sol_5m_btcf7_f7overb_ema800_vwap_v7,1779906300000000,4.264814814814814,1,0.5346534653465347,sol-updown-5m-1779906000
poly_sniper_v5_sol_5m_btcf7_f7overb_ema800_vwap_v7,1779906300000000,4.3452830188679235,1,0.53,sol-updown-5m-1779906000
poly_sniper_v5_sol_5m_f7_mfi_ema200_vwap_v6,1779907200000000,4.091054545454544,1,0.5449861276258423,sol-updown-5m-1779906900
poly_sniper_v5_sol_5m_f7_mfi_ema200_vwap_v6,1779907800000000,-5.0,0,0.75,sol-updown-5m-1779907500
poly_sniper_v5_sol_5m_btcf7_f7overb_ema800_vwap_v7,1779907800000000,-5.0,0,0.75,sol-updown-5m-1779907500
poly_sniper_v5_sol_5m_j_2asset_trending_cci_rf_ema200_v8,1779908400000000,0.6681818181818181,1,0.88,sol-updown-5m-1779908100
poly_sniper_v5_sol_5m_f7_mfi_ema200_vwap_v6,1779908700000000,2.638461538461538,1,0.65,sol-updown-5m-1779908400
poly_sniper_v5_sol_5m_f7_mfi_ema200_vwap_v6,1779909000000000,4.009090909090908,1,0.55,sol-updown-5m-1779908700
poly_sniper_v5_sol_5m_f7_mfi_ema200_vwap_v6,1779909000000000,3.1327868852459013,1,0.61,sol-updown-5m-1779908700
poly_sniper_v5_sol_5m_btcf7_f7overb_ema800_vwap_v7,1779909000000000,3.1327868852459013,1,0.61,sol-updown-5m-1779908700
poly_sniper_v5_sol_5m_rf_tr_partial_mid,1779909000000000,-5.0,0,0.82,sol-updown-5m-1779908700
poly_sniper_v5_sol_5m_btcf7_f7overb_ema800_vwap_v7,1779909000000000,5.525531914893617,1,0.47000000000000003,sol-updown-5m-1779908700
poly_sniper_v5_sol_5m_btcf7_f7overb_ema800_vwap_v7,1779909000000000,4.009090909090908,1,0.55,sol-updown-5m-1779908700
poly_sniper_v5_sol_5m_j_2asset_trending_cci_rf_ema200_v8,1779909300000000,4.371162962962963,1,0.5285205340014877,sol-updown-5m-1779909000
poly_sniper_v5_sol_5m_rf_tr_partial_mid,1779909600000000,0.6681818181818181,1,0.88,sol-updown-5m-1779909300
poly_sniper_v5_sol_5m_j_2asset_trending_cci_rf_ema200_v8,1779909900000000,1.8123287671232877,1,0.73,sol-updown-5m-1779909600
poly_sniper_v5_sol_5m_rf_tr_partial_mid,1779909900000000,1.8123287671232877,1,0.73,sol-updown-5m-1779909600
poly_sniper_v5_sol_5m_cci_f7_mfi_partial_vwap_v6,1779909900000000,1.8123287671232877,1,0.73,sol-updown-5m-1779909600
