slug,dir,vwap,cross_spread,won,pnl,day
eth-updown-5m-1780532700,DOWN,0.8900000000000001,0.18760586838570872,True,0.579477528089887,2026-06-04
eth-updown-5m-1780535700,DOWN,0.71,0.2743549666301691,True,1.940753521126761,2026-06-04
eth-updown-5m-1780536000,DOWN,0.44,0.26930421341551725,True,6.167636363636364,2026-06-04
eth-updown-5m-1780537500,DOWN,0.7243500694582259,0.28914925090806615,True,1.8062622503377759,2026-06-04
eth-updown-5m-1780537800,DOWN,0.79,0.3068563013140782,True,1.2556139240506328,2026-06-04
eth-updown-5m-1780539300,DOWN,0.77,0.3069303599953256,False,-5.0,2026-06-04
eth-updown-5m-1780539900,DOWN,0.84,0.2194479229216037,True,0.8963809523809526,2026-06-04
eth-updown-5m-1780543200,DOWN,0.76,0.29542608021595274,True,1.4949473684210524,2026-06-04
eth-updown-5m-1780544100,DOWN,0.85,0.23866393694504562,True,0.8298529411764708,2026-06-04
eth-updown-5m-1780546500,DOWN,0.63,0.23859416364625885,True,2.8070079365079366,2026-06-04
eth-updown-5m-1780547400,DOWN,0.4142011834319526,0.26291362886777636,True,6.866398985629758,2026-06-04
eth-updown-5m-1780548300,DOWN,0.66,0.2580013110267823,,,2026-06-04
eth-updown-5m-1780548900,DOWN,0.77,0.29030516908059567,True,1.4130064935064934,2026-06-04
eth-updown-5m-1780549500,DOWN,0.59,0.255642152161044,True,3.3310762711864412,2026-06-04
eth-updown-5m-1780550700,DOWN,0.68,0.26519393781260087,True,2.2409411764705878,2026-06-04
eth-updown-5m-1780552200,DOWN,0.65,0.2866542441168247,True,2.569807692307692,2026-06-04
eth-updown-5m-1780553400,DOWN,0.61,0.28151127825081423,False,-4.999999999999999,2026-06-04
eth-updown-5m-1780554000,DOWN,0.5123455573728497,0.29298237077482825,True,4.588359406618958,2026-06-04
eth-updown-5m-1780556400,DOWN,0.54,0.2767096286915042,True,4.098259259259258,2026-06-04
eth-updown-5m-1780556700,DOWN,0.71,0.2841514461675174,True,1.940753521126761,2026-06-04
eth-updown-5m-1780557000,DOWN,0.4799999999999999,0.31191293899976735,False,-5.0,2026-06-04
eth-updown-5m-1780559100,DOWN,0.7,0.2720060782747501,True,2.0378571428571433,2026-06-04
eth-updown-5m-1780559700,DOWN,0.59,0.2504326255243924,True,3.3310762711864412,2026-06-04
eth-updown-5m-1780560000,DOWN,0.62,0.2539284451269449,False,-5.0,2026-06-04
eth-updown-5m-1780568700,DOWN,0.58,0.2673730589088895,True,3.473689655172415,2026-06-04
