label,n_trades,sharpe,cagr,max_dd,calmar,win_rate,final_equity,buy_hold_x,final_eq_x,outperform,entry_signals_total,symbol,entry,exit,risk_filter
A4_cross_inst_lead__TP8_SL2_TR5_H96__R_3loss_pause,85,0.252,0.0322,-0.4469,0.072,0.329,10996.79,2.658448250870241,1.099679,0.41365446915884896,2061,BTCUSDT,A4_cross_inst_lead,TP8_SL2_TR5_H96,R_3loss_pause
A4_cross_inst_lead__TP6_SL2p5_TR4_H48__R_none,134,0.138,0.0047,-0.4414,0.011,0.388,10142.61,2.658448250870241,1.014261,0.3815236951360564,3040,BTCUSDT,A4_cross_inst_lead,TP6_SL2p5_TR4_H48,R_none
A4_cross_inst_lead__TP6_SL2p5_TR4_H48__R_3loss_pause,104,0.075,-0.0062,-0.3303,-0.019,0.394,9814.52,2.658448250870241,0.981452,0.3691822850712714,2366,BTCUSDT,A4_cross_inst_lead,TP6_SL2p5_TR4_H48,R_3loss_pause
A5_2of3_composite__TP5_SL2_TR3p5_H72__R_none,276,0.768,0.2409,-0.4462,0.54,0.38,19097.14,2.658448250870241,1.909714,0.7183566576384763,2418,BTCUSDT,A5_2of3_composite,TP5_SL2_TR3p5_H72,R_none
A5_2of3_composite__TP5_SL2_TR3p5_H72__R_3loss_pause,223,0.68,0.1873,-0.3854,0.486,0.354,16731.73,2.658448250870241,1.673173,0.6293795636053056,1837,BTCUSDT,A5_2of3_composite,TP5_SL2_TR3p5_H72,R_3loss_pause
A5_2of3_composite__TP8_SL2_TR5_H96__R_none,198,0.719,0.2283,-0.3762,0.607,0.374,18525.66,2.658448250870241,1.852566,0.6968599066743405,2418,BTCUSDT,A5_2of3_composite,TP8_SL2_TR5_H96,R_none
A5_2of3_composite__TP8_SL2_TR5_H96__R_3loss_pause,149,0.641,0.1766,-0.3813,0.463,0.376,16284.07,2.658448250870241,1.628407,0.6125404169394466,1836,BTCUSDT,A5_2of3_composite,TP8_SL2_TR5_H96,R_3loss_pause
A5_2of3_composite__TP6_SL2p5_TR4_H48__R_none,246,0.563,0.1364,-0.4309,0.317,0.378,14670.88,2.658448250870241,1.467088,0.5518587768333463,2418,BTCUSDT,A5_2of3_composite,TP6_SL2p5_TR4_H48,R_none
A5_2of3_composite__TP6_SL2p5_TR4_H48__R_3loss_pause,187,0.604,0.139,-0.274,0.507,0.369,14773.89,2.658448250870241,1.4773889999999998,0.5557335936542597,1832,BTCUSDT,A5_2of3_composite,TP6_SL2p5_TR4_H48,R_3loss_pause
A6_3of3_composite__TP5_SL2_TR3p5_H72__R_none,131,0.821,0.1961,-0.332,0.591,0.427,17106.17,2.658448250870241,1.7106169999999998,0.6434644719678221,875,BTCUSDT,A6_3of3_composite,TP5_SL2_TR3p5_H72,R_none
