msg_id,post_ts,slot_et,type,direction,btc_price,beat_strike,mv_from,mv_to,mv_delta,entry_cents,mult,ptb,ptb_up,ptb_dn,btc_dir_arrow,conf_dots,conf_label,rec_w,rec_l,rec_wr,streak,raw
7359,2026-05-15T14:12:22+00:00,,SIGNAL,DOWN,,,,,,,2.13,"🟩
├─────────",1,0,UP,4,Medium,,,,3,"🔴 BUY DOWN BTC |  | ┌─────────────────────────┐ | │  May 15  10:10-10:15 AM ET | ├─────────────────────────┤ | │  BTC        $79,077 | │  Beat       $79,071 | │  BTC ▲ PTB  🟩 | ├─────────────────────────┤ | │  Entry      47¢  (2.13x) | │  Confidence ●●●●○  Medium | │  Closes in  3 min | ├─────────────────────────┤ | │  Record     6W 2L  (75%)  🔥 3W streak | └─────────────────────────┘"
7360,2026-05-15T14:15:38+00:00,,LOSS,DOWN,,,,,,,,,0,0,,,,,,,,"❌ LOSS  BUY DOWN |  | ┌─────────────────────────┐ | │  May 15  10:10-10:15 AM ET | ├─────────────────────────┤ | │  📈 $79,071 → $79,186  (+115) | │  Entry     47¢ | ├─────────────────────────┤ | │  Record    6W 3L  (66%)  ❄️1L | └─────────────────────────┘"
7361,2026-05-18T06:55:06+00:00,,WATCHING,,,,,,,,,,0,0,,,,,,,,"👀 WATCHING |  | ┌─────────────────────────┐ | │  May 18  2:55-3:00 AM ET | ├─────────────────────────┤ | │  BTC       $76,843 | │  Market    Neutral  ➡️ | │  UP 50¢  /  DN 50¢ | │  Closes in 5 min | └─────────────────────────┘"
7362,2026-05-18T07:10:07+00:00,,WATCHING,,,,,,,,,,0,0,,,,,,,,"👀 WATCHING |  | ┌─────────────────────────┐ | │  May 18  3:10-3:15 AM ET | ├─────────────────────────┤ | │  BTC       $76,889 | │  Market    Neutral  ➡️ | │  UP 50¢  /  DN 50¢ | │  Closes in 5 min | └─────────────────────────┘"
7363,2026-05-18T07:25:08+00:00,,WATCHING,,,,,,,,,,0,0,,,,,,,,"👀 WATCHING |  | ┌─────────────────────────┐ | │  May 18  3:25-3:30 AM ET | ├─────────────────────────┤ | │  BTC       $76,784 | │  Market    Neutral  ➡️ | │  UP 50¢  /  DN 50¢ | │  Closes in 5 min | └─────────────────────────┘"
7364,2026-05-18T07:34:26+00:00,,SIGNAL,UP,,,,,,,1.75,"🟩🟩
├────────",2,0,UP,5,Medium,,,,,"🟢 BUY UP BTC |  | ┌─────────────────────────┐ | │  May 18  3:30-3:35 AM ET | ├─────────────────────────┤ | │  BTC        $77,013 | │  Beat       $76,986 | │  BTC ▲ PTB  🟩🟩 | ├─────────────────────────┤ | │  Entry      56¢  (1.75x) | │  Confidence ●●●●●  Medium | │  Closes in  1 min | ├─────────────────────────┤ | │  Record     0W 0L | └─────────────────────────┘"
7365,2026-05-18T07:35:37+00:00,,WIN,UP,,,,,,,,,0,0,,,,,,,,"✅ WIN  BUY UP |  | ┌─────────────────────────┐ | │  May 18  3:30-3:35 AM ET | ├─────────────────────────┤ | │  📈 $76,986 → $76,997  (+10) | │  Entry     56¢ | ├─────────────────────────┤ | │  Record    1W 0L  (100%)  🔥1W | └─────────────────────────┘"
7366,2026-05-18T07:40:09+00:00,,WATCHING,,,,,,,,,,0,0,,,,,,,,"👀 WATCHING |  | ┌─────────────────────────┐ | │  May 18  3:40-3:45 AM ET | ├─────────────────────────┤ | │  BTC       $76,949 | │  Market    Neutral  ➡️ | │  UP 50¢  /  DN 50¢ | │  Closes in 5 min | └─────────────────────────┘"
7367,2026-05-18T07:55:09+00:00,,WATCHING,,,,,,,,,,0,0,,,,,,,,"👀 WATCHING |  | ┌─────────────────────────┐ | │  May 18  3:55-4:00 AM ET | ├─────────────────────────┤ | │  BTC       $77,002 | │  Market    Neutral  ➡️ | │  UP 50¢  /  DN 50¢ | │  Closes in 5 min | └─────────────────────────┘"
7368,2026-05-18T08:10:10+00:00,,WATCHING,,,,,,,,,,0,0,,,,,,,,"👀 WATCHING |  | ┌─────────────────────────┐ | │  May 18  4:10-4:15 AM ET | ├─────────────────────────┤ | │  BTC       $77,068 | │  Market    Neutral  ➡️ | │  UP 50¢  /  DN 50¢ | │  Closes in 5 min | └─────────────────────────┘"
7369,2026-05-18T08:25:10+00:00,,WATCHING,,,,,,,,,,0,0,,,,,,,,"👀 WATCHING |  | ┌─────────────────────────┐ | │  May 18  4:25-4:30 AM ET | ├─────────────────────────┤ | │  BTC       $76,945 | │  Market    Neutral  ➡️ | │  UP 50¢  /  DN 50¢ | │  Closes in 5 min | └─────────────────────────┘"
7370,2026-05-18T08:40:11+00:00,,WATCHING,,,,,,,,,,0,0,,,,,,,,"👀 WATCHING |  | ┌─────────────────────────┐ | │  May 18  4:40-4:45 AM ET | ├─────────────────────────┤ | │  BTC       $76,875 | │  Market    Neutral  ➡️ | │  UP 50¢  /  DN 50¢ | │  Closes in 5 min | └─────────────────────────┘"
7371,2026-05-18T08:55:13+00:00,,WATCHING,,,,,,,,,,0,0,,,,,,,,"👀 WATCHING |  | ┌─────────────────────────┐ | │  May 18  4:55-5:00 AM ET | ├─────────────────────────┤ | │  BTC       $76,964 | │  Market    Neutral  ➡️ | │  UP 50¢  /  DN 50¢ | │  Closes in 5 min | └─────────────────────────┘"
7372,2026-05-18T09:10:13+00:00,,WATCHING,,,,,,,,,,0,0,,,,,,,,"👀 WATCHING |  | ┌─────────────────────────┐ | │  May 18  5:10-5:15 AM ET | ├─────────────────────────┤ | │  BTC       $76,884 | │  Market    Neutral  ➡️ | │  UP 50¢  /  DN 50¢ | │  Closes in 5 min | └─────────────────────────┘"
7373,2026-05-18T09:25:13+00:00,,WATCHING,,,,,,,,,,0,0,,,,,,,,"👀 WATCHING |  | ┌─────────────────────────┐ | │  May 18  5:25-5:30 AM ET | ├─────────────────────────┤ | │  BTC       $76,909 | │  Market    Neutral  ➡️ | │  UP 50¢  /  DN 50¢ | │  Closes in 5 min | └─────────────────────────┘"
7374,2026-05-18T09:40:14+00:00,,WATCHING,,,,,,,,,,0,0,,,,,,,,"👀 WATCHING |  | ┌─────────────────────────┐ | │  May 18  5:40-5:45 AM ET | ├─────────────────────────┤ | │  BTC       $76,946 | │  Market    Neutral  ➡️ | │  UP 50¢  /  DN 50¢ | │  Closes in 5 min | └─────────────────────────┘"
