symbol,variant,z_top_thr,brigals_thr,ci_thr,use_ma200,use_lowvol,eqfilter,n_trades,win_rate,profit_factor,sharpe,calmar,max_dd,cagr,final_eq_x,buy_hold_x,outperform,median_hold_h,expectancy,gates_passed,perm_p,boot_sharpe_lo,wfe,psen_median_sh,pf_at_24bp
BTCUSDT,zT-0.5_bS-1.5_ci+1.0_ma200_dd10,-0.5,-1.5,1.0,True,False,dd10,32,0.53125,3.271566328789661,1.4697817724755604,2.3307551380248275,-0.10372418734767484,0.24175568259804292,1.9138829593662126,2.658448250870241,0.7199248504234395,78.0,0.02192785527770895,7,1.0,0.3834440037609475,0.4808014845712847,1.4257033427976444,3.0765937469573865
ETHUSDT,zT-1.5_bS-1.5_ci+1.0_ma200_lv,-1.5,-1.5,1.0,True,True,none,12,0.5833333333333334,5.008572883613187,1.1297467244268495,1.3083147358637095,-0.1370289742719002,0.17927702628021613,1.6394586181264916,1.220223331780914,1.3435725866130626,126.0,0.04511224645497495,8,0.4031936127744511,0.00048501469189293116,0.858534366144001,1.1453300175317147,4.740160204710679
SOLUSDT,zT-0.5_bS-0.5_ci+0.0_ma200_lv_3loss,-0.5,-0.5,0.0,True,True,3loss,22,0.4090909090909091,3.465719119927238,1.5087358386463348,2.5184640723711107,-0.11118041398548131,0.28000387817378125,2.0961082633472894,3.744815148782687,0.5597361098127002,108.0,0.03767384738290937,8,1.0,0.540188034244489,0.8707308206573076,1.2131920346049874,3.349319525791766
