symbol,variant,z_top_thr,brigals_thr,ci_thr,use_ma200,use_lowvol,eqfilter,n_signal_bars,n_trades,win_rate,profit_factor,sharpe,calmar,max_dd,cagr,final_eq_x,buy_hold_x,outperform,median_hold_h,expectancy
BTCUSDT,zT-1.5_bS-1.5_ci-0.5,-1.5,-1.5,-0.5,False,False,none,601,150,0.29333333333333333,1.0591684049079657,0.11636671451204403,-0.022747690019831606,-0.6463258972886226,-0.014702421163311108,0.9565671344833454,2.658448250870241,0.35982161178808497,60.0,0.0009678391883819285
BTCUSDT,zT-1.5_bS-1.5_ci-0.5_3loss,-1.5,-1.5,-0.5,False,False,3loss,601,3,0.0,0.0,-0.22884881254939596,-0.20872385826096745,-0.12578878116776998,-0.026255119731281473,0.9233349788199199,2.658448250870241,0.34732102779042884,136.0,-0.026207415092272063
BTCUSDT,zT-1.5_bS-1.5_ci-0.5_dd10,-1.5,-1.5,-0.5,False,False,dd10,601,20,0.3,1.1340928695090096,0.10595224319846075,0.04276330054794706,-0.12725714046070688,0.0054419353443935226,1.0164034841998901,2.658448250870241,0.3823296104662452,52.0,0.0020563821762549805
BTCUSDT,zT-1.5_bS-1.5_ci-0.5_dd15,-1.5,-1.5,-0.5,False,False,dd15,601,34,0.29411764705882354,1.068073735983942,0.08654865008151727,0.0032576782509983197,-0.21264202013150735,0.0006927192842307583,1.0020781728800072,2.658448250870241,0.3769410115664195,54.0,0.0011207551254968516
BTCUSDT,zT-1.5_bS-1.5_ci-0.5_lv,-1.5,-1.5,-0.5,False,True,none,244,72,0.20833333333333334,1.0294161233801462,0.02237929647775808,-0.058110559518717915,-0.54135212955037,-0.03145827514482147,0.9086225464509907,2.658448250870241,0.3417868097126035,56.0,0.0006562169194482582
BTCUSDT,zT-1.5_bS-1.5_ci-0.5_lv_3loss,-1.5,-1.5,-0.5,False,True,3loss,244,3,0.0,0.0,-0.22796645078004787,-0.17363101690096067,-0.15492823263895564,-0.026900346579770473,0.9215019769171928,2.658448250870241,0.346631527100646,100.0,-0.02684836281237744
BTCUSDT,zT-1.5_bS-1.5_ci-0.5_lv_dd10,-1.5,-1.5,-0.5,False,True,dd10,244,12,0.16666666666666666,0.7124465286347899,-0.15483429685692401,-0.14272962658788807,-0.17226277039677182,-0.02458700089372634,0.9280851361527821,2.658448250870241,0.34910784358844454,58.0,-0.005410383453222964
BTCUSDT,zT-1.5_bS-1.5_ci-0.5_lv_dd15,-1.5,-1.5,-0.5,False,True,dd15,244,20,0.15,0.7663230206753803,-0.1842777613223063,-0.17104764463001243,-0.22294593051549202,-0.03813437629452132,0.8899751568372943,2.658448250870241,0.3347724209211,60.0,-0.004714087091335234
BTCUSDT,zT-1.5_bS-1.5_ci-0.5_ma200,-1.5,-1.5,-0.5,True,False,none,368,97,0.27835051546391754,1.1737332561111502,0.3111779927420391,0.09749744134854878,-0.5065186105663798,0.04938426852564404,1.1554752867932179,2.658448250870241,0.4346427606461679,56.0,0.002975737551259632
BTCUSDT,zT-1.5_bS-1.5_ci-0.5_ma200_3loss,-1.5,-1.5,-0.5,True,False,3loss,368,11,0.6363636363636364,6.89512165451909,1.5586563771533888,2.419671201513109,-0.07712588166474708,0.18661927475549644,1.67025048032554,2.658448250870241,0.6282802306867492,120.0,0.0503219472450587
BTCUSDT,zT-1.5_bS-1.5_ci-0.5_ma200_dd10,-1.5,-1.5,-0.5,True,False,dd10,368,20,0.5,3.567398643676394,1.2850991271094248,1.2943647554815563,-0.1272571404607067,0.1647171574957047,1.5795211409500716,2.658448250870241,0.5941515470286158,60.0,0.024982539226882993
BTCUSDT,zT-1.5_bS-1.5_ci-0.5_ma200_dd15,-1.5,-1.5,-0.5,True,False,dd15,368,33,0.3939393939393939,2.091604974296463,0.9424900510146079,0.8041133199418592,-0.1784738457319958,0.14351319661434636,1.4948718060520203,2.658448250870241,0.5623099135229265,60.0,0.013763687903765906
BTCUSDT,zT-1.5_bS-1.5_ci-0.5_ma200_lv,-1.5,-1.5,-0.5,True,True,none,182,56,0.21428571428571427,0.9948843547606753,-0.0365410908680654,-0.07154494331420465,-0.5132735603766136,-0.03672212778182482,0.8938983106717258,2.658448250870241,0.3362481516723558,54.0,-0.00011382770091361275
BTCUSDT,zT-1.5_bS-1.5_ci-0.5_ma200_lv_3loss,-1.5,-1.5,-0.5,True,True,3loss,182,8,0.375,3.72836839871226,0.9393094973741489,1.3679721071810245,-0.053161053333405615,0.0727228381484617,1.234241024503693,2.658448250870241,0.4642712244256269,46.0,0.02853403244402097
BTCUSDT,zT-1.5_bS-1.5_ci-0.5_ma200_lv_dd10,-1.5,-1.5,-0.5,True,True,dd10,182,12,0.3333333333333333,2.3225632582032385,0.77961596009705,0.7287166058414672,-0.10049142987259047,0.07322977369290995,1.2359904445393897,2.658448250870241,0.46492928501985664,58.0,0.019680832132007747
BTCUSDT,zT-1.5_bS-1.5_ci-0.5_ma200_lv_dd15,-1.5,-1.5,-0.5,True,True,dd15,182,14,0.2857142857142857,1.7104083455533468,0.5168543342666899,0.31979488370339776,-0.15706071824950654,0.05022721412697306,1.1582601124333178,2.658448250870241,0.4356902986748613,58.0,0.012304274549085868
BTCUSDT,zT-1.5_bS-1.5_ci+0.0,-1.5,-1.5,0.0,False,False,none,499,132,0.30303030303030304,1.0473540706530104,0.10442144655721386,-0.028537404638046528,-0.594102497516528,-0.01695414336810319,0.950028382223379,2.658448250870241,0.35736199939659835,56.0,0.0007617686680169173
BTCUSDT,zT-1.5_bS-1.5_ci+0.0_3loss,-1.5,-1.5,0.0,False,False,3loss,499,3,0.0,0.0,-0.1223404521199795,-0.14116612662381797,-0.1776109798927607,-0.025072654077321843,0.9267005072787803,2.658448250870241,0.3485870025776976,104.0,-0.025011118100555216
