symbol,variant,carry_apr,n_trades,win_rate,profit_factor,sharpe,calmar,max_dd,final_eq_x,buy_hold_x,outperform,yrs_pos,n_yrs,perm_p,boot_lo,G4_pass,G5_pass,gates_9_excl_G7
BTCUSDT,zT-0.5_bS-1.5_ci+1.0_ma200_dd10,0.0,32,0.53125,3.271566328789661,1.4697817724755604,2.3307551380248275,-0.10372418734767484,1.9138829593662126,2.658448250870241,0.7199248504234395,1,4,1.0,0.3834440037609475,False,False,7
BTCUSDT,zT-0.5_bS-1.5_ci+1.0_ma200_dd10,0.04,32,0.53125,3.271566328789661,1.698752364788909,2.7604244422644406,-0.1006442145902256,2.085408716097438,2.658448250870241,0.784445856869616,3,4,1.0,0.6573801613044811,True,False,8
BTCUSDT,zT-0.5_bS-1.5_ci+1.0_ma200_dd10,0.05,32,0.53125,3.271566328789661,1.7566959808985847,2.8709635401077267,-0.09989859504933864,2.129676181634298,2.658448250870241,0.8010974751670078,3,4,0.6407185628742516,0.7160183252128797,True,False,8
BTCUSDT,zT-0.5_bS-1.5_ci+1.0_ma200_dd10,0.06,32,0.53125,3.271566328789661,1.814914552773158,2.9827580572519583,-0.09916236376380383,2.174503313132793,2.658448250870241,0.8179596170137866,3,4,1.0,0.7785962606755105,True,False,8
ETHUSDT,zT-1.5_bS-1.5_ci+1.0_ma200_lv,0.0,12,0.5833333333333334,5.008572883613187,1.1297467244268495,1.3083147358637095,-0.1370289742719002,1.6394586181264916,1.220223331780914,1.3435725866130626,2,4,0.4031936127744511,0.00048501469189293116,False,False,7
ETHUSDT,zT-1.5_bS-1.5_ci+1.0_ma200_lv,0.04,12,0.5833333333333334,5.008572883613187,1.3806083260985569,1.6974885648043716,-0.12725030738239568,1.7973501201300954,1.220223331780914,1.4729681635466403,4,4,1.0,0.2956601656547903,True,False,8
ETHUSDT,zT-1.5_bS-1.5_ci+1.0_ma200_lv,0.05,12,0.5833333333333334,5.008572883613187,1.4452709107222848,1.802848583730608,-0.1249020453646854,1.8383069546957005,1.220223331780914,1.5065331950444634,4,4,1.0,0.3674102456413077,True,False,8
ETHUSDT,zT-1.5_bS-1.5_ci+1.0_ma200_lv,0.06,12,0.5833333333333334,5.008572883613187,1.5107003784918376,1.9116416018851903,-0.12259072695130835,1.879865224067019,1.220223331780914,1.5405911156635228,4,4,0.998003992015968,0.43213680551147693,True,False,8
SOLUSDT,zT-0.5_bS-0.5_ci+0.0_ma200_lv_3loss,0.0,22,0.4090909090909091,3.465719119927238,1.5087358386463348,2.5184640723711107,-0.11118041398548131,2.0961082633472894,3.744815148782687,0.5597361098127002,2,4,1.0,0.540188034244489,False,False,7
SOLUSDT,zT-0.5_bS-0.5_ci+0.0_ma200_lv_3loss,0.04,22,0.4090909090909091,3.465719119927238,1.7207047835997484,2.9288180648254505,-0.10752845359551744,2.272296571340239,3.744815148782687,0.6067847092743378,4,4,0.9241516966067864,0.8192879040601622,True,False,8
SOLUSDT,zT-0.5_bS-0.5_ci+0.0_ma200_lv_3loss,0.05,22,0.4090909090909091,3.465719119927238,1.7748349592657953,3.0346211426940144,-0.10665042742712148,2.3177318581176274,3.744815148782687,0.6189175609565251,4,4,0.7305389221556886,0.8756732522897502,True,False,8
SOLUSDT,zT-0.5_bS-0.5_ci+0.0_ma200_lv_3loss,0.06,22,0.4090909090909091,3.465719119927238,1.8294141005805116,3.141713267591385,-0.10578573410263031,2.363728375803813,3.744815148782687,0.6312002814270236,4,4,1.0,0.9461614515230848,True,False,8
