label,indicator,offset_h,n_samples,mean,median,std
bull,oilsr,-8,1231,0.15338677138692977,0.10479675954503687,2.1338818405457416
bull,oilsr,-4,1235,0.11018660227561214,0.12328080595241409,2.172487719275418
bull,oilsr,-2,1235,0.19210139561698622,0.14978409410714466,2.1553594621073646
bull,oilsr,-1,1235,0.1579473987856681,0.14831934667641455,2.1344614998326685
bull,oilsr,0,1235,0.16165049435694312,0.2144390643723365,2.1423808858279703
bull,cross_institutional_lead,-24,1229,0.1468794661508645,-0.20801047112534787,2.669643060478837
bull,cross_institutional_lead,-12,1229,0.12063404957933258,-0.21206908365497545,2.8024142100621416
bull,cross_institutional_lead,-8,1231,0.1159502929195295,-0.2741317120779794,2.8289420931064857
bull,cross_institutional_lead,-4,1235,0.14135292051708184,-0.3661072047926517,2.8436993710123866
bull,cross_institutional_lead,-2,1235,0.16587563883159592,-0.3447312922254923,2.8329665215907127
bull,cross_institutional_lead,-1,1235,0.17768370619920015,-0.3447312922254923,2.82708252051141
bull,cross_institutional_lead,0,1235,0.18182707642561932,-0.3447312922254923,2.827064943028815
bull,cross_leverage_heat,-24,1205,inf,0.4008350299172716,
bull,cross_leverage_heat,-12,1205,inf,0.15300429645880564,
bull,cross_leverage_heat,-8,1205,inf,0.03220294465673801,
bull,cross_leverage_heat,-4,1207,inf,0.26655801827701886,
bull,cross_leverage_heat,-2,1209,inf,0.5453146834879483,
bull,cross_leverage_heat,-1,1210,inf,0.5453146834879483,
bull,cross_leverage_heat,0,1211,inf,0.6508578557509999,
bull,cross_risk_off,-24,1229,-0.022072557373460713,0.0825462368217138,0.5759932145399088
bull,cross_risk_off,-12,1229,-0.027356308325487848,0.0582496843122855,0.6050981981222817
bull,cross_risk_off,-8,1231,-0.03287601831617849,0.0582496843122855,0.6028132794327339
bull,cross_risk_off,-4,1235,-0.04200382738605998,0.0582496843122855,0.5996731832884907
bull,cross_risk_off,-2,1235,-0.04788508699610166,0.055479242788725625,0.59725774561601
bull,cross_risk_off,-1,1235,-0.0508321652226868,0.043923932771728236,0.5944367416031096
bull,cross_risk_off,0,1235,-0.052539308719042756,0.03694243366853156,0.593213535515069
