indicator,zone,n,mean_fwd_ret_pct,hit_rate_pct
z_lsr,<-2σ,343,0.8267370389186186,54.81049562682215
z_lsr,-2 to -1,1336,0.831613620669202,55.16467065868264
z_lsr,-1 to +1,1804,0.5820615991119693,54.988913525498894
z_lsr,+1 to +2,1274,0.45430363793032014,52.51177394034537
z_lsr,>+2σ,379,0.3514698406669678,53.03430079155673
z_fund,-1 to +1,5133,0.608464244439198,54.25676992012468
z_oi,<-2σ,301,0.43088004922595663,51.49501661129568
z_oi,-2 to -1,1065,0.30392011816685305,53.52112676056338
z_oi,-1 to +1,2138,0.5308806185504004,53.74181478016838
z_oi,+1 to +2,1255,0.9799402329491234,55.77689243027888
z_oi,>+2σ,377,0.8976606239271193,56.49867374005305
z_oi_silent,-2 to -1,59,0.016442605990262617,47.45762711864407
z_oi_silent,-1 to +1,4299,0.5897719053703744,54.19865084903466
z_oi_silent,+1 to +2,299,0.4956062140299613,52.84280936454849
z_oi_silent,>+2σ,474,1.010559379955372,56.540084388185655
z_cb_premium,-2 to -1,2409,0.6248631885083891,53.71523453715235
z_cb_premium,-1 to +1,462,0.7550770625519424,54.54545454545454
z_cb_premium,+1 to +2,2265,0.5750528064818695,54.790286975717436
z_dom_stables,-1 to +1,1718,0.6267181020112517,55.23864959254947
z_top_lsr_count,<-2σ,371,0.5418901345791278,52.2911051212938
z_top_lsr_count,-2 to -1,1338,0.9272546515945489,56.427503736920784
z_top_lsr_count,-1 to +1,1719,0.5453991182273986,53.86852821407795
z_top_lsr_count,+1 to +2,1297,0.43838331578610246,52.89128758673862
z_top_lsr_count,>+2σ,410,0.5217924071102876,55.1219512195122
z_top_lsr_sum,<-2σ,369,0.23270857736976902,55.013550135501355
z_top_lsr_sum,-2 to -1,1199,0.7902360176814824,56.13010842368641
z_top_lsr_sum,-1 to +1,2166,0.5560616150367269,52.308402585410896
z_top_lsr_sum,+1 to +2,1048,0.632658921202725,55.43893129770993
z_top_lsr_sum,>+2σ,352,0.7440179540210877,55.96590909090909
z_taker_ratio,-2 to -1,674,0.4020633492782395,52.52225519287834
z_taker_ratio,-1 to +1,3587,0.6100830153389246,54.27934206858098
z_taker_ratio,+1 to +2,608,1.078935708624865,56.9078947368421
z_taker_ratio,>+2σ,265,0.12320072116720009,52.075471698113205
brigalS,<-2σ,1685,0.8187416595332588,55.01483679525223
brigalS,-2 to -1,505,0.49779894515613365,56.63366336633663
brigalS,-1 to +1,788,0.6598115407827714,52.91878172588832
brigalS,+1 to +2,508,0.5593632156559304,56.496062992125985
brigalS,>+2σ,1650,0.43732088447861595,52.72727272727272
oilsr,<-2σ,895,0.3093224461570206,51.955307262569825
oilsr,-2 to -1,675,0.34275573168614737,52.59259259259259
oilsr,-1 to +1,1821,0.5590866313681174,54.36573311367381
oilsr,+1 to +2,660,0.8689068051638212,56.515151515151516
oilsr,>+2σ,1085,0.9740614519529903,55.66820276497696
cross_institutional_lead,<-2σ,1046,0.7097615549334699,54.875717017208416
cross_institutional_lead,-2 to -1,602,0.8545949770081847,58.30564784053156
cross_institutional_lead,-1 to +1,1658,0.6062472672764526,52.77442702050663
cross_institutional_lead,+1 to +2,506,-0.7983456325111062,48.22134387351779
cross_institutional_lead,>+2σ,1324,0.9807883602598686,56.11782477341389
cross_leverage_heat,<-2σ,2094,1.0433209608354692,59.742120343839545
cross_leverage_heat,-2 to -1,154,-1.4011950088657712,41.55844155844156
cross_leverage_heat,-1 to +1,394,-0.5735693172005022,47.96954314720812
cross_leverage_heat,+1 to +2,222,1.5722294002698316,61.711711711711715
cross_leverage_heat,>+2σ,2064,0.6263980116359726,52.03488372093024
cross_risk_off,-2 to -1,232,2.83577536699717,60.775862068965516
cross_risk_off,-1 to +1,4690,0.4339329980547068,53.368869936034116
cross_risk_off,+1 to +2,192,2.0948718312732173,64.58333333333334
cross_real_money,<-2σ,2352,0.3870681898098054,50.085034013605444
cross_real_money,-2 to -1,154,1.993568761667142,58.44155844155844
cross_real_money,-1 to +1,214,-0.015556957726035867,51.86915887850467
cross_real_money,+1 to +2,102,-1.550159999081867,35.294117647058826
cross_real_money,>+2σ,2176,1.0173026578694857,60.43198529411765
