X,Y,Z,n_bull,n_bear,bull_rate_pct,bear_rate_pct
0.02,12,0.005,1060,945,20.54263565891473,18.313953488372093
0.02,12,0.01,1434,1332,27.790697674418606,25.813953488372093
0.02,12,0.015,1702,1544,32.98449612403101,29.92248062015504
0.02,24,0.005,932,790,18.06201550387597,15.310077519379844
0.02,24,0.01,1382,1219,26.78294573643411,23.624031007751938
0.02,24,0.015,1800,1528,34.883720930232556,29.612403100775193
0.02,48,0.005,700,553,13.565891472868216,10.71705426356589
0.02,48,0.01,1041,877,20.174418604651162,16.996124031007753
0.02,48,0.015,1417,1137,27.461240310077518,22.03488372093023
0.03,12,0.005,833,723,16.143410852713178,14.011627906976745
0.03,12,0.01,1080,959,20.930232558139537,18.58527131782946
0.03,12,0.015,1232,1081,23.875968992248062,20.949612403100776
0.03,24,0.005,860,709,16.666666666666664,13.74031007751938
0.03,24,0.01,1235,1059,23.934108527131784,20.52325581395349
0.03,24,0.015,1548,1291,30.0,25.019379844961243
0.03,48,0.005,695,541,13.468992248062014,10.484496124031008
0.03,48,0.01,1023,857,19.825581395348838,16.608527131782946
0.03,48,0.015,1368,1080,26.51162790697674,20.930232558139537
0.05,12,0.005,419,369,8.12015503875969,7.151162790697674
0.05,12,0.01,525,487,10.174418604651162,9.437984496124031
0.05,12,0.015,592,534,11.472868217054263,10.348837209302324
0.05,24,0.005,644,488,12.48062015503876,9.45736434108527
0.05,24,0.01,875,697,16.95736434108527,13.507751937984496
0.05,24,0.015,1044,826,20.232558139534884,16.007751937984498
0.05,48,0.005,637,500,12.344961240310077,9.689922480620156
0.05,48,0.01,912,750,17.674418604651162,14.534883720930234
0.05,48,0.015,1159,928,22.461240310077518,17.984496124031008
