regime,indicator,horizon_h,n,pearson_corr
trending_down,z_lsr,4,2137,-0.049445557577709534
trending_down,z_fund,4,2137,-0.04304370461059743
trending_down,z_oi,4,2137,0.02021402672612346
trending_down,z_oi_silent,4,2133,-0.0376299810474933
trending_down,z_cb_premium,4,2137,-0.016984055478071566
trending_down,z_dom_stables,4,709,0.058722876919291976
trending_down,z_top_lsr_count,4,2137,-0.04453984212823699
trending_down,z_top_lsr_sum,4,2137,-0.025841166070082258
trending_down,z_taker_ratio,4,2137,-0.0029683233797200806
trending_down,brigalS,4,2137,-0.04948146604325729
trending_down,oilsr,4,2137,0.04772382092002513
trending_down,cross_institutional_lead,4,2137,0.0014311626919161393
trending_down,cross_leverage_heat,4,2004,
trending_down,cross_risk_off,4,2137,-0.007006846515895534
trending_down,cross_real_money,4,2004,
trending_down,rsi_14,4,2137,0.04878023539557854
trending_down,atr_pct,4,2135,0.01076067964631987
trending_down,z_lsr,24,2117,-0.017095561504416854
trending_down,z_fund,24,2117,-0.005751132517606091
trending_down,z_oi,24,2117,-0.014854570881955905
trending_down,z_oi_silent,24,2113,-0.015433109913564093
trending_down,z_cb_premium,24,2117,0.001371152280903152
trending_down,z_dom_stables,24,701,0.052852548577702586
trending_down,z_top_lsr_count,24,2117,-0.0036850417763363446
trending_down,z_top_lsr_sum,24,2117,-0.025996569382591265
trending_down,z_taker_ratio,24,2117,0.01451605597703922
trending_down,brigalS,24,2117,-0.016940505714597532
trending_down,oilsr,24,2117,0.002144344155431525
trending_down,cross_institutional_lead,24,2117,0.007805324337120369
trending_down,cross_leverage_heat,24,1984,
trending_down,cross_risk_off,24,2117,-0.04022524302715688
trending_down,cross_real_money,24,1984,
trending_down,rsi_14,24,2117,0.011208996626852924
trending_down,atr_pct,24,2115,-0.08938024312168831
trending_up,z_lsr,4,2183,-0.019074308884743995
trending_up,z_fund,4,2183,0.02635588843575658
trending_up,z_oi,4,2183,0.043595487007061305
trending_up,z_oi_silent,4,2182,-0.007928370000146057
trending_up,z_cb_premium,4,2183,-0.0012685621522369932
trending_up,z_dom_stables,4,745,0.1067041481878982
trending_up,z_top_lsr_count,4,2182,-0.0172256438603535
trending_up,z_top_lsr_sum,4,2183,-0.01989487236351561
trending_up,z_taker_ratio,4,2183,-0.04296006470125103
trending_up,brigalS,4,2183,-0.01910725144528372
trending_up,oilsr,4,2183,0.040770089592075676
trending_up,cross_institutional_lead,4,2183,-0.0046187539029013906
trending_up,cross_leverage_heat,4,2178,-0.03106886383741312
trending_up,cross_risk_off,4,2183,-0.050721768894228525
trending_up,cross_real_money,4,2178,0.031069222420144985
trending_up,rsi_14,4,2183,0.048938800853289714
trending_up,atr_pct,4,2183,0.0962324685812556
trending_up,z_lsr,24,2163,-0.02285042790905116
trending_up,z_fund,24,2163,0.05969413352944468
trending_up,z_oi,24,2163,0.07766398641886442
trending_up,z_oi_silent,24,2163,0.019898825108249377
trending_up,z_cb_premium,24,2163,-0.00946075929430187
trending_up,z_dom_stables,24,737,0.06745924282652166
trending_up,z_top_lsr_count,24,2162,-0.035211713981978
trending_up,z_top_lsr_sum,24,2163,0.02083697709743836
trending_up,z_taker_ratio,24,2163,-0.01693737269083234
trending_up,brigalS,24,2163,-0.022549555461010208
trending_up,oilsr,24,2163,0.06523528201506432
trending_up,cross_institutional_lead,24,2163,-0.11679410240785999
trending_up,cross_leverage_heat,24,2158,-0.06340848931768593
trending_up,cross_risk_off,24,2163,0.013150576397681276
trending_up,cross_real_money,24,2158,0.06341219507506791
trending_up,rsi_14,24,2163,0.05487825101275464
trending_up,atr_pct,24,2163,0.020283732768519996
below_ema50,z_lsr,4,828,0.03311869016854257
below_ema50,z_fund,4,828,-0.013357845740642886
below_ema50,z_oi,4,828,-0.06027097902316037
below_ema50,z_oi_silent,4,828,-0.04113585960975292
below_ema50,z_cb_premium,4,828,0.02464843710619517
below_ema50,z_dom_stables,4,270,-0.02982612833951706
below_ema50,z_top_lsr_count,4,828,0.02087259703980927
below_ema50,z_top_lsr_sum,4,826,0.01650448835858667
below_ema50,z_taker_ratio,4,828,-0.00031473733814041014
below_ema50,brigalS,4,828,0.03323072703304332
below_ema50,oilsr,4,828,-0.06109486178208868
below_ema50,cross_institutional_lead,4,828,-0.09619768581090508
below_ema50,cross_leverage_heat,4,828,-0.010088295394618373
below_ema50,cross_risk_off,4,828,0.07311631628482192
below_ema50,cross_real_money,4,828,0.01009060894842381
below_ema50,rsi_14,4,828,-0.008061693573741006
below_ema50,atr_pct,4,828,-0.09487099839115193
below_ema50,z_lsr,24,808,0.07951952327649658
below_ema50,z_fund,24,808,-0.013293374217710784
below_ema50,z_oi,24,808,-0.02059535478693666
below_ema50,z_oi_silent,24,808,0.011277530337886362
below_ema50,z_cb_premium,24,808,0.015163058326139078
below_ema50,z_dom_stables,24,262,-0.022676334414572293
below_ema50,z_top_lsr_count,24,808,0.05478923797875746
below_ema50,z_top_lsr_sum,24,806,0.00824007711613209
below_ema50,z_taker_ratio,24,808,-0.035204404623055296
below_ema50,brigalS,24,808,0.07951887166272933
below_ema50,oilsr,24,808,-0.06540116857687862
below_ema50,cross_institutional_lead,24,808,-0.2754857716892903
below_ema50,cross_leverage_heat,24,808,-0.025331147182115474
below_ema50,cross_risk_off,24,808,0.1937767733522186
below_ema50,cross_real_money,24,808,0.025337714237701592
below_ema50,rsi_14,24,808,-0.05376116319046269
below_ema50,atr_pct,24,808,-0.13950737477826183
