ts_utc,event_slug,city,kind,target_date,station,run_extreme,n_obs,bracket,lo,hi,unit,price,best_bid,best_ask,dead,flag
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-zhengzhou-on-may-21-2026,zhengzhou,highest,2026-05-21,ZHCC,,0,25°C,25,25,C,0.0,0,1,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-zhengzhou-on-may-21-2026,zhengzhou,highest,2026-05-21,ZHCC,,0,26°C,26,26,C,0.0,0,1,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-zhengzhou-on-may-21-2026,zhengzhou,highest,2026-05-21,ZHCC,,0,27°C,27,27,C,0.0,0,1,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-zhengzhou-on-may-21-2026,zhengzhou,highest,2026-05-21,ZHCC,,0,28°C,28,28,C,0.0,0,1,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-zhengzhou-on-may-21-2026,zhengzhou,highest,2026-05-21,ZHCC,,0,29°C,29,29,C,0.0,0,1,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-zhengzhou-on-may-21-2026,zhengzhou,highest,2026-05-21,ZHCC,,0,30°C,30,30,C,0.0,0,1,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-zhengzhou-on-may-21-2026,zhengzhou,highest,2026-05-21,ZHCC,,0,31°C,31,31,C,0.0,0,1,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-zhengzhou-on-may-21-2026,zhengzhou,highest,2026-05-21,ZHCC,,0,32°C,32,32,C,0.0,0,1,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-zhengzhou-on-may-21-2026,zhengzhou,highest,2026-05-21,ZHCC,,0,33°C or higher,33,,C,0.0,0,1,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-london-on-july-28-2026,london,highest,2026-07-28,EGLC,28.0,29,26°C or below,,26,C,0.0005,,0.001,DEAD,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-london-on-july-28-2026,london,highest,2026-07-28,EGLC,28.0,29,27°C,27,27,C,0.0025,0.001,0.004,DEAD,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-london-on-july-28-2026,london,highest,2026-07-28,EGLC,28.0,29,28°C,28,28,C,0.045,0.03,0.06,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-london-on-july-28-2026,london,highest,2026-07-28,EGLC,28.0,29,29°C,29,29,C,0.335,0.33,0.34,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-london-on-july-28-2026,london,highest,2026-07-28,EGLC,28.0,29,30°C,30,30,C,0.475,0.47,0.48,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-london-on-july-28-2026,london,highest,2026-07-28,EGLC,28.0,29,31°C,31,31,C,0.125,0.12,0.13,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-london-on-july-28-2026,london,highest,2026-07-28,EGLC,28.0,29,32°C,32,32,C,0.011,0.007,0.015,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-london-on-july-28-2026,london,highest,2026-07-28,EGLC,28.0,29,33°C,33,33,C,0.0015,0.001,0.002,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-london-on-july-28-2026,london,highest,2026-07-28,EGLC,28.0,29,34°C,34,34,C,0.0005,,0.001,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-london-on-july-28-2026,london,highest,2026-07-28,EGLC,28.0,29,35°C,35,35,C,0.0005,,0.001,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-london-on-july-28-2026,london,highest,2026-07-28,EGLC,28.0,29,36°C or higher,36,,C,0.0005,,0.001,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-paris-on-july-28-2026,paris,highest,2026-07-28,LFPB,31.0,31,27°C or below,,27,C,0.0005,,0.001,DEAD,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-paris-on-july-28-2026,paris,highest,2026-07-28,LFPB,31.0,31,28°C,28,28,C,0.0005,,0.001,DEAD,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-paris-on-july-28-2026,paris,highest,2026-07-28,LFPB,31.0,31,29°C,29,29,C,0.0005,,0.001,DEAD,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-paris-on-july-28-2026,paris,highest,2026-07-28,LFPB,31.0,31,30°C,30,30,C,0.0005,,0.001,DEAD,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-paris-on-july-28-2026,paris,highest,2026-07-28,LFPB,31.0,31,31°C,31,31,C,0.04,0.03,0.05,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-paris-on-july-28-2026,paris,highest,2026-07-28,LFPB,31.0,31,32°C,32,32,C,0.635,0.62,0.65,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-paris-on-july-28-2026,paris,highest,2026-07-28,LFPB,31.0,31,33°C,33,33,C,0.325,0.31,0.34,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-paris-on-july-28-2026,paris,highest,2026-07-28,LFPB,31.0,31,34°C,34,34,C,0.0205,0.016,0.025,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-paris-on-july-28-2026,paris,highest,2026-07-28,LFPB,31.0,31,35°C,35,35,C,0.004,0.001,0.007,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-paris-on-july-28-2026,paris,highest,2026-07-28,LFPB,31.0,31,36°C,36,36,C,0.0005,,0.001,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-paris-on-july-28-2026,paris,highest,2026-07-28,LFPB,31.0,31,37°C or higher,37,,C,0.0005,,0.001,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-seoul-on-july-28-2026,seoul,highest,2026-07-28,RKSI,30.0,45,23°C or below,,23,C,0.0005,,0.001,DEAD,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-seoul-on-july-28-2026,seoul,highest,2026-07-28,RKSI,30.0,45,24°C,24,24,C,0.0005,,0.001,DEAD,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-seoul-on-july-28-2026,seoul,highest,2026-07-28,RKSI,30.0,45,25°C,25,25,C,0.0005,,0.001,DEAD,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-seoul-on-july-28-2026,seoul,highest,2026-07-28,RKSI,30.0,45,26°C,26,26,C,0.0005,,0.001,DEAD,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-seoul-on-july-28-2026,seoul,highest,2026-07-28,RKSI,30.0,45,27°C,27,27,C,0.0005,,0.001,DEAD,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-seoul-on-july-28-2026,seoul,highest,2026-07-28,RKSI,30.0,45,28°C,28,28,C,0.0005,,0.001,DEAD,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-seoul-on-july-28-2026,seoul,highest,2026-07-28,RKSI,30.0,45,29°C,29,29,C,0.0005,,0.001,DEAD,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-seoul-on-july-28-2026,seoul,highest,2026-07-28,RKSI,30.0,45,30°C,30,30,C,0.9995,0.999,1,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-seoul-on-july-28-2026,seoul,highest,2026-07-28,RKSI,30.0,45,31°C,31,31,C,0.0005,,0.001,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-seoul-on-july-28-2026,seoul,highest,2026-07-28,RKSI,30.0,45,32°C,32,32,C,0.0005,,0.001,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-seoul-on-july-28-2026,seoul,highest,2026-07-28,RKSI,30.0,45,33°C or higher,33,,C,0.002,0.001,0.003,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-ankara-on-july-28-2026,ankara,highest,2026-07-28,LTAC,30.0,33,24°C or below,,24,C,0.0005,,0.001,DEAD,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-ankara-on-july-28-2026,ankara,highest,2026-07-28,LTAC,30.0,33,25°C,25,25,C,0.0005,,0.001,DEAD,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-ankara-on-july-28-2026,ankara,highest,2026-07-28,LTAC,30.0,33,26°C,26,26,C,0.0005,,0.001,DEAD,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-ankara-on-july-28-2026,ankara,highest,2026-07-28,LTAC,30.0,33,27°C,27,27,C,0.0005,,0.001,DEAD,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-ankara-on-july-28-2026,ankara,highest,2026-07-28,LTAC,30.0,33,28°C,28,28,C,0.0005,,0.001,DEAD,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-ankara-on-july-28-2026,ankara,highest,2026-07-28,LTAC,30.0,33,29°C,29,29,C,0.0005,,0.001,DEAD,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-ankara-on-july-28-2026,ankara,highest,2026-07-28,LTAC,30.0,33,30°C,30,30,C,0.975,0.96,0.99,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-ankara-on-july-28-2026,ankara,highest,2026-07-28,LTAC,30.0,33,31°C,31,31,C,0.025,0.01,0.04,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-ankara-on-july-28-2026,ankara,highest,2026-07-28,LTAC,30.0,33,32°C,32,32,C,0.0045,0.001,0.008,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-ankara-on-july-28-2026,ankara,highest,2026-07-28,LTAC,30.0,33,33°C,33,33,C,0.0035,0.001,0.006,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-ankara-on-july-28-2026,ankara,highest,2026-07-28,LTAC,30.0,33,34°C or higher,34,,C,0.0005,,0.001,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-lucknow-on-july-28-2026,lucknow,highest,2026-07-28,VILK,34.0,38,27°C or below,,27,C,0.0005,,0.001,DEAD,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-lucknow-on-july-28-2026,lucknow,highest,2026-07-28,VILK,34.0,38,28°C,28,28,C,0.0005,,0.001,DEAD,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-lucknow-on-july-28-2026,lucknow,highest,2026-07-28,VILK,34.0,38,29°C,29,29,C,0.0005,,0.001,DEAD,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-lucknow-on-july-28-2026,lucknow,highest,2026-07-28,VILK,34.0,38,30°C,30,30,C,0.0005,,0.001,DEAD,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-lucknow-on-july-28-2026,lucknow,highest,2026-07-28,VILK,34.0,38,31°C,31,31,C,0.0005,,0.001,DEAD,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-lucknow-on-july-28-2026,lucknow,highest,2026-07-28,VILK,34.0,38,32°C,32,32,C,0.0005,,0.001,DEAD,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-lucknow-on-july-28-2026,lucknow,highest,2026-07-28,VILK,34.0,38,33°C,33,33,C,0.0005,,0.001,DEAD,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-lucknow-on-july-28-2026,lucknow,highest,2026-07-28,VILK,34.0,38,34°C,34,34,C,0.9995,0.999,1,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-lucknow-on-july-28-2026,lucknow,highest,2026-07-28,VILK,34.0,38,35°C,35,35,C,0.0005,,0.001,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-lucknow-on-july-28-2026,lucknow,highest,2026-07-28,VILK,34.0,38,36°C,36,36,C,0.0005,,0.001,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-lucknow-on-july-28-2026,lucknow,highest,2026-07-28,VILK,34.0,38,37°C or higher,37,,C,0.0005,,0.001,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-munich-on-july-28-2026,munich,highest,2026-07-28,EDDM,28.0,31,24°C or below,,24,C,0.0005,,0.001,DEAD,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-munich-on-july-28-2026,munich,highest,2026-07-28,EDDM,28.0,31,25°C,25,25,C,0.0005,,0.001,DEAD,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-munich-on-july-28-2026,munich,highest,2026-07-28,EDDM,28.0,31,26°C,26,26,C,0.0005,,0.001,DEAD,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-munich-on-july-28-2026,munich,highest,2026-07-28,EDDM,28.0,31,27°C,27,27,C,0.005,,0.01,DEAD,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-munich-on-july-28-2026,munich,highest,2026-07-28,EDDM,28.0,31,28°C,28,28,C,0.725,0.71,0.74,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-munich-on-july-28-2026,munich,highest,2026-07-28,EDDM,28.0,31,29°C,29,29,C,0.265,0.26,0.27,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-munich-on-july-28-2026,munich,highest,2026-07-28,EDDM,28.0,31,30°C,30,30,C,0.017,0.015,0.019,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-munich-on-july-28-2026,munich,highest,2026-07-28,EDDM,28.0,31,31°C,31,31,C,0.0055,0.001,0.01,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-munich-on-july-28-2026,munich,highest,2026-07-28,EDDM,28.0,31,32°C,32,32,C,0.0005,,0.001,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-munich-on-july-28-2026,munich,highest,2026-07-28,EDDM,28.0,31,33°C,33,33,C,0.0005,,0.001,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-munich-on-july-28-2026,munich,highest,2026-07-28,EDDM,28.0,31,34°C or higher,34,,C,0.0005,,0.001,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-tel-aviv-on-july-28-2026,tel-aviv,highest,2026-07-28,,,0,27°C or below,,27,C,0.0005,,0.001,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-tel-aviv-on-july-28-2026,tel-aviv,highest,2026-07-28,,,0,28°C,28,28,C,0.0005,,0.001,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-tel-aviv-on-july-28-2026,tel-aviv,highest,2026-07-28,,,0,29°C,29,29,C,0.0005,,0.001,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-tel-aviv-on-july-28-2026,tel-aviv,highest,2026-07-28,,,0,30°C,30,30,C,0.001,,0.002,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-tel-aviv-on-july-28-2026,tel-aviv,highest,2026-07-28,,,0,31°C,31,31,C,0.0005,,0.001,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-tel-aviv-on-july-28-2026,tel-aviv,highest,2026-07-28,,,0,32°C,32,32,C,0.985,0.98,0.99,,
2026-07-28T13:28:34.260855+00:00,highest-temperature-in-tel-aviv-on-july-28-2026,tel-aviv,highest,2026-07-28,,,0,33°C,33,33,C,0.006,0.002,0.01,,
