sleeve_id,anchor,gate_stack,n_full,n_train,n_val,n_lockbox,wr_train,wr_val,wr_lockbox,dpt_25_train,dpt_25_val,dpt_25_lockbox,sum_25_full,sum_25_lockbox,max_dd_25_full,max_dd_25_lockbox,loss_streak_full,loss_streak_lockbox,sharpe_full,sharpe_lockbox,n_28d_proj,bootstrap_p_lockbox,objective,lottery_top5_share,lottery_n_deep,lottery_deep_share,pass,fail_reason
F_g_parent_15m_regime_with+g_within_dev+g_hurst_trending,parent_15m+r2,g_parent_15m_regime_with+g_within_dev+g_hurst_trending,712,361,133,218,0.8421052631578947,0.8045112781954887,0.926605504587156,2.4944977377601965,0.6123408265165696,13.503230916808535,3925.6593531223953,2943.704339864261,350.0,350.0,14,14,7.77833873425443,67.29323048829787,803.8709677419354,0.0,199.3728152281513,0.2757677452897049,1.0,0.0675134318935928,True,PASS
F_g_parent_15m_slope_with+g_trend_slope_strong_with+g_mp_no_extreme,parent_15m+r2,g_parent_15m_slope_with+g_trend_slope_strong_with+g_mp_no_extreme,557,80,49,428,0.8375,0.8367346938775511,0.7757009345794392,5.845254948790357,6.015402846126911,9.508355828372268,4831.951429906778,4069.57629454333,289.08759001281646,289.08759001281646,11,11,11.083534282265454,39.19563080556879,628.8709677419354,0.0,196.71039494451404,0.2813020137615549,2.0,0.0917224278545677,True,PASS
F_g_parent_15m_not_ranging+g_trend_slope_strong_with+g_mp_skew_with,parent_15m+r2,g_parent_15m_not_ranging+g_trend_slope_strong_with+g_mp_skew_with,343,164,18,161,0.945121951219512,0.8888888888888888,0.9316770186335404,4.308346846529903,1.5997475473175569,15.38489753355422,3212.33284158485,2476.9685029022294,250.0,250.0,10,10,6.769962189775605,19.632537629890177,387.258064516129,0.0,195.2124653063733,0.2454735912862073,1.0,0.0820303557194297,True,PASS
F_g_parent_15m_regime_with+g_rf_with+g_hurst_trending,parent_15m+r2,g_parent_15m_regime_with+g_rf_with+g_hurst_trending,610,311,114,185,0.8295819935691319,0.8070175438596491,0.9351351351351352,2.494187224433357,1.375829111406875,14.06636708942801,3534.81465704334,2602.2779115441817,314.3990673240761,250.0,11,10,8.269828485024675,138.83311871367576,688.7096774193549,0.0,191.3232771319019,0.2909791883628987,1.0,0.0777819912847791,True,PASS
F_g_parent_15m_regime_with+g_ribbon_agrees+g_hurst_trending,parent_15m+r2,g_parent_15m_regime_with+g_ribbon_agrees+g_hurst_trending,594,304,112,178,0.8388157894736842,0.8214285714285714,0.9606741573033708,2.8794483874696115,1.902034477656802,13.99763380768107,3579.958989055555,2491.5788177672302,317.12129026744094,125.0,11,5,8.786410524978052,173.86805284105753,670.6451612903226,0.0,186.7517279547384,0.2320417126845153,0.0,0.0,True,PASS
F_g_parent_15m_slope_with+g_mp_skew_with+g_imb5_strong_with,parent_15m+r2,g_parent_15m_slope_with+g_mp_skew_with+g_imb5_strong_with,1232,690,191,351,0.7420289855072464,0.7539267015706806,0.6752136752136753,4.733919127433732,5.17944117244161,8.732232554415594,7320.691088465496,3065.013626599873,959.264959629406,318.4781435735204,20,6,11.145238951341684,27.49544722750338,1390.967741935484,0.0,163.59832447162412,0.4365430384500651,3.0,0.2251466535657242,True,PASS
F_g_parent_15m_slope_with+g_trend_slope_strong_with+g_vol_high,parent_15m+r2,g_parent_15m_slope_with+g_trend_slope_strong_with+g_vol_high,1458,915,283,260,0.8786885245901639,0.8586572438162544,0.8615384615384616,4.085056170597954,0.5680797027817006,9.869176533447783,6464.578850680774,2565.985898696424,549.4911430230704,250.0,14,10,13.328443470102346,73.93305339341389,1646.1290322580644,0.0,159.13568995223125,0.3528565028816807,2.0,0.1758744309696404,True,PASS
H_g_hurst_regime_with+g_trend_slope_strong_with+g_hawkes_imbalance_with,hurst+strong+strong,g_hurst_regime_with+g_trend_slope_strong_with+g_hawkes_imbalance_with,1414,798,382,234,0.9511278195488722,0.8691099476439791,0.9188034188034188,5.015777840880592,0.4304352901871917,10.337427018686348,6585.974920246826,2418.957922372605,384.8703310805727,150.0,14,6,13.18318518020285,50.94526152742288,1596.451612903226,0.0,158.13222626586892,0.3115880880257724,1.0,0.1326326618272354,True,PASS
F_g_parent_15m_not_ranging+g_rf_with+g_hurst_trending,parent_15m+r2,g_parent_15m_not_ranging+g_rf_with+g_hurst_trending,1429,788,320,321,0.8654822335025381,0.840625,0.8753894080996885,2.734831174396471,0.4158364342465315,8.482828217649585,5011.102482248825,2722.987857865517,552.1219733924218,429.25472928292766,21,11,10.125444477729031,283.0148295305719,1613.3870967741934,0.0,151.98236159837364,0.3036023264537287,1.0,0.0606354261254995,True,PASS
F_g_parent_15m_slope_with+g_trend_slope_strong_with+g_queue_top_high,parent_15m+r2,g_parent_15m_slope_with+g_trend_slope_strong_with+g_queue_top_high,1483,898,281,304,0.9198218262806236,0.9181494661921707,0.805921052631579,2.7155920101223447,1.7102018328128188,8.62886129969845,5542.342175218597,2623.1738351083286,517.4915305784643,309.37875283908346,14,8,9.34526927546387,17.536967337463974,1674.354838709677,0.0,150.44933761285833,0.4764948335561144,3.0,0.2477661849351084,True,PASS
