sleeve_id,anchor,gate_stack,n_full,n_train,n_val,n_lockbox,wr_train,wr_val,wr_lockbox,dpt_25_train,dpt_25_val,dpt_25_lockbox,sum_25_full,sum_25_lockbox,max_dd_25_full,max_dd_25_lockbox,loss_streak_full,loss_streak_lockbox,sharpe_full,sharpe_lockbox,n_28d_proj,bootstrap_p_lockbox,objective,lottery_top5_share,lottery_n_deep,lottery_deep_share,pass,fail_reason
F_g_parent_15m_slope_with+g_hawkes_imbalance_with+g_within_dev,parent_15m+r2,g_parent_15m_slope_with+g_hawkes_imbalance_with+g_within_dev,6217,3473,1371,1373,0.8315577310682407,0.8329686360320934,0.7494537509104151,0.9984600083262647,0.8603057057290946,2.5028694469951143,8083.570482196,3436.439750724292,1847.4691664719428,1185.315633948434,30,22,9.747708591715597,89.53052111891702,7019.193548387097,0.0,92.74136109917374,0.32229236374131287,1.0,0.03188927543439061,False,n_28d_out_of_band
H_g_hurst_regime_with+g_queue_top_high+g_hawkes_imbalance_with,hurst+strong+strong,g_hurst_regime_with+g_queue_top_high+g_hawkes_imbalance_with,2370,1391,516,463,0.9237958303378864,0.9069767441860465,0.816414686825054,2.859136731523324,0.9834218678377408,4.2984515618028345,6474.68795046793,1990.1830731147124,521.1307490253403,521.1307490253333,13,7,14.371813323402934,46.70136078111164,2675.8064516129034,0.0,92.49165118486911,0.35553664509284827,1.0,0.09327248281320757,False,n_28d_out_of_band
F_g_parent_15m_regime_with+g_hl_liq_cascade_with+g_vol_high,parent_15m+r2,g_parent_15m_regime_with+g_hl_liq_cascade_with+g_vol_high,191,89,25,77,0.9325842696629213,0.64,0.922077922077922,7.306855381755046,-7.239206748440666,10.400846838977252,1270.1951668664308,800.8652066012484,204.34247164726514,150.0,6,6,6.144767329740454,11.047906750499843,215.64516129032256,0.25,91.26706061074532,0.09013935954203461,0.0,0.0,False,bootstrap_p_high
H_g_hurst_regime_with+g_queue_top_high+g_markov_with,hurst+strong+strong,g_hurst_regime_with+g_queue_top_high+g_markov_with,1373,763,297,313,0.9069462647444299,0.8653198653198653,0.7380191693290735,3.244193835704958,0.6577208724737013,5.144634785803707,4280.933683724133,1610.2706879565603,710.0101887780788,710.0101887780804,10,10,10.8286609278281,28.56878272991312,1550.1612903225805,0.0,91.01788063793502,0.49338866047874935,3.0,0.2774081435197187,False,dd_lockbox_high
F_g_parent_15m_regime_with+g_tr_above_ema200+g_hl_liq_cascade_with,parent_15m+r2,g_parent_15m_regime_with+g_tr_above_ema200+g_hl_liq_cascade_with,229,101,49,79,0.9306930693069307,0.7551020408163265,0.9113924050632911,4.588810657909257,-4.016575552042944,10.215785127655497,1073.704699483515,807.0470250847843,224.12821246072804,175.0,7,7,5.153302053160377,11.203910047443703,258.5483870967742,0.25,90.79988434012321,0.0899367036914259,0.0,0.0,False,bootstrap_p_high
F_g_parent_15m_slope_with+g_hawkes_imbalance_with+g_tr_above_ema800,parent_15m+r2,g_parent_15m_slope_with+g_hawkes_imbalance_with+g_tr_above_ema800,5890,3307,1324,1259,0.8351980647112186,0.8391238670694864,0.7648927720413026,0.7977324465739016,0.8077491378818893,2.5572963547427507,6927.197169996637,3219.636110621123,1943.623733847013,1037.0661867882145,29,20,8.92170525516166,9842.466981855447,6650.0,0.0,90.73898660052099,0.3132922159322396,1.0,0.03614373773847182,False,n_28d_out_of_band
A_ensemble_q90_thr39.7,weighted_ensemble,sum>=39.7,2733,1648,642,443,0.9387135922330098,0.9221183800623053,0.9142212189616253,2.695884632101772,1.3116537402652884,4.277815899297312,7179.972018342745,1895.0724433887092,448.6057599211995,198.45003765124738,14,5,15.221363451301603,260.8778247101689,3085.6451612903224,0.0,90.03760896785533,0.3236623472104366,0.0,0.0,False,n_28d_out_of_band
F_g_parent_15m_slope_with+g_hawkes_imbalance_with+g_tr_above_ema200,parent_15m+r2,g_parent_15m_slope_with+g_hawkes_imbalance_with+g_tr_above_ema200,6098,3436,1354,1308,0.8349825378346915,0.8375184638109305,0.7614678899082569,1.0415312563111028,0.8911611194753178,2.4860996895776357,8037.1519464220755,3251.8183939675473,1723.2561182154018,1137.2407744266936,30,21,10.196603411310406,417.8381438456479,6884.838709677419,0.0,89.91298404460596,0.31394779882020046,1.0,0.03473033384893511,False,n_28d_out_of_band
F_g_parent_15m_not_ranging+g_mp_skew_with,parent_15m+strong,g_parent_15m_not_ranging+g_mp_skew_with,1691,863,269,559,0.7520278099652375,0.7769516728624535,0.7155635062611807,-0.5211915397837664,0.8525527784623028,3.734681043943173,1867.2351021372028,2087.6867035642335,1790.775157064385,547.3760724509684,37,12,4.289698629772101,38.73059506638049,1909.1935483870968,0.0,88.29973928327055,0.29767390757564127,1.0,0.03723513456319981,False,dpt_lockbox_low
H_g_hurst_regime_with+g_tr_above_ema200+g_ribbon_agrees,hurst+strong+strong,g_hurst_regime_with+g_tr_above_ema200+g_ribbon_agrees,3605,2095,814,696,0.8973747016706444,0.8525798525798526,0.8017241379310345,3.2730105840603416,0.41023108088351823,3.3289497935494143,9507.834329755991,2316.9490563103923,689.7555828234117,350.0,27,14,14.250023219845602,41.727109629220095,4070.16129032258,0.0,87.82372733304474,0.2865652036845536,0.0,0.0,False,n_28d_out_of_band
