sleeve_id|pnl|roi|wr_pct|wins|n|stake|run|status
poly_sniper_v5_eth_15m_trstack_vwap_offearly|-54.37|-28.62|42|16|38|5|2d7h15m|idle
poly_sniper_v5_sol_15m_rfaged_trstack_late|-4.86|-48.56|50|1|2|5|2d7h15m|idle
poly_sniper_v5_eth_5m_cloud_ribbon_mp_hurst_v6|1.55|7.76|75|3|4|5|1h59m|idle
poly_sniper_v5_eth_5m_v5repl_off120_v6|0.52|10.41|100|1|1|5|1h59m|idle
poly_sniper_v5_eth_5m_bb_mp_hurst_band_v6|4.45|11.13|75|6|8|5|1h59m|idle
poly_sniper_v5_sol_5m_cci_f7_mfi_partial_vwap_v6|19.25|11.67|76|25|33|5|2d3h7m|idle
poly_sniper_v5_sol_5m_f7_mfi_ema200_vwap_v6|1.04|0.10|69|147|212|5|2d3h7m|idle
poly_sniper_v5_btc_15m_vwapprem_ema50_mpskew_off600_v6|1.11|22.13|100|1|1|5|1h58m|idle
poly_sniper_v5_btc_15m_ema800_ribslp_hawkes_off840_v6|-46.69|-42.44|55|12|22|5|2d2h54m|idle
poly_sniper_v5_sol_15m_hod_eu_off60_240_rf_tr_vwap80_v6|-3.01|-20.05|67|2|3|5|2d3h7m|idle
poly_sniper_v5_sol_15m_hod_eu_off60_240_rf_tr_vwap30_70_v6|-5.00|-100.00|0|0|1|5|2d3h7m|idle
poly_sniper_v5_sol_15m_hod_eu_tightrib_rf_tr_vwap80_v6|-21.56|-47.91|44|4|9|5|2d3h7m|idle
poly_sniper_v5_btc_5m_parent15m_notrang_ts_mpskew_v7|-7.66|-12.77|75|9|12|5|1h27m|idle
poly_sniper_v5_eth_5m_cloud_vwap_hurstmp_v7|2.97|11.86|80|4|5|5|1h59m|idle
poly_sniper_v5_eth_5m_ema50_hurst_parent15mrang_v7|-40.25|-12.98|56|35|62|5|2d3h7m|idle
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7|-92.21|-19.01|53|51|97|5|2d3h7m|idle
poly_sniper_v5_sol_5m_btcf7_f7overb_ema800_vwap_v7|54.22|8.47|71|91|128|5|2d3h7m|idle
poly_sniper_v5_sol_15m_btc_adx_btcvollow_v7|1.99|19.92|100|2|2|5|2d3h7m|idle
poly_sniper_v5_btc_5m_l_1hrf_imb5_rf_v8|4.01|4.01|85|17|20|5|2d3h7m|idle
poly_sniper_v5_btc_5m_l_1hrf_imb5_ribbon_v8|1.66|1.75|84|16|19|5|2d3h7m|idle
poly_sniper_v5_btc_5m_q_parent15mslope_ts_imb5_v8|-352.06|-13.54|68|356|520|5|2d3h7m|idle
poly_sniper_v5_eth_5m_l_ema50_hurst_grandparent_v8|3.24|9.25|71|5|7|5|2d3h7m|idle
poly_sniper_v5_eth_5m_k_hurst_ts_cci_tod_euus_v8|-13.00|-37.16|57|4|7|5|2d3h6m|idle
poly_sniper_v5_eth_5m_lq_ema50_hurst_grandparent_prev15m_v8|0.92|9.19|50|1|2|5|2d3h7m|idle
poly_sniper_v5_sol_5m_j_2asset_trending_cci_rf_ema200_v8|36.23|5.84|77|95|124|5|2d3h7m|idle
