sleeve_id,n,live_wr,live_pnl,live_pnl_per,first_fire,last_fire
shadow_poly_updown_ALL_5m_phase1_kelly,560,52.50,1276.68,2.2798,2026-05-27 00:00:21.382687+02,2026-05-29 19:00:39.451726+02
poly_sniper_v5_btc_5m_q_parent15mslope_ts_imb5_v8,520,68.46,-352.06,-0.6770,2026-05-27 21:26:00.988493+02,2026-05-29 19:06:08.01955+02
poly_updown_btc_5m_volume_INV_NIGHT,232,43.53,-900.66,-3.8822,2026-05-27 03:11:12.928869+02,2026-05-29 13:05:37.462256+02
poly_updown_eth_5m_volume_INV_NIGHT,232,42.24,-1171.21,-5.0483,2026-05-27 03:11:11.71655+02,2026-05-29 13:05:37.812264+02
poly_sniper_v5_sol_5m_rf_tr_partial_mid,232,68.53,41.62,0.1794,2026-05-27 16:56:00.344768+02,2026-05-29 19:11:01.772193+02
poly_updown_sol_5m_volume_INV_NIGHT,225,41.78,-1208.70,-5.3720,2026-05-27 03:11:10.588708+02,2026-05-29 13:05:36.442819+02
poly_sniper_v5_sol_5m_f7_mfi_ema200_vwap_v6,212,67.92,1.04,0.0049,2026-05-27 17:21:00.653162+02,2026-05-29 18:31:03.613739+02
shadow_poly_updown_ALL_5m_S3_prewindow,204,54.90,275.12,1.3486,2026-05-27 00:00:26.330867+02,2026-05-29 19:10:49.644402+02
poly_sniper_v5_sol_5m_btcf7_f7overb_ema800_vwap_v7,128,70.31,54.22,0.4236,2026-05-27 17:26:02.111215+02,2026-05-29 18:21:04.602995+02
poly_sniper_v5_sol_5m_j_2asset_trending_cci_rf_ema200_v8,124,76.61,36.23,0.2922,2026-05-27 19:16:02.297186+02,2026-05-29 18:46:04.620289+02
shadow_poly_updown_btc_5m_fade_sniper,101,48.51,-160.15,-1.5857,2026-05-27 01:15:36.211773+02,2026-05-29 18:45:25.86935+02
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,97,50.52,-92.21,-0.9506,2026-05-27 17:11:00.727902+02,2026-05-29 16:21:03.88207+02
shadow_poly_updown_btc_5m_fade_momo_v2,95,49.47,-100.95,-1.0626,2026-05-27 00:15:46.502936+02,2026-05-29 18:51:23.867532+02
shadow_poly_updown_sol_5m_fade_sniper,88,47.73,-228.96,-2.6019,2026-05-27 04:31:07.825206+02,2026-05-29 18:45:25.437682+02
shadow_poly_updown_sol_5m_fade_momo_v2,81,51.85,-40.44,-0.4993,2026-05-27 00:15:52.594199+02,2026-05-29 19:00:36.989642+02
poly_updown_sol_5m_v3_2,78,57.69,130.96,1.6790,2026-05-27 00:06:00.924189+02,2026-05-29 18:00:31.706519+02
poly_updown_eth_15m_volume_INV_NIGHT,78,46.15,-243.75,-3.1250,2026-05-27 03:30:42.074288+02,2026-05-29 13:15:23.359701+02
poly_updown_btc_15m_volume_INV_NIGHT,78,52.56,27.63,0.3542,2026-05-27 03:30:38.248819+02,2026-05-29 13:15:22.352018+02
