event_type,sleeve_id,asset,tf,direction,slug,fire_us,slot_start_us,fire_offset_s,fill_vwap,fill_shares,placed_size_usd,intended_size_usd,outcome,pnl_usd,book_source,exit_type,won,up_vwap,dn_vwap
sleeve_fire_placed,poly_sniper_v5_btc_5m_up_b2_contrarian2k_v9,BTC,5m,UP,btc-updown-5m-1780065300,1780065330000000,1780065300000000,30,0.55,9.09090909090909,5.0,5.0,,,ws_mirror,,,0.6764536130010154,0.56808693335104
sleeve_fire_placed,poly_sniper_v5_btc_5m_down_b2_contrarian2k_v9,BTC,5m,DOWN,btc-updown-5m-1780065300,1780065330000000,1780065300000000,30,0.45999999999999996,10.869565217391305,5.0,5.0,,,ws_mirror,,,0.6764536130010154,0.56808693335104
sleeve_fire_placed,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,15m,DOWN,btc-updown-15m-1780065000,1780065600000000,1780065000000000,600,0.62,8.064516129032258,5.0,5.0,,,ws_mirror,,,0.47060343766605905,0.7115793648363944
sleeve_fire_placed,poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H,BTC,15m,DOWN,btc-updown-15m-1780065000,1780065600000000,1780065000000000,600,0.62,8.064516129032258,5.0,5.0,,,ws_mirror,,,0.47060343766605905,0.7115793648363944
sleeve_fire_placed,poly_sniper_v5_btc_5m_up_b2_contrarian2k_v9,BTC,5m,UP,btc-updown-5m-1780065600,1780065630000000,1780065600000000,30,0.57,8.771929824561404,5.0,5.0,,,ws_mirror,,,0.6910471763280298,0.5711242591515377
sleeve_fire_placed,poly_sniper_v5_btc_5m_down_b2_contrarian2k_v9,BTC,5m,DOWN,btc-updown-5m-1780065600,1780065630000000,1780065600000000,30,0.44,11.363636363636363,5.0,5.0,,,ws_mirror,,,0.6910471763280298,0.5711242591515377
sleeve_fire_resolved,poly_sniper_v5_btc_5m_down_b2_contrarian2k_v9,BTC,5m,DOWN,btc-updown-5m-1780065300,1780065600000000,1780065300000000,30,0.45999999999999996,10.869565217391305,5.0,5.0,Down,5.680565217391305,ws_mirror,hold_to_resolve,True,0.6764536130010154,0.56808693335104
sleeve_fire_resolved,poly_sniper_v5_btc_5m_up_b2_contrarian2k_v9,BTC,5m,UP,btc-updown-5m-1780065300,1780065600000000,1780065300000000,30,0.55,9.09090909090909,5.0,5.0,Down,-5.0,ws_mirror,hold_to_resolve,False,0.6764536130010154,0.56808693335104
sleeve_fire_resolved,poly_sniper_v5_btc_5m_up_b2_contrarian2k_v9,BTC,5m,UP,btc-updown-5m-1780065600,1780065900000000,1780065600000000,30,0.57,8.771929824561404,5.0,5.0,Down,-5.0,ws_mirror,hold_to_resolve,False,0.6910471763280298,0.5711242591515377
sleeve_fire_resolved,poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H,BTC,15m,DOWN,btc-updown-15m-1780065000,1780065900000000,1780065000000000,600,0.62,8.064516129032258,5.0,5.0,Down,2.931516129032258,ws_mirror,hold_to_resolve,True,0.47060343766605905,0.7115793648363944
sleeve_fire_resolved,poly_sniper_v5_btc_5m_down_b2_contrarian2k_v9,BTC,5m,DOWN,btc-updown-5m-1780065600,1780065900000000,1780065600000000,30,0.44,11.363636363636363,5.0,5.0,Down,6.167636363636364,ws_mirror,hold_to_resolve,True,0.6910471763280298,0.5711242591515377
sleeve_fire_resolved,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,15m,DOWN,btc-updown-15m-1780065000,1780065900000000,1780065000000000,600,0.62,8.064516129032258,5.0,5.0,Down,2.931516129032258,ws_mirror,hold_to_resolve,True,0.47060343766605905,0.7115793648363944
sleeve_fire_placed,poly_sniper_v5_btc_5m_down_b2_contrarian2k_v9,BTC,5m,DOWN,btc-updown-5m-1780066200,1780066230000000,1780066200000000,30,0.25,20.0,5.0,5.0,,,ws_mirror,,,0.9637431693606628,0.3538404324544406
sleeve_fire_placed,poly_sniper_v5_btc_5m_up_b2_contrarian2k_v9,BTC,5m,UP,btc-updown-5m-1780066500,1780066530000000,1780066500000000,30,0.64,7.8125,5.0,5.0,,,ws_mirror,,,0.7614097716179973,0.5125669653748597
sleeve_fire_placed,poly_sniper_v5_btc_5m_down_b2_contrarian2k_v9,BTC,5m,DOWN,btc-updown-5m-1780066500,1780066530000000,1780066500000000,30,0.37,13.513513513513514,5.0,5.0,,,ws_mirror,,,0.7614097716179973,0.5125669653748597
sleeve_fire_resolved,poly_sniper_v5_btc_5m_down_b2_contrarian2k_v9,BTC,5m,DOWN,btc-updown-5m-1780066200,1780066500000000,1780066200000000,30,0.25,20.0,5.0,5.0,Up,-5.0,ws_mirror,hold_to_resolve,False,0.9637431693606628,0.3538404324544406
sleeve_fire_placed,poly_sniper_v5_btc_5m_up_b2_contrarian2k_v9,BTC,5m,UP,btc-updown-5m-1780066800,1780066830000000,1780066800000000,30,0.53,9.433962264150942,5.0,5.0,,,ws_mirror,,,0.6513726679120347,0.5987722261945405
sleeve_fire_placed,poly_sniper_v5_btc_5m_down_b2_contrarian2k_v9,BTC,5m,DOWN,btc-updown-5m-1780066800,1780066830000000,1780066800000000,30,0.4799999999999999,10.416666666666668,5.0,5.0,,,ws_mirror,,,0.6513726679120347,0.5987722261945405
sleeve_fire_resolved,poly_sniper_v5_btc_5m_down_b2_contrarian2k_v9,BTC,5m,DOWN,btc-updown-5m-1780066500,1780066800000000,1780066500000000,30,0.37,13.513513513513514,5.0,5.0,Up,-5.0,ws_mirror,hold_to_resolve,False,0.7614097716179973,0.5125669653748597
