event_type,sleeve_id,asset,tf,direction,slug,fire_us,slot_start_us,fire_offset_s,fill_vwap,fill_shares,placed_size_usd,intended_size_usd,outcome,pnl_usd,book_source,exit_type,won,up_vwap,dn_vwap
sleeve_fire_placed,poly_sniper_v5_sol_5m_rf_tr_partial_mid,SOL,5m,UP,sol-updown-5m-1779893400,1779893490000000,1779893400000000,90,0.77,6.4935064935064934,5.0,5.0,,,,,,0.953297698648364,0.4320813248328408
sleeve_fire_placed,poly_sniper_v5_sol_5m_rf_tr_partial_mid,SOL,5m,DOWN,sol-updown-5m-1779893400,1779893520000000,1779893400000000,120,0.35174799210521174,14.214722222222223,5.0,5.0,,,,,,0.8407191393499148,0.5001596606974553
sleeve_fire_placed,poly_sniper_v5_sol_5m_rf_tr_partial_mid,SOL,5m,UP,sol-updown-5m-1779893400,1779893580000000,1779893400000000,180,0.9199999999999999,5.434782608695652,5.0,5.0,,,,,,0.9799337499058949,0.25051437807584676
sleeve_fire_resolved,poly_sniper_v5_sol_5m_rf_tr_partial_mid,SOL,5m,UP,sol-updown-5m-1779893400,1779893700000000,1779893400000000,180,0.9199999999999999,5.434782608695652,5.0,5.0,Up,0.4260869565217395,,,,0.9799337499058949,0.25051437807584676
sleeve_fire_resolved,poly_sniper_v5_sol_5m_rf_tr_partial_mid,SOL,5m,UP,sol-updown-5m-1779893400,1779893700000000,1779893400000000,90,0.77,6.4935064935064934,5.0,5.0,Up,1.4636363636363636,,,,0.953297698648364,0.4320813248328408
sleeve_fire_resolved,poly_sniper_v5_sol_5m_rf_tr_partial_mid,SOL,5m,DOWN,sol-updown-5m-1779893400,1779893700000000,1779893400000000,120,0.35174799210521174,14.214722222222223,5.0,5.0,Up,-5.0,,,,0.8407191393499148,0.5001596606974553
sleeve_fire_placed,poly_sniper_v5_sol_5m_rf_tr_partial_mid,SOL,5m,UP,sol-updown-5m-1779894300,1779894390000000,1779894300000000,90,0.69,7.246376811594203,5.0,5.0,,,,,,0.8203172987821021,0.5014855577018104
sleeve_fire_resolved,poly_sniper_v5_sol_5m_rf_tr_partial_mid,SOL,5m,UP,sol-updown-5m-1779894300,1779894600000000,1779894300000000,90,0.69,7.246376811594203,5.0,5.0,Up,2.2014492753623194,,,,0.8203172987821021,0.5014855577018104
sleeve_fire_placed,poly_sniper_v5_sol_5m_rf_tr_partial_mid,SOL,5m,UP,sol-updown-5m-1779894600,1779894750000000,1779894600000000,150,0.7,7.142857142857143,5.0,5.0,,,,,,0.8293146343546292,0.4530970611531978
sleeve_fire_placed,poly_sniper_v5_sol_5m_f7_mfi_ema200_vwap_v6,SOL,5m,UP,sol-updown-5m-1779894900,1779894960000000,1779894900000000,60,0.541402527857621,9.235272727272728,5.0,5.0,,,,,,0.6798096435030501,0.638337597575086
sleeve_fire_resolved,poly_sniper_v5_sol_5m_rf_tr_partial_mid,SOL,5m,UP,sol-updown-5m-1779894600,1779894900000000,1779894600000000,150,0.7,7.142857142857143,5.0,5.0,Up,2.1000000000000005,,,,0.8293146343546292,0.4530970611531978
sleeve_fire_placed,poly_sniper_v5_sol_5m_f7_mfi_ema200_vwap_v6,SOL,5m,UP,sol-updown-5m-1779894900,1779894990000000,1779894900000000,90,0.6769537083125933,7.386029411764705,5.0,5.0,,,,,,0.7922555977658016,0.4465761731692134
sleeve_fire_placed,poly_sniper_v5_sol_5m_f7_mfi_ema200_vwap_v6,SOL,5m,UP,sol-updown-5m-1779895200,1779895260000000,1779895200000000,60,0.79,6.329113924050633,5.0,5.0,,,,,,0.9460531485758276,0.41673561858691693
