symbol,strategy,n,wr,avg_R,expectancy,sum_pnl,pf,per_week,final_eq_x
BTCUSDT,bella_fade_2T,65,0.5846153846153846,-0.08666007109858977,-0.0008666007109858977,-575.1797823255399,0.8134715497695966,1.2431811928999024,0.9424820217674451
BTCUSDT,bella_fade_1T2R,65,0.5230769230769231,-0.08665614038137301,-0.0008665614038137301,-584.6076187728756,0.8379233227481875,1.2431811928999024,0.941539238122712
BTCUSDT,offside,42,0.30952380952380953,-0.2751961373587243,-0.0027519613735872426,-1097.0957548525753,0.21650564435388842,0.8032863092583984,0.8902904245147425
ETHUSDT,bella_fade_2T,69,0.4782608695652174,-0.16297348968964778,-0.0016297348968964777,-1095.4190578103476,0.7026257507006862,1.3196846509245117,0.8904580942189654
ETHUSDT,bella_fade_1T2R,69,0.4492753623188406,-0.0636114280790194,-0.000636114280790194,-476.6580473120109,0.8894015923829017,1.3196846509245117,0.9523341952687994
ETHUSDT,offside,12,0.5,-0.05589475181216095,-0.0005589475181216095,-67.49084844234565,0.6851447771810278,0.22951037407382813,0.9932509151557651
SOLUSDT,bella_fade_2T,67,0.5223880597014925,-0.08057256490345147,-0.0008057256490345147,-553.2824257717023,0.8274948641445724,1.281432921912207,0.9446717574228298
SOLUSDT,bella_fade_1T2R,67,0.44776119402985076,-0.0820813149510322,-0.000820813149510322,-576.5256298588463,0.8497401939681918,1.281432921912207,0.9423474370141159
SOLUSDT,offside,1,0.0,-0.10373474554655951,-0.001037347455465595,-10.373474554655951,0.0,0.01912586450615234,0.9989626525445344
