symbol,strategy,variant,n,wr,avg_R,expectancy,sum_pnl,pf,per_week,final_eq_x
BTCUSDT,bella_fade,inverse,24,0.4583333333333333,-0.03014170844554581,-0.0003014170844554581,-79.12205723153643,0.9141173636321662,0.45902074814765625,0.9920877942768463
BTCUSDT,offside,inverse,3,0.3333333333333333,-0.36942158505485034,-0.0036942158505485034,-110.8882783282387,0.04836078628449563,0.05737759351845703,0.9889111721671762
BTCUSDT,vwap_bounce,inverse,365,0.39452054794520547,-0.17364934248273378,-0.0017364934248273378,-4742.023498789136,0.5222980793397545,6.980940544745605,0.5257976501210866
BTCUSDT,liquidity_sweep,inverse,318,0.3238993710691824,-0.3934245619525022,-0.003934245619525022,-7187.179315959912,0.3878107160171237,6.082024912956445,0.28128206840400805
ETHUSDT,bella_fade,inverse,27,0.5555555555555556,-0.0438888412997746,-0.000438888412997746,-124.80170884799989,0.8659938218519954,0.5163983416661133,0.9875198291151999
ETHUSDT,vwap_bounce,inverse,355,0.3971830985915493,-0.19156457907709673,-0.0019156457907709673,-4985.141907340238,0.5213945971322946,6.789681899684082,0.5014858092659771
ETHUSDT,liquidity_sweep,inverse,289,0.3806228373702422,-0.3111458443605633,-0.003111458443605633,-6000.026787644595,0.5095790282825524,5.527374842278027,0.3999973212355404
SOLUSDT,bella_fade,inverse,27,0.48148148148148145,0.012694798492207565,0.00012694798492207565,28.189418254415315,1.047540345562456,0.5163983416661133,1.0028189418254416
SOLUSDT,vwap_bounce,inverse,222,0.481981981981982,-0.08741266417529502,-0.0008741266417529502,-1818.6565003205556,0.7607581319755249,4.24594192036582,0.8181343499679459
SOLUSDT,liquidity_sweep,inverse,285,0.3508771929824561,-0.36125357575332195,-0.0036125357575332194,-6495.737148497747,0.48126740996417267,5.450871384253418,0.3504262851502249
