symbol,strategy,n,wr,avg_R,expectancy,sum_pnl,pf,per_week,final_eq_x
BTCUSDT,bella_fade,24,0.4583333333333333,-0.24391620357132204,-0.0024391620357132205,-576.589409362783,0.4935496032205157,0.45902074814765625,0.942341059063722
BTCUSDT,offside,3,0.3333333333333333,-0.5282770421755356,-0.005282770421755356,-158.3193297814625,0.14510225367902665,0.05737759351845703,0.9841680670218537
BTCUSDT,vwap_bounce,365,0.36164383561643837,-0.17534441646041307,-0.0017534441646041307,-4778.701075827454,0.5416381926309893,6.980940544745605,0.522129892417255
BTCUSDT,liquidity_sweep,320,0.384375,-0.3141427346706129,-0.0031414273467061287,-6397.902335999067,0.45171049519011713,6.12027664196875,0.36020976640009356
ETHUSDT,bella_fade,27,0.3333333333333333,-0.3255453815535219,-0.0032554538155352194,-849.2717881973226,0.3493900877364682,0.5163983416661133,0.9150728211802678
ETHUSDT,vwap_bounce,353,0.41359773371104813,-0.10197019689328558,-0.0010197019689328559,-3091.3647634594167,0.7130274151414157,6.751430170671777,0.6908635236540592
ETHUSDT,liquidity_sweep,290,0.40344827586206894,-0.2912227707935742,-0.002912227707935742,-5773.463782529277,0.526306020732647,5.54650070678418,0.4226536217470716
SOLUSDT,bella_fade,27,0.3333333333333333,-0.1704129048441177,-0.001704129048441177,-456.3560236919967,0.5374887280278577,0.5163983416661133,0.9543643976307999
SOLUSDT,vwap_bounce,221,0.4434389140271493,-0.10350613302182993,-0.0010350613302182992,-2096.986852926571,0.724439537534513,4.2268160558596675,0.7903013147073427
SOLUSDT,liquidity_sweep,286,0.4405594405594406,-0.13087910808896266,-0.0013087910808896267,-3248.146182374777,0.7701597547045744,5.4699972487595705,0.6751853817625226
