sleeve,family,arm,coin,entry_ts,exit_ts,direction,entry_price,exit_price,bars_held,reason,ret_pct,paper_pnl_usd,status
VP_SOL,VP,OBSERVE,SOL,2026-04-05T12:00:00+00:00,2026-04-15T12:00:00+00:00,LONG,79.905965,83.973,60,TIME,5.068,12.67,CLOSED
VP_BTC,VP,OBSERVE,BTC,2026-04-05T16:00:00+00:00,2026-04-05T20:00:00+00:00,SHORT,67238.8223,68559.776112,1,SL,-3.189,-7.97,CLOSED
VP_BNB,VP,OBSERVE,BNB,2026-04-05T20:00:00+00:00,2026-04-12T12:00:00+00:00,LONG,592.267627,589.635307,40,SL,-0.863,-2.16,CLOSED
STF_AVAX,STF,DEPLOY,AVAX,2026-04-07T00:00:00+00:00,2026-04-07T20:00:00+00:00,SHORT,8.892831,9.283641,5,SL,-3.085,-7.71,CLOSED
VP_LINK,VP,OBSERVE,LINK,2026-04-07T00:00:00+00:00,2026-04-07T20:00:00+00:00,SHORT,8.793261,9.086224,5,SL,-3.11,-7.78,CLOSED
VP_AVAX,VP,OBSERVE,AVAX,2026-04-07T04:00:00+00:00,2026-04-17T04:00:00+00:00,LONG,8.681704,9.6235,60,TIME,7.012,17.53,CLOSED
STF_ADA,STF,DEPLOY,ADA,2026-04-07T08:00:00+00:00,2026-04-07T20:00:00+00:00,SHORT,0.243137,0.252222,3,SL,-3.1,-7.75,CLOSED
VP_BTC,VP,OBSERVE,BTC,2026-04-07T12:00:00+00:00,2026-04-07T20:00:00+00:00,SHORT,68294.5055,70018.4446,2,SL,-3.146,-7.87,CLOSED
STF_LINK,STF,DEPLOY,LINK,2026-04-07T16:00:00+00:00,2026-04-07T20:00:00+00:00,SHORT,8.611516,8.903649,1,SL,-3.109,-7.77,CLOSED
STF_XRP,STF,DEPLOY,XRP,2026-04-07T16:00:00+00:00,2026-04-07T20:00:00+00:00,SHORT,1.296211,1.331408,1,SL,-3.136,-7.84,CLOSED
STF_DOGE,STF,DEPLOY,DOGE,2026-04-08T00:00:00+00:00,2026-04-09T00:00:00+00:00,LONG,0.094945,0.092035,6,SL,-3.117,-7.79,CLOSED
STF_SOL,STF,DEPLOY,SOL,2026-04-08T00:00:00+00:00,2026-04-09T00:00:00+00:00,LONG,85.546656,82.05003,6,SL,-3.087,-7.72,CLOSED
VP_LINK,VP,OBSERVE,LINK,2026-04-09T20:00:00+00:00,2026-04-13T20:00:00+00:00,SHORT,9.000499,9.348132,24,SL,-3.094,-7.73,CLOSED
VP_ETH,VP,OBSERVE,ETH,2026-04-10T08:00:00+00:00,2026-04-11T16:00:00+00:00,SHORT,2178.14636,2258.805272,8,SL,-3.099,-7.75,CLOSED
VP_ADA,VP,OBSERVE,ADA,2026-04-11T04:00:00+00:00,2026-04-16T16:00:00+00:00,SHORT,0.253154,0.259568,33,SL,-2.127,-5.32,CLOSED
VP_DOGE,VP,OBSERVE,DOGE,2026-04-11T08:00:00+00:00,2026-04-14T08:00:00+00:00,SHORT,0.092809,0.095745,18,SL,-3.116,-7.79,CLOSED
VP_SUI,VP,OBSERVE,SUI,2026-04-11T12:00:00+00:00,2026-04-15T16:00:00+00:00,SHORT,0.93267,0.969225,25,SL,-3.096,-7.74,CLOSED
VP_BTC,VP,OBSERVE,BTC,2026-04-12T00:00:00+00:00,2026-04-13T20:00:00+00:00,SHORT,72993.0955,74727.514775,11,SL,-3.155,-7.89,CLOSED
STF_ADA,STF,DEPLOY,ADA,2026-04-12T04:00:00+00:00,2026-04-16T12:00:00+00:00,SHORT,0.243597,0.25364,26,SL,-3.091,-7.73,CLOSED
STF_BNB,STF,DEPLOY,BNB,2026-04-12T16:00:00+00:00,2026-04-13T12:00:00+00:00,SHORT,591.292559,604.122545,5,SL,-3.169,-7.92,CLOSED
VP_BNB,VP,OBSERVE,BNB,2026-04-13T04:00:00+00:00,2026-04-23T04:00:00+00:00,LONG,594.898416,635.46,60,TIME,9.944,24.86,CLOSED
STF_BTC,STF,DEPLOY,BTC,2026-04-13T20:00:00+00:00,2026-04-23T20:00:00+00:00,LONG,73288.9801,78226.0,60,TIME,8.052,20.13,CLOSED
