run_ts,status,eval_bar_ts,btc_above_100dma,btc_50dma_rising,breadth,target_basket
2026-08-04T05:05:22.962064+00:00,FLAT,2026-08-04T04:00:00+00:00,False,False,4/9,FLAT
2026-08-04T06:05:31.209590+00:00,FLAT,2026-08-04T04:00:00+00:00,False,False,4/9,FLAT
2026-08-04T07:05:22.324524+00:00,FLAT,2026-08-04T04:00:00+00:00,False,False,4/9,FLAT
2026-08-04T08:05:36.446993+00:00,FLAT,2026-08-04T08:00:00+00:00,False,False,4/9,FLAT
2026-08-04T09:05:22.759103+00:00,FLAT,2026-08-04T08:00:00+00:00,False,False,4/9,FLAT
2026-08-04T10:05:26.188090+00:00,FLAT,2026-08-04T08:00:00+00:00,False,False,4/9,FLAT
2026-08-04T11:05:26.002117+00:00,FLAT,2026-08-04T08:00:00+00:00,False,False,4/9,FLAT
2026-08-04T12:05:35.977819+00:00,FLAT,2026-08-04T12:00:00+00:00,False,False,4/9,FLAT
2026-08-04T13:05:25.547865+00:00,FLAT,2026-08-04T12:00:00+00:00,False,False,4/9,FLAT
2026-08-04T14:05:30.119960+00:00,FLAT,2026-08-04T12:00:00+00:00,False,False,4/9,FLAT
2026-08-04T15:05:23.111072+00:00,FLAT,2026-08-04T12:00:00+00:00,False,False,4/9,FLAT
2026-08-04T16:05:34.337442+00:00,FLAT,2026-08-04T16:00:00+00:00,False,False,4/9,FLAT
2026-08-04T17:05:23.857329+00:00,FLAT,2026-08-04T16:00:00+00:00,False,False,4/9,FLAT
2026-08-04T18:05:20.437745+00:00,FLAT,2026-08-04T16:00:00+00:00,False,False,4/9,FLAT
2026-08-04T19:05:27.833255+00:00,FLAT,2026-08-04T16:00:00+00:00,False,False,4/9,FLAT
2026-08-04T20:05:42.171191+00:00,FLAT,2026-08-04T20:00:00+00:00,False,False,4/9,FLAT
2026-08-04T21:05:21.273939+00:00,FLAT,2026-08-04T20:00:00+00:00,False,False,4/9,FLAT
2026-08-04T22:05:26.399448+00:00,FLAT,2026-08-04T20:00:00+00:00,False,False,4/9,FLAT
2026-08-04T23:05:24.228094+00:00,FLAT,2026-08-04T20:00:00+00:00,False,False,4/9,FLAT
2026-08-05T00:05:34.529067+00:00,FLAT,2026-08-05T00:00:00+00:00,False,False,4/9,FLAT
2026-08-05T01:05:20.986610+00:00,FLAT,2026-08-05T00:00:00+00:00,False,False,4/9,FLAT
2026-08-05T03:05:36.936671+00:00,FLAT,2026-08-05T00:00:00+00:00,False,False,4/9,FLAT
2026-08-05T05:05:29.942505+00:00,FLAT,2026-08-05T04:00:00+00:00,False,False,4/9,FLAT
2026-08-05T06:05:22.767026+00:00,FLAT,2026-08-05T04:00:00+00:00,False,False,4/9,FLAT
2026-08-05T07:05:26.370673+00:00,FLAT,2026-08-05T04:00:00+00:00,False,False,4/9,FLAT
2026-08-05T08:05:36.543524+00:00,FLAT,2026-08-05T08:00:00+00:00,False,False,4/9,FLAT
2026-08-05T09:05:23.311109+00:00,FLAT,2026-08-05T08:00:00+00:00,False,False,4/9,FLAT
2026-08-05T10:05:23.814097+00:00,FLAT,2026-08-05T08:00:00+00:00,False,False,4/9,FLAT
2026-08-05T11:05:26.346631+00:00,FLAT,2026-08-05T08:00:00+00:00,False,False,4/9,FLAT
2026-08-05T12:05:34.632896+00:00,FLAT,2026-08-05T12:00:00+00:00,False,False,4/9,FLAT
2026-08-05T13:05:25.624376+00:00,FLAT,2026-08-05T12:00:00+00:00,False,False,4/9,FLAT
2026-08-05T14:05:23.692385+00:00,FLAT,2026-08-05T12:00:00+00:00,False,False,4/9,FLAT
2026-08-05T15:05:37.856231+00:00,FLAT,2026-08-05T12:00:00+00:00,False,False,4/9,FLAT
2026-08-05T17:05:34.695526+00:00,FLAT,2026-08-05T16:00:00+00:00,False,False,4/9,FLAT
2026-08-05T19:05:26.624820+00:00,FLAT,2026-08-05T16:00:00+00:00,False,False,4/9,FLAT
2026-08-05T21:05:39.266543+00:00,FLAT,2026-08-05T20:00:00+00:00,False,False,4/9,FLAT
2026-08-05T22:05:25.830362+00:00,FLAT,2026-08-05T20:00:00+00:00,False,False,4/9,FLAT
2026-08-05T23:05:26.678886+00:00,FLAT,2026-08-05T20:00:00+00:00,False,False,4/9,FLAT
2026-08-06T00:05:31.991397+00:00,FLAT,2026-08-06T00:00:00+00:00,False,False,4/9,FLAT
2026-08-06T01:05:24.532231+00:00,FLAT,2026-08-06T00:00:00+00:00,False,False,4/9,FLAT
2026-08-06T02:05:22.225585+00:00,FLAT,2026-08-06T00:00:00+00:00,False,False,4/9,FLAT
2026-08-06T03:05:38.184851+00:00,FLAT,2026-08-06T00:00:00+00:00,False,False,4/9,FLAT
2026-08-06T04:05:57.556777+00:00,FLAT,2026-08-06T04:00:00+00:00,False,False,4/9,FLAT
2026-08-06T05:05:24.390062+00:00,FLAT,2026-08-06T04:00:00+00:00,False,False,4/9,FLAT
2026-08-06T06:05:24.212848+00:00,FLAT,2026-08-06T04:00:00+00:00,False,False,4/9,FLAT
2026-08-06T07:05:24.312909+00:00,FLAT,2026-08-06T04:00:00+00:00,False,False,4/9,FLAT
2026-08-06T08:05:38.089909+00:00,FLAT,2026-08-06T08:00:00+00:00,False,False,4/9,FLAT
2026-08-06T09:05:30.740953+00:00,FLAT,2026-08-06T08:00:00+00:00,False,False,4/9,FLAT
2026-08-06T10:05:27.144634+00:00,FLAT,2026-08-06T08:00:00+00:00,False,False,4/9,FLAT
2026-08-06T11:05:24.140743+00:00,FLAT,2026-08-06T08:00:00+00:00,False,False,4/9,FLAT
2026-08-06T12:05:37.926531+00:00,FLAT,2026-08-06T12:00:00+00:00,False,False,3/9,FLAT
2026-08-06T13:05:25.885685+00:00,FLAT,2026-08-06T12:00:00+00:00,False,False,3/9,FLAT
2026-08-06T14:05:27.721599+00:00,FLAT,2026-08-06T12:00:00+00:00,False,False,3/9,FLAT
2026-08-06T15:05:26.151438+00:00,FLAT,2026-08-06T12:00:00+00:00,False,False,3/9,FLAT
2026-08-06T16:05:34.654672+00:00,FLAT,2026-08-06T16:00:00+00:00,False,False,3/9,FLAT
2026-08-06T18:05:25.443246+00:00,FLAT,2026-08-06T16:00:00+00:00,False,False,3/9,FLAT
2026-08-06T19:05:41.623720+00:00,FLAT,2026-08-06T16:00:00+00:00,False,False,3/9,FLAT
2026-08-06T20:05:40.064674+00:00,FLAT,2026-08-06T20:00:00+00:00,False,False,3/9,FLAT
2026-08-06T21:05:23.971470+00:00,FLAT,2026-08-06T20:00:00+00:00,False,False,3/9,FLAT
2026-08-06T22:05:21.558852+00:00,FLAT,2026-08-06T20:00:00+00:00,False,False,3/9,FLAT
2026-08-06T23:05:22.526211+00:00,FLAT,2026-08-06T20:00:00+00:00,False,False,3/9,FLAT
2026-08-07T00:05:32.546762+00:00,FLAT,2026-08-07T00:00:00+00:00,False,False,3/9,FLAT
2026-08-07T01:05:21.582198+00:00,FLAT,2026-08-07T00:00:00+00:00,False,False,3/9,FLAT
2026-08-07T02:05:22.906137+00:00,FLAT,2026-08-07T00:00:00+00:00,False,False,3/9,FLAT
2026-08-07T03:05:22.726912+00:00,FLAT,2026-08-07T00:00:00+00:00,False,False,3/9,FLAT
2026-08-07T04:05:39.923281+00:00,FLAT,2026-08-07T04:00:00+00:00,False,False,3/9,FLAT
2026-08-07T05:05:24.175205+00:00,FLAT,2026-08-07T04:00:00+00:00,False,False,3/9,FLAT
2026-08-07T06:05:23.029519+00:00,FLAT,2026-08-07T04:00:00+00:00,False,False,3/9,FLAT
2026-08-07T07:05:21.762243+00:00,FLAT,2026-08-07T04:00:00+00:00,False,False,3/9,FLAT
2026-08-07T08:05:33.060820+00:00,FLAT,2026-08-07T08:00:00+00:00,False,False,3/9,FLAT
2026-08-07T09:05:24.632381+00:00,FLAT,2026-08-07T08:00:00+00:00,False,False,3/9,FLAT
2026-08-07T10:05:20.469830+00:00,FLAT,2026-08-07T08:00:00+00:00,False,False,3/9,FLAT
2026-08-07T11:05:23.030230+00:00,FLAT,2026-08-07T08:00:00+00:00,False,False,3/9,FLAT
2026-08-07T12:05:54.076330+00:00,FLAT,2026-08-07T12:00:00+00:00,False,False,3/9,FLAT
2026-08-07T13:05:39.921628+00:00,FLAT,2026-08-07T12:00:00+00:00,False,False,3/9,FLAT
2026-08-07T15:05:20.903331+00:00,FLAT,2026-08-07T12:00:00+00:00,False,False,3/9,FLAT
2026-08-07T17:05:43.733864+00:00,FLAT,2026-08-07T16:00:00+00:00,False,False,3/9,FLAT
2026-08-07T19:05:27.406652+00:00,FLAT,2026-08-07T16:00:00+00:00,False,False,3/9,FLAT
2026-08-07T20:05:34.052913+00:00,FLAT,2026-08-07T20:00:00+00:00,False,False,3/9,FLAT
2026-08-07T21:05:25.450427+00:00,FLAT,2026-08-07T20:00:00+00:00,False,False,3/9,FLAT
2026-08-07T22:05:23.427491+00:00,FLAT,2026-08-07T20:00:00+00:00,False,False,3/9,FLAT
2026-08-07T23:05:27.501698+00:00,FLAT,2026-08-07T20:00:00+00:00,False,False,3/9,FLAT
2026-08-08T00:05:35.303207+00:00,FLAT,2026-08-08T00:00:00+00:00,False,False,3/9,FLAT
2026-08-08T01:05:24.870839+00:00,FLAT,2026-08-08T00:00:00+00:00,False,False,3/9,FLAT
2026-08-08T02:05:22.883460+00:00,FLAT,2026-08-08T00:00:00+00:00,False,False,3/9,FLAT
2026-08-08T03:05:19.950296+00:00,FLAT,2026-08-08T00:00:00+00:00,False,False,3/9,FLAT
2026-08-08T04:05:42.708822+00:00,FLAT,2026-08-08T04:00:00+00:00,False,False,4/9,FLAT
2026-08-08T05:05:22.255420+00:00,FLAT,2026-08-08T04:00:00+00:00,False,False,4/9,FLAT
2026-08-08T06:05:26.496907+00:00,FLAT,2026-08-08T04:00:00+00:00,False,False,4/9,FLAT
2026-08-08T07:05:26.204365+00:00,FLAT,2026-08-08T04:00:00+00:00,False,False,4/9,FLAT
2026-08-08T08:05:35.279290+00:00,FLAT,2026-08-08T08:00:00+00:00,False,False,3/9,FLAT
2026-08-08T09:05:24.734936+00:00,FLAT,2026-08-08T08:00:00+00:00,False,False,3/9,FLAT
2026-08-08T10:05:26.303023+00:00,FLAT,2026-08-08T08:00:00+00:00,False,False,3/9,FLAT
2026-08-08T11:05:22.197328+00:00,FLAT,2026-08-08T08:00:00+00:00,False,False,3/9,FLAT
2026-08-08T12:05:36.002746+00:00,FLAT,2026-08-08T12:00:00+00:00,False,False,5/9,FLAT
2026-08-08T13:05:25.197392+00:00,FLAT,2026-08-08T12:00:00+00:00,False,False,5/9,FLAT
2026-08-08T14:05:25.456557+00:00,FLAT,2026-08-08T12:00:00+00:00,False,False,5/9,FLAT
2026-08-08T15:05:23.874508+00:00,FLAT,2026-08-08T12:00:00+00:00,False,False,5/9,FLAT
2026-08-08T16:05:33.446830+00:00,FLAT,2026-08-08T16:00:00+00:00,False,False,5/9,FLAT
2026-08-08T17:05:38.194194+00:00,FLAT,2026-08-08T16:00:00+00:00,False,False,5/9,FLAT
2026-08-08T18:05:40.922131+00:00,FLAT,2026-08-08T16:00:00+00:00,False,False,5/9,FLAT
2026-08-08T19:05:29.288279+00:00,FLAT,2026-08-08T16:00:00+00:00,False,False,5/9,FLAT
2026-08-08T20:05:37.740690+00:00,FLAT,2026-08-08T20:00:00+00:00,False,True,4/9,FLAT
2026-08-08T21:05:32.101884+00:00,FLAT,2026-08-08T20:00:00+00:00,False,True,4/9,FLAT
2026-08-08T22:05:31.653768+00:00,FLAT,2026-08-08T20:00:00+00:00,False,True,4/9,FLAT
2026-08-08T23:05:27.335486+00:00,FLAT,2026-08-08T20:00:00+00:00,False,True,4/9,FLAT
2026-08-09T00:05:50.096119+00:00,FLAT,2026-08-09T00:00:00+00:00,False,True,4/9,FLAT
2026-08-09T01:05:25.944705+00:00,FLAT,2026-08-09T00:00:00+00:00,False,True,4/9,FLAT
2026-08-09T02:05:23.709325+00:00,FLAT,2026-08-09T00:00:00+00:00,False,True,4/9,FLAT
2026-08-09T03:05:26.230016+00:00,FLAT,2026-08-09T00:00:00+00:00,False,True,4/9,FLAT
2026-08-09T04:05:33.095584+00:00,FLAT,2026-08-09T04:00:00+00:00,False,True,4/9,FLAT
2026-08-09T05:05:25.070441+00:00,FLAT,2026-08-09T04:00:00+00:00,False,True,4/9,FLAT
2026-08-09T06:05:20.981976+00:00,FLAT,2026-08-09T04:00:00+00:00,False,True,4/9,FLAT
2026-08-09T07:05:28.744938+00:00,FLAT,2026-08-09T04:00:00+00:00,False,True,4/9,FLAT
2026-08-09T08:05:32.592511+00:00,FLAT,2026-08-09T08:00:00+00:00,False,True,4/9,FLAT
2026-08-09T09:05:22.596387+00:00,FLAT,2026-08-09T08:00:00+00:00,False,True,4/9,FLAT
2026-08-09T10:05:22.938196+00:00,FLAT,2026-08-09T08:00:00+00:00,False,True,4/9,FLAT
2026-08-09T11:05:25.735873+00:00,FLAT,2026-08-09T08:00:00+00:00,False,True,4/9,FLAT
2026-08-09T12:05:33.459767+00:00,FLAT,2026-08-09T12:00:00+00:00,False,True,4/9,FLAT
2026-08-09T13:05:24.302723+00:00,FLAT,2026-08-09T12:00:00+00:00,False,True,4/9,FLAT
2026-08-09T14:05:23.307603+00:00,FLAT,2026-08-09T12:00:00+00:00,False,True,4/9,FLAT
2026-08-09T15:05:23.825542+00:00,FLAT,2026-08-09T12:00:00+00:00,False,True,4/9,FLAT
2026-08-09T16:05:34.110829+00:00,FLAT,2026-08-09T16:00:00+00:00,False,True,5/9,FLAT
2026-08-09T17:05:22.188641+00:00,FLAT,2026-08-09T16:00:00+00:00,False,True,5/9,FLAT
2026-08-09T18:05:22.498188+00:00,FLAT,2026-08-09T16:00:00+00:00,False,True,5/9,FLAT
2026-08-09T19:05:26.332984+00:00,FLAT,2026-08-09T16:00:00+00:00,False,True,5/9,FLAT
2026-08-09T20:05:35.915482+00:00,FLAT,2026-08-09T20:00:00+00:00,False,True,5/9,FLAT
2026-08-09T21:05:23.151961+00:00,FLAT,2026-08-09T20:00:00+00:00,False,True,5/9,FLAT
2026-08-09T22:05:23.241142+00:00,FLAT,2026-08-09T20:00:00+00:00,False,True,5/9,FLAT
2026-08-09T23:05:25.082599+00:00,FLAT,2026-08-09T20:00:00+00:00,False,True,5/9,FLAT
2026-08-10T00:05:37.571183+00:00,FLAT,2026-08-10T00:00:00+00:00,False,True,4/9,FLAT
2026-08-10T01:05:22.375290+00:00,FLAT,2026-08-10T00:00:00+00:00,False,True,4/9,FLAT
2026-08-10T02:05:34.970621+00:00,FLAT,2026-08-10T00:00:00+00:00,False,True,4/9,FLAT
2026-08-10T03:05:33.028346+00:00,FLAT,2026-08-10T00:00:00+00:00,False,True,4/9,FLAT
2026-08-10T04:05:26.718721+00:00,FLAT,2026-08-10T04:00:00+00:00,False,True,4/9,FLAT
2026-08-10T05:05:20.733990+00:00,FLAT,2026-08-10T04:00:00+00:00,False,True,4/9,FLAT
2026-08-10T06:05:20.814530+00:00,FLAT,2026-08-10T04:00:00+00:00,False,True,4/9,FLAT
2026-08-10T07:05:22.146116+00:00,FLAT,2026-08-10T04:00:00+00:00,False,True,4/9,FLAT
2026-08-10T08:05:26.635445+00:00,FLAT,2026-08-10T08:00:00+00:00,False,True,4/9,FLAT
2026-08-10T09:05:26.513475+00:00,FLAT,2026-08-10T08:00:00+00:00,False,True,4/9,FLAT
2026-08-10T10:05:20.890241+00:00,FLAT,2026-08-10T08:00:00+00:00,False,True,4/9,FLAT
2026-08-10T11:05:18.077450+00:00,FLAT,2026-08-10T08:00:00+00:00,False,True,4/9,FLAT
2026-08-10T12:05:35.306490+00:00,FLAT,2026-08-10T12:00:00+00:00,False,True,5/9,FLAT
2026-08-10T13:05:27.165468+00:00,FLAT,2026-08-10T12:00:00+00:00,False,True,5/9,FLAT
2026-08-10T14:05:20.693047+00:00,FLAT,2026-08-10T12:00:00+00:00,False,True,5/9,FLAT
2026-08-10T15:05:18.132218+00:00,FLAT,2026-08-10T12:00:00+00:00,False,True,5/9,FLAT
2026-08-10T16:05:28.771011+00:00,FLAT,2026-08-10T16:00:00+00:00,False,True,4/9,FLAT
2026-08-10T18:05:30.646491+00:00,FLAT,2026-08-10T16:00:00+00:00,False,True,4/9,FLAT
2026-08-10T19:05:28.042853+00:00,FLAT,2026-08-10T16:00:00+00:00,False,True,4/9,FLAT
