run_ts,n_streams,n_open,n_pending,n_recent_closed,ledger_total
2026-07-27T21:16:26.190189+00:00,20,13,0,243,243
2026-07-27T21:18:38.034332+00:00,20,13,0,112,243
2026-07-27T22:05:15.279620+00:00,20,13,0,112,243
2026-07-27T23:05:18.985410+00:00,20,13,0,112,243
2026-07-28T00:05:24.633910+00:00,20,13,1,112,243
2026-07-28T01:05:17.675372+00:00,20,13,1,112,243
2026-07-28T02:05:17.664656+00:00,20,13,1,112,243
2026-07-28T03:05:14.929504+00:00,20,13,1,112,243
2026-07-28T04:05:26.559260+00:00,20,11,0,114,245
2026-07-28T05:05:17.628230+00:00,20,11,0,114,245
2026-07-28T06:05:16.491010+00:00,20,11,0,114,245
2026-07-28T07:05:17.905167+00:00,20,11,0,114,245
2026-07-28T08:05:29.003494+00:00,20,11,0,113,245
2026-07-28T09:05:22.484482+00:00,20,11,0,113,245
2026-07-28T10:05:22.349225+00:00,20,11,0,113,245
2026-07-28T11:05:20.370628+00:00,20,11,0,113,245
2026-07-28T12:05:34.145819+00:00,20,11,0,113,245
2026-07-28T14:05:18.100250+00:00,20,11,0,113,245
2026-07-28T15:05:17.892497+00:00,20,11,0,113,245
2026-07-28T16:05:23.409257+00:00,20,10,0,113,246
2026-07-28T22:05:25.110043+00:00,20,10,0,113,246
2026-07-28T23:05:19.360838+00:00,20,10,0,113,246
2026-07-29T01:05:17.854711+00:00,20,10,1,113,246
2026-07-29T02:05:14.725905+00:00,20,10,1,113,246
2026-07-29T03:05:17.275873+00:00,20,10,1,113,246
2026-07-29T04:05:25.065430+00:00,20,11,0,112,246
2026-07-29T05:05:16.674760+00:00,20,11,0,112,246
2026-07-29T06:05:16.217549+00:00,20,11,0,112,246
2026-07-29T07:05:17.742711+00:00,20,11,0,112,246
2026-07-29T08:05:23.993351+00:00,20,11,1,112,246
2026-07-29T09:05:17.409895+00:00,20,11,1,112,246
2026-07-29T10:05:17.323963+00:00,20,11,1,112,246
2026-07-29T11:05:14.881799+00:00,20,11,1,112,246
2026-07-29T12:05:26.051479+00:00,20,12,0,112,246
2026-07-29T13:05:14.483841+00:00,20,12,0,112,246
2026-07-29T14:05:17.642906+00:00,20,12,0,112,246
2026-07-29T15:05:16.634905+00:00,20,12,0,112,246
2026-07-29T16:05:22.406161+00:00,20,12,0,111,246
2026-07-29T17:05:16.752410+00:00,20,12,0,111,246
2026-07-29T18:05:16.241856+00:00,20,12,0,111,246
2026-07-29T19:05:19.765507+00:00,20,12,0,111,246
2026-07-29T20:05:25.466608+00:00,20,12,1,110,246
2026-07-29T21:05:14.118760+00:00,20,12,1,110,246
2026-07-29T22:05:20.093382+00:00,20,12,1,110,246
2026-07-29T23:05:17.338474+00:00,20,12,1,110,246
2026-07-30T00:05:23.279320+00:00,20,11,0,112,248
2026-07-30T01:05:28.695725+00:00,20,11,0,112,248
2026-07-30T02:05:20.096649+00:00,20,11,0,112,248
2026-07-30T03:05:40.685808+00:00,20,11,0,112,248
2026-07-30T05:05:24.938023+00:00,20,11,0,111,248
2026-07-30T06:05:18.570145+00:00,20,11,0,111,248
2026-07-30T07:05:14.489882+00:00,20,11,0,111,248
2026-07-30T08:05:26.437079+00:00,20,11,0,111,248
2026-07-30T09:05:17.262726+00:00,20,11,0,111,248
2026-07-30T10:05:17.123232+00:00,20,11,0,111,248
2026-07-30T11:05:14.248327+00:00,20,11,0,111,248
2026-07-30T12:05:25.698157+00:00,20,11,1,110,248
2026-07-30T13:05:26.977605+00:00,20,11,1,110,248
2026-07-30T14:05:17.323275+00:00,20,11,1,110,248
2026-07-30T15:05:14.788842+00:00,20,11,1,110,248
2026-07-30T16:05:25.598641+00:00,20,12,0,109,248
2026-07-30T17:05:19.481542+00:00,20,12,0,109,248
2026-07-30T18:05:15.770878+00:00,20,12,0,109,248
2026-07-30T19:05:19.771449+00:00,20,12,0,109,248
2026-07-30T20:05:28.920483+00:00,20,10,0,111,250
2026-07-30T21:05:14.350766+00:00,20,10,0,111,250
2026-07-30T22:05:17.421048+00:00,20,10,0,111,250
2026-07-30T23:05:20.011760+00:00,20,10,0,111,250
2026-07-31T00:05:28.371099+00:00,20,10,0,111,250
2026-07-31T01:05:14.612194+00:00,20,10,0,111,250
2026-07-31T02:05:19.404275+00:00,20,10,0,111,250
2026-07-31T04:05:28.981446+00:00,20,10,0,111,250
2026-07-31T06:05:18.601163+00:00,20,10,0,111,250
2026-07-31T07:05:14.527792+00:00,20,10,0,111,250
2026-07-31T08:05:26.298024+00:00,20,10,1,111,250
2026-07-31T09:05:21.023736+00:00,20,10,1,111,250
2026-07-31T10:05:14.956010+00:00,20,10,1,111,250
2026-07-31T11:05:18.957466+00:00,20,10,1,111,250
2026-07-31T12:05:25.019168+00:00,20,10,2,112,251
2026-07-31T13:05:19.640855+00:00,20,10,2,112,251
2026-07-31T14:05:17.446453+00:00,20,10,2,112,251
2026-07-31T15:05:19.954291+00:00,20,10,2,112,251
2026-07-31T16:05:28.374786+00:00,20,11,0,111,251
2026-07-31T17:05:19.372524+00:00,20,11,0,111,251
2026-07-31T18:05:21.129067+00:00,20,11,0,111,251
2026-07-31T19:05:16.986939+00:00,20,11,0,111,251
2026-07-31T20:05:28.892173+00:00,20,10,0,109,252
2026-07-31T21:05:17.882918+00:00,20,10,0,109,252
2026-07-31T22:05:17.499864+00:00,20,10,0,109,252
2026-07-31T23:05:17.072952+00:00,20,10,0,109,252
2026-08-01T00:05:25.987674+00:00,20,10,0,109,252
2026-08-01T01:05:16.879939+00:00,20,10,0,109,252
2026-08-01T02:05:17.208734+00:00,20,10,0,109,252
2026-08-01T03:05:16.979796+00:00,20,10,0,109,252
2026-08-01T04:05:25.520569+00:00,20,10,0,108,252
2026-08-01T05:05:19.374584+00:00,20,10,0,108,252
2026-08-01T06:05:17.889879+00:00,20,10,0,108,252
2026-08-01T07:05:19.436097+00:00,20,10,0,108,252
2026-08-01T08:05:23.076070+00:00,20,9,0,109,253
2026-08-01T09:05:17.077460+00:00,20,9,0,109,253
2026-08-01T10:05:20.574740+00:00,20,9,0,109,253
2026-08-01T11:05:14.709279+00:00,20,9,0,109,253
2026-08-01T12:05:25.683794+00:00,20,9,0,109,253
2026-08-01T13:05:17.641183+00:00,20,9,0,109,253
2026-08-01T14:05:19.425303+00:00,20,9,0,109,253
2026-08-01T15:05:14.986620+00:00,20,9,0,109,253
2026-08-01T16:05:28.231780+00:00,20,9,1,109,253
2026-08-01T17:05:13.786706+00:00,20,9,1,109,253
2026-08-01T18:05:19.364019+00:00,20,9,1,109,253
2026-08-01T19:05:20.573076+00:00,20,9,1,109,253
2026-08-01T20:05:26.795902+00:00,20,10,0,109,253
2026-08-01T21:05:15.170515+00:00,20,10,0,109,253
2026-08-01T22:05:20.229684+00:00,20,10,0,109,253
2026-08-01T23:05:16.525437+00:00,20,10,0,109,253
2026-08-02T00:05:24.941380+00:00,20,8,1,111,255
2026-08-02T01:05:14.122416+00:00,20,8,1,111,255
2026-08-02T02:05:16.581605+00:00,20,8,1,111,255
2026-08-02T03:05:27.479829+00:00,20,8,1,111,255
2026-08-02T04:05:27.960966+00:00,20,8,2,111,255
2026-08-02T05:05:22.897163+00:00,20,8,2,111,255
2026-08-02T06:05:19.328760+00:00,20,8,2,111,255
2026-08-02T07:05:23.223759+00:00,20,8,2,111,255
2026-08-02T08:05:24.228824+00:00,20,9,0,112,256
2026-08-02T09:05:21.580281+00:00,20,9,0,112,256
2026-08-02T10:05:18.567420+00:00,20,9,0,112,256
2026-08-02T11:05:25.121983+00:00,20,9,0,112,256
2026-08-02T12:05:26.063173+00:00,20,7,1,114,258
2026-08-02T13:05:18.496891+00:00,20,7,1,114,258
