sleeve_id,anchor,gate_stack,cohort,n_train,n_val,n_lockbox,wr_train,wr_val,wr_lockbox,dpt_25_lockbox,sum_25_const_lockbox,sum_25_quarter_kelly_lockbox,sum_25_half_kelly_lockbox,sum_25_linear_lockbox,sum_25_hybrid_lockbox,sum_25_const_full,sum_25_quarter_kelly_full,sum_25_hybrid_full,max_dd_25,loss_streak,sharpe_daily,bootstrap_p_lockbox,boot_ci_lo_$25_lockbox,boot_ci_hi_$25_lockbox,fires_per_day,days_lock,v6_score,conviction_method
V6_S1_VWAP_3070,offset_early (60s),g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_entry_vwap_in_30_70,HUR22,51,13,26,0.7059,0.6923,0.8462,10.72,278.74,55.75,55.96,278.74,278.74,686.0,137.2,686.0,100.0,4,10.4,0.0,115.74,441.74,4.29,4,54.67,"B (empirical WR per # extras passing, train+val); deploy=Hybrid max(half-Kelly, linear-conviction)"
V6_S1_PW_TREND_SLOPE,offset_early (60s) + ws_s gates,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_pw_trend_slope_with,HUR22,38,7,18,0.7895,0.5714,0.9444,11.27,202.88,40.58,44.95,202.88,202.88,542.54,108.51,542.54,60.97,2,10.75,0.0,92.19,328.25,3.0,4,47.82,"B (empirical WR per # extras passing, train+val); deploy=Hybrid max(half-Kelly, linear-conviction)"
V6_S1_DOWN_ONLY,offset_early (60s),g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_dir_down,HUR22,20,6,17,0.8,0.6667,0.8824,10.37,176.36,35.27,41.6,176.36,176.36,403.53,80.71,403.53,50.0,2,11.76,0.0,82.58,293.76,3.07,3,42.77,"B (empirical WR per # extras passing, train+val); deploy=Hybrid max(half-Kelly, linear-conviction)"
V6_S5_PW_TREND_SLOPE,offset_early (60s) + ws_s gates,g_tr_stack_full_with&g_offset_early&g_above_1h_dailyvwap_with&g_pw_trend_slope_with,MP31,125,40,41,0.672,0.6,0.7805,6.11,250.63,50.13,50.13,250.63,250.63,732.29,146.46,732.29,172.65,4,8.41,0.034,-12.44,462.12,7.28,5,39.14,"B (empirical WR per # extras passing, train+val); deploy=Hybrid max(half-Kelly, linear-conviction)"
V5_S3_REPL,offset_early (60s),g_above_1h_dailyvwap_with&g_offset_early&g_rf_aged&g_ribbon_slope_with,FULL,95,24,22,0.6421,0.5,0.7273,4.97,109.41,21.88,21.88,109.41,109.41,519.9,103.98,519.9,189.87,3,5.47,0.061,-12.61,225.32,4.55,5,23.33,"B (empirical WR per # extras passing, train+val); deploy=Hybrid max(half-Kelly, linear-conviction)"
