mode,scope,n_sleeves,n_fires,wr,sum_pnl,sum_28d,at_250
A_PRIMARY_GREEDY,FULL_32d,7,28041,81.60194001640455,78945.57668381938,69077.37959834195,690773.7959834195
A_PRIMARY_GREEDY,LOCKBOX_4d,7,16434,74.21808445904831,43579.15409859328,305054.07869015296,3050540.78690153
B_UNION,FULL_32d,7,28041,81.60194001640455,78945.57668381938,69077.37959834195,690773.7959834195
B_UNION,LOCKBOX_4d,7,16434,74.21808445904831,43579.15409859328,305054.07869015296,3050540.78690153
C_UNANIMITY,FULL_32d,7,7089,83.55198194385667,26327.80075513748,23036.825660745293,230368.25660745293
C_UNANIMITY,LOCKBOX_4d,7,4658,76.36324602833834,18402.079186760137,128814.55430732096,1288145.5430732095
