sleeve,n_full,wr_full,sum_pnl_full,sum_pnl_28d_full,wr_pct_full,n_lock,wr_lock,sum_pnl_lock,sum_pnl_28d_lock_extrap,wr_pct_lock
S7_BTC_5m_base,15543,0.8241652190696777,44970.69361442021,39349.35691261769,82.4,9131,0.7359544409155624,26564.136207239168,185948.95345067416,73.6
BTC_S15_150_240,3938,0.8565261554088369,14491.998582964507,12680.498760093944,85.7,2174,0.7585096596136155,11055.20178561171,77386.41249928197,75.9
BTC_S6_60_150,3791,0.7338433131099974,13434.73455397347,11755.392734726787,73.4,3094,0.7000646412411118,7469.832352233345,52288.826465633414,70.0
SOL_S15_60_150,2502,0.8697042366107114,9107.335204761339,7968.918304166172,87.0,1358,0.7974963181148749,4296.343294201426,30074.403059409982,79.7
SOL_S6_60_150,1945,0.8118251928020566,8587.810416663022,7514.334114580144,81.2,1569,0.781389420012747,7049.465171566525,49346.256200965676,78.1
ETH_S6_60_150,2601,0.7554786620530565,8101.989984296506,7089.241236259442,75.5,2185,0.7363844393592678,4649.8537596054875,32548.976317238412,73.6
ETH_S15_150_240,4810,0.8565488565488566,6578.815081877807,5756.463196643081,85.7,1581,0.8228969006957622,896.4007148957566,6274.805004270296,82.3
