sleeve,n,wr,sum_pnl,sum_28d,wr_pct
S7_BTC_5m_base,10346,0.8450608930987822,31545.54516824572,27602.352022215004,84.5
BTC_S15_150_240,2802,0.8679514632405425,11448.865292800176,10017.757131200153,86.8
BTC_S6_60_150,916,0.769650655021834,6970.72391438494,6099.383425086822,77.0
ETH_S15_150_240,4421,0.8633793259443565,6380.055960109708,5582.548965095995,86.3
SOL_S15_60_150,1312,0.916920731707317,5033.324104549412,4404.158591480736,91.7
SOL_S6_60_150,643,0.8118195956454122,3580.706106865413,3133.117843507236,81.2
ETH_S6_60_150,295,0.8949152542372881,3235.287854293223,2830.87687250657,89.5
