sleeve_a,sleeve_b,jaccard_fire,jaccard_slug,inter_fires,union_fires,inter_slugs,union_slugs,dir_agree_pct
S7_BTC_5m_base,S7_BTC_5m_base,1.0,1.0,15543,15543,3864,3864,100.0
S7_BTC_5m_base,BTC_S15_150_240,0.24654466342462247,0.4804758210499095,3853,15628,1858,3867,99.5156081808396
S7_BTC_5m_base,BTC_S6_60_150,0.13104013104013104,0.3604857070579307,2240,17094,1425,3953,93.47368421052632
S7_BTC_5m_base,SOL_S15_60_150,0.0,0.0,0,18045,0,5332,0.0
S7_BTC_5m_base,SOL_S6_60_150,0.0,0.0,0,17488,0,4843,0.0
S7_BTC_5m_base,ETH_S6_60_150,0.0,0.0,0,18144,0,5059,0.0
S7_BTC_5m_base,ETH_S15_150_240,0.0,0.0,0,20353,0,6938,0.0
BTC_S15_150_240,BTC_S15_150_240,1.0,1.0,3938,3938,1861,1861,100.0
BTC_S15_150_240,BTC_S6_60_150,0.0,0.3318863456985004,0,7729,841,2534,88.2282996432818
BTC_S15_150_240,SOL_S15_60_150,0.0,0.0,0,6440,0,3329,0.0
BTC_S15_150_240,SOL_S6_60_150,0.0,0.0,0,5883,0,2840,0.0
BTC_S15_150_240,ETH_S6_60_150,0.0,0.0,0,6539,0,3056,0.0
BTC_S15_150_240,ETH_S15_150_240,0.0,0.0,0,8748,0,4935,0.0
BTC_S6_60_150,BTC_S6_60_150,1.0,1.0,3791,3791,1514,1514,100.0
BTC_S6_60_150,SOL_S15_60_150,0.0,0.0,0,6293,0,2982,0.0
BTC_S6_60_150,SOL_S6_60_150,0.0,0.0,0,5736,0,2493,0.0
BTC_S6_60_150,ETH_S6_60_150,0.0,0.0,0,6392,0,2709,0.0
BTC_S6_60_150,ETH_S15_150_240,0.0,0.0,0,8601,0,4588,0.0
SOL_S15_60_150,SOL_S15_60_150,1.0,1.0,2502,2502,1468,1468,100.0
SOL_S15_60_150,SOL_S6_60_150,0.28861199652274705,0.3430296377607025,996,3451,625,1822,93.60000000000001
SOL_S15_60_150,ETH_S6_60_150,0.0,0.0,0,5103,0,2663,0.0
SOL_S15_60_150,ETH_S15_150_240,0.0,0.0,0,7312,0,4542,0.0
SOL_S6_60_150,SOL_S6_60_150,1.0,1.0,1945,1945,979,979,100.0
SOL_S6_60_150,ETH_S6_60_150,0.0,0.0,0,4546,0,2174,0.0
SOL_S6_60_150,ETH_S15_150_240,0.0,0.0,0,6755,0,4053,0.0
ETH_S6_60_150,ETH_S6_60_150,1.0,1.0,2601,2601,1195,1195,100.0
ETH_S6_60_150,ETH_S15_150_240,0.0,0.2120954003407155,0,7411,747,3522,82.59705488621151
ETH_S15_150_240,ETH_S15_150_240,1.0,1.0,4810,4810,3074,3074,100.0
