scope,n_slugs,and_n,and_wr,and_sum,ws_n,ws_wr,ws_sum
BOTH,2947,58799,0.7009302879300668,65673.67453965488,22005,0.7492842535787321,63907.81273405482
AND_ONLY,809,4997,0.6139683810286172,341.3920616316341,0,,0.0
WS_ONLY,6353,0,,0.0,13125,0.9384380952380953,41365.56470490204
