slug,asset,tf,slot_start_s,fire_ts_us,offset_s,n_trades_5s,flow_imbalance_5s,up_ask,dn_ask,sum_asks,direction,entry_px,shares,stake_usd,winner,outcome_truth,won,pnl_usd,fired,ws_s
btc-updown-5m-1777290900,BTC,5m,1777290900,1777291159000000,259,59,0.9941714927427439,0.9599999785423279,0.05000000074505806,1.009999979287386,Down,0.05000000074505806,19.99999970197678,1.0,Up,Up,False,-1.066499999947846,True,1777290900
btc-updown-5m-1777290900,BTC,5m,1777290900,1777291199000000,299,66,0.9999999999999739,,0.009999999776482582,,Down,0.009999999776482582,100.00000223517424,1.0,Up,Up,False,-1.0693000000156463,True,1777290900
btc-updown-5m-1777291200,BTC,5m,1777291200,1777291313000000,113,73,-0.9115300942711656,0.1599999964237213,0.8700000047683716,1.030000001192093,Up,0.1599999964237213,6.25000013969839,1.0,Down,Down,False,-1.0588000002503397,True,1777291200
btc-updown-5m-1777291200,BTC,5m,1777291200,1777291318000000,118,88,-0.9798978974516571,0.10999999940395355,0.8999999761581421,1.0099999755620956,Up,0.10999999940395355,9.090909140169128,1.0,Down,Down,False,-1.0623000000417233,True,1777291200
btc-updown-5m-1777291200,BTC,5m,1777291200,1777291323000000,123,70,-0.9722465047615887,0.11999999731779099,0.8899999856948853,1.0099999830126762,Up,0.11999999731779099,8.333333519597852,1.0,Down,Down,False,-1.0616000001877546,True,1777291200
btc-updown-5m-1777291200,BTC,5m,1777291200,1777291330000000,130,59,-0.9572634155768417,0.1599999964237213,0.8500000238418579,1.0100000202655792,Up,0.1599999964237213,6.25000013969839,1.0,Down,Down,False,-1.0588000002503397,True,1777291200
btc-updown-5m-1777291200,BTC,5m,1777291200,1777291343000000,143,52,-0.9684906830463419,0.18000000715255737,0.8299999833106995,1.0099999904632568,Up,0.18000000715255737,5.555555334797621,1.0,Down,Down,False,-1.057399999499321,True,1777291200
btc-updown-5m-1777291500,BTC,5m,1777291500,1777291575000000,75,53,0.33115546254228356,0.5799999833106995,0.4300000071525574,1.0099999904632568,Down,0.4300000071525574,2.3255813566654555,1.0,Up,Up,False,-1.039899999499321,True,1777291500
btc-updown-5m-1777291500,BTC,5m,1777291500,1777291593000000,93,56,0.31784232365141973,0.5799999833106995,0.4300000071525574,1.0099999904632568,Down,0.4300000071525574,2.3255813566654555,1.0,Up,Up,False,-1.039899999499321,True,1777291500
btc-updown-5m-1777291500,BTC,5m,1777291500,1777291617000000,117,59,0.910231652921928,0.800000011920929,0.25,1.050000011920929,Down,0.25,4.0,1.0,Up,Up,False,-1.0525,True,1777291500
btc-updown-5m-1777291500,BTC,5m,1777291500,1777291635000000,135,50,0.6607660884494001,0.7099999785423279,0.30000001192092896,1.0099999904632568,Down,0.30000001192092896,3.3333332008785725,1.0,Up,Up,False,-1.048999999165535,True,1777291500
btc-updown-5m-1777291500,BTC,5m,1777291500,1777291652000000,152,51,0.9841086220435278,0.6899999976158142,0.3199999928474426,1.0099999904632568,Down,0.3199999928474426,3.125000069849195,1.0,Up,Up,False,-1.0476000005006791,True,1777291500
btc-updown-5m-1777291800,BTC,5m,1777291800,1777291860000000,60,86,0.8031876806661522,0.75,0.25999999046325684,1.0099999904632568,Down,0.25999999046325684,3.8461539872299335,1.0,Up,Up,False,-1.0518000006675718,True,1777291800
btc-updown-5m-1777291800,BTC,5m,1777291800,1777291870000000,70,63,0.9183787036617216,0.8100000023841858,0.2199999988079071,1.030000001192093,Down,0.2199999988079071,4.545454570084564,1.0,Up,Up,False,-1.0546000000834466,True,1777291800
