slug,asset,tf,slot_start_s,fire_ts_us,offset_s,binance_px,binance_ret_60s,up_ask,up_asz,dn_ask,dn_asz,sum_asks,max_asz,direction,entry_px,shares,stake_usd,winner,won,pnl_usd,fired,skip_reason,outcome_truth
btc-updown-5m-1776996000,BTC,5m,1776996000,1776996240000000,240,78528.64,0.000595168849695904,0.9200000166893005,132.52000427246094,0.09000000357627869,557.6799926757812,1.0100000202655792,557.6799926757812,Down,0.09000000357627869,11.111110669595242,1.0,Up,False,-1.0636999997496606,True,,Up
btc-updown-5m-1777000200,BTC,5m,1777000200,1777000441000000,241,78148.93,0.0003447172371418006,0.6399999856948853,264.739990234375,0.3700000047683716,643.530029296875,1.0099999904632568,643.530029296875,Down,0.3700000047683716,2.7027026678716473,1.0,Down,True,1.6586026682054331,True,,Down
btc-updown-5m-1777002000,BTC,5m,1777002000,1777002241000000,241,77653.76,0.00022360645264329904,0.2199999988079071,309.8699951171875,0.7900000214576721,18.0,1.0100000202655792,309.8699951171875,Down,0.7900000214576721,1.2658227504283424,1.0,Down,True,0.2511227519303794,True,,Down
btc-updown-5m-1777002300,BTC,5m,1777002300,1777002540000000,240,77715.84,0.00033929947787014747,0.9800000190734863,2030.31005859375,0.029999999329447746,3384.340087890625,1.010000018402934,3384.340087890625,Down,0.029999999329447746,33.33333407839141,1.0,Up,False,-1.0679000000469385,True,,Up
btc-updown-5m-1777003500,BTC,5m,1777003500,1777003745000000,245,77710.54,0.00026425533990792616,0.6000000238418579,1370.699951171875,0.4099999964237213,10.0,1.0100000202655792,1370.699951171875,Down,0.4099999964237213,2.4390244115186124,1.0,Up,False,-1.0413000002503396,True,,Up
btc-updown-5m-1777004400,BTC,5m,1777004400,1777004640000000,240,77824.92,0.000397845745627734,0.9900000095367432,7283.43017578125,0.019999999552965164,1707.97998046875,1.0100000090897083,7283.43017578125,Down,0.019999999552965164,50.00000111758712,1.0,Up,False,-1.0686000000312925,True,,Up
btc-updown-5m-1777005900,BTC,5m,1777005900,1777006140000000,240,77735.3,0.0005803820069478771,0.9200000166893005,790.4199829101562,0.09000000357627869,522.0700073242188,1.0100000202655792,790.4199829101562,Down,0.09000000357627869,11.111110669595242,1.0,Up,False,-1.0636999997496606,True,,Up
btc-updown-5m-1777008900,BTC,5m,1777008900,1777009140000000,240,77725.83,0.0006733310562814232,0.8600000143051147,48.52000045776367,0.15000000596046448,429.30999755859375,1.0100000202655792,429.30999755859375,Down,0.15000000596046448,6.666666401757145,1.0,Up,False,-1.0594999995827674,True,,Up
btc-updown-5m-1777009500,BTC,5m,1777009500,1777009740000000,240,77782.0,0.00021256220787968516,0.9300000071525574,80.31999969482422,0.07999999821186066,569.739990234375,1.010000005364418,569.739990234375,Down,0.07999999821186066,12.50000027939678,1.0,Up,False,-1.0644000001251697,True,,Up
btc-updown-5m-1777010100,BTC,5m,1777010100,1777010370000000,270,77970.75,0.00020114150368910622,0.9990000128746033,5700.990234375,0.007000000216066837,150.0,1.00600001309067,5700.990234375,Down,0.007000000216066837,142.8571384476157,1.0,Up,False,-1.0695099999848754,True,,Up
btc-updown-5m-1777011900,BTC,5m,1777011900,1777012140000000,240,77844.38,0.00027318359891004285,0.10000000149011612,310.7300109863281,0.9100000262260437,162.57000732421875,1.0100000277161598,310.7300109863281,Down,0.9100000262260437,1.098901067230959,1.0,Down,True,0.09260106906678195,True,,Down
btc-updown-5m-1777013100,BTC,5m,1777013100,1777013340000000,240,77841.64,0.0004581909439105303,0.7599999904632568,5.0,0.25,303.7699890136719,1.0099999904632568,303.7699890136719,Down,0.25,4.0,1.0,Up,False,-1.0525,True,,Up
btc-updown-5m-1777015500,BTC,5m,1777015500,1777015740000000,240,77706.6,0.0005309960579595874,0.9300000071525574,94.69000244140625,0.07999999821186066,667.9000244140625,1.010000005364418,667.9000244140625,Down,0.07999999821186066,12.50000027939678,1.0,Up,False,-1.0644000001251697,True,,Up
btc-updown-5m-1777017300,BTC,5m,1777017300,1777017540000000,240,77617.61,0.0005968701572784951,0.11999999731779099,228.8800048828125,0.8899999856948853,257.82000732421875,1.0099999830126762,257.82000732421875,Down,0.8899999856948853,1.123595523677711,1.0,Down,True,0.11589552267635307,True,,Down
btc-updown-5m-1777018200,BTC,5m,1777018200,1777018440000000,240,77696.81,0.00020880376938436918,0.9300000071525574,500.42999267578125,0.07999999821186066,284.92999267578125,1.010000005364418,500.42999267578125,Down,0.07999999821186066,12.50000027939678,1.0,Up,False,-1.0644000001251697,True,,Up
btc-updown-5m-1777018800,BTC,5m,1777018800,1777019040000000,240,77938.56,0.0005535625705432867,0.9900000095367432,6134.18994140625,0.019999999552965164,1194.760009765625,1.0100000090897083,6134.18994140625,Down,0.019999999552965164,50.00000111758712,1.0,Up,False,-1.0686000000312925,True,,Up
btc-updown-5m-1777020300,BTC,5m,1777020300,1777020540000000,240,77831.77,0.00029713919981921855,0.9900000095367432,878.9400024414062,0.019999999552965164,520.0700073242188,1.0100000090897083,878.9400024414062,Down,0.019999999552965164,50.00000111758712,1.0,Up,False,-1.0686000000312925,True,,Up
btc-updown-5m-1777022700,BTC,5m,1777022700,1777022941000000,241,77527.16,0.00045010935282840947,0.8700000047683716,223.0,0.14000000059604645,385.67999267578125,1.010000005364418,385.67999267578125,Down,0.14000000059604645,7.14285711244661,1.0,Down,True,6.082657112488333,True,,Down
btc-updown-5m-1777023300,BTC,5m,1777023300,1777023540000000,240,77568.76,0.00035890722486819904,0.9900000095367432,7150.14013671875,0.019999999552965164,203.02000427246094,1.0100000090897083,7150.14013671875,Down,0.019999999552965164,50.00000111758712,1.0,Up,False,-1.0686000000312925,True,,Up
btc-updown-5m-1777024800,BTC,5m,1777024800,1777025040000000,240,77531.83,0.0008956597680553902,0.4099999964237213,65.43000030517578,0.6000000238418579,863.5399780273438,1.0100000202655792,863.5399780273438,Down,0.6000000238418579,1.6666666004392863,1.0,Down,True,0.6386666021082164,True,,Down
btc-updown-5m-1777025400,BTC,5m,1777025400,1777025640000000,240,77528.21,0.0005318311458697433,0.7699999809265137,583.0700073242188,0.23999999463558197,48.72999954223633,1.0099999755620956,583.0700073242188,Down,0.23999999463558197,4.166666759798926,1.0,Up,False,-1.0532000003755093,True,,Up
btc-updown-5m-1777025700,BTC,5m,1777025700,1777025940000000,240,77582.36,0.0002716561315574406,0.9800000190734863,165.75,0.029999999329447746,544.4500122070312,1.010000018402934,544.4500122070312,Down,0.029999999329447746,33.33333407839141,1.0,Up,False,-1.0679000000469385,True,,Up
btc-updown-5m-1777026000,BTC,5m,1777026000,1777026240000000,240,77608.7,0.0004924552503851043,0.8899999856948853,17.489999771118164,0.11999999731779099,478.75,1.0099999830126762,478.75,Down,0.11999999731779099,8.333333519597852,1.0,Up,False,-1.0616000001877546,True,,Up
btc-updown-5m-1777027200,BTC,5m,1777027200,1777027441000000,241,77660.32,0.0002716410247758372,0.7599999904632568,308.25,0.25,68.52999877929688,1.0099999904632568,308.25,Down,0.25,4.0,1.0,Up,False,-1.0525,True,,Up
btc-updown-5m-1777030200,BTC,5m,1777030200,1777030440000000,240,78367.99,0.0007663331374403448,0.8600000143051147,33.599998474121094,0.15000000596046448,395.8999938964844,1.0100000202655792,395.8999938964844,Down,0.15000000596046448,6.666666401757145,1.0,Up,False,-1.0594999995827674,True,,Up
btc-updown-5m-1777031100,BTC,5m,1777031100,1777031340000000,240,78267.37,0.00039457286560606875,0.25,384.75,0.7599999904632568,26.93000030517578,1.0099999904632568,384.75,Down,0.7599999904632568,1.3157894901951928,1.0,Down,True,0.29898948952762067,True,,Down
btc-updown-5m-1777031400,BTC,5m,1777031400,1777031645000000,245,78236.19,0.00028140677304300254,0.699999988079071,23.59000015258789,0.3100000023841858,335.9800109863281,1.0099999904632568,335.9800109863281,Down,0.3100000023841858,3.225806426803478,1.0,Down,True,2.177506426970371,True,,Down
btc-updown-5m-1777031700,BTC,5m,1777031700,1777031940000000,240,78245.82,0.0002096398004740596,0.8799999952316284,257.3500061035156,0.12999999523162842,243.22000122070312,1.0099999904632568,257.3500061035156,Down,0.12999999523162842,7.692307974459867,1.0,Up,False,-1.0609000003337858,True,,Up
btc-updown-5m-1777032600,BTC,5m,1777032600,1777032840000000,240,78284.0,0.0002932493238974043,0.949999988079071,466.9800109863281,0.05999999865889549,669.5900268554688,1.0099999867379665,669.5900268554688,Down,0.05999999865889549,16.666667039195705,1.0,Up,False,-1.0658000000938774,True,,Up
btc-updown-5m-1777033200,BTC,5m,1777033200,1777033441000000,241,78304.57,0.0008805445290436253,0.8100000023841858,76.6500015258789,0.20000000298023224,358.8500061035156,1.010000005364418,358.8500061035156,Down,0.20000000298023224,4.999999925494195,1.0,Up,False,-1.0559999997913836,True,,Up
