symbol,timeframe,horizon_h,indicator,pearson_corr,n
ETHUSDT,4h,12,cross_real_money,0.004575572004461487,6326
ETHUSDT,4h,24,z_lsr,-0.13052664284285673,6563
ETHUSDT,4h,24,z_fund,-0.003920509249196929,2619
ETHUSDT,4h,24,z_oi,0.018357689651941282,6563
ETHUSDT,4h,24,z_oi_silent,-0.003685512710440244,6563
ETHUSDT,4h,24,z_dom_stables,0.06383680759717397,1094
ETHUSDT,4h,24,z_top_lsr_count,-0.1373930292847961,6563
ETHUSDT,4h,24,z_top_lsr_sum,-0.02081043954732341,6563
ETHUSDT,4h,24,z_taker_ratio,-0.032703741294209096,6563
ETHUSDT,4h,24,brigalS,-0.13062684071493458,6563
ETHUSDT,4h,24,oilsr,0.10128973921429217,6563
ETHUSDT,4h,24,cross_institutional_lead,-0.00748736033320249,6563
ETHUSDT,4h,24,cross_leverage_heat,-0.007358955535047465,6323
ETHUSDT,4h,24,cross_risk_off,0.00953501602742329,6563
ETHUSDT,4h,24,cross_real_money,0.007359301485354597,6323
ETHUSDT,4h,48,z_lsr,-0.09734860522776052,6557
ETHUSDT,4h,48,z_fund,0.0020091997348955074,2616
ETHUSDT,4h,48,z_oi,0.004075659061939025,6557
ETHUSDT,4h,48,z_oi_silent,-0.008115830040358582,6557
ETHUSDT,4h,48,z_dom_stables,0.0844542488029556,1093
ETHUSDT,4h,48,z_top_lsr_count,-0.09778387958608124,6557
ETHUSDT,4h,48,z_top_lsr_sum,-0.023842018542559067,6557
ETHUSDT,4h,48,z_taker_ratio,-0.04154189218571602,6557
ETHUSDT,4h,48,brigalS,-0.09729348179082156,6557
ETHUSDT,4h,48,oilsr,0.06914080952343322,6557
ETHUSDT,4h,48,cross_institutional_lead,-0.014300629510953441,6557
ETHUSDT,4h,48,cross_leverage_heat,-0.012096408707140592,6317
ETHUSDT,4h,48,cross_risk_off,0.015427513566074639,6557
ETHUSDT,4h,48,cross_real_money,0.012097052461332409,6317
ETHUSDT,1D,24,z_lsr,-0.23969096769866644,1095
ETHUSDT,1D,24,z_fund,0.1565103301581428,926
ETHUSDT,1D,24,z_oi,0.05742612181853775,1095
ETHUSDT,1D,24,z_oi_silent,0.016009373845580977,1095
ETHUSDT,1D,24,z_dom_stables,0.06364138167787206,1094
ETHUSDT,1D,24,z_top_lsr_count,-0.20754655009116502,1095
ETHUSDT,1D,24,z_top_lsr_sum,0.0865712518172191,1095
ETHUSDT,1D,24,z_taker_ratio,0.03805113534358878,1095
ETHUSDT,1D,24,brigalS,-0.23973711546034476,1095
ETHUSDT,1D,24,oilsr,0.20078925377462806,1095
ETHUSDT,1D,24,cross_institutional_lead,-0.004500539775213148,1095
ETHUSDT,1D,24,cross_leverage_heat,-0.007716774031101553,1055
ETHUSDT,1D,24,cross_risk_off,0.008289589400523694,1095
ETHUSDT,1D,24,cross_real_money,0.007717002096009141,1055
ETHUSDT,1D,72,z_lsr,-0.13463228540302025,1093
ETHUSDT,1D,72,z_fund,0.10904833842663784,924
ETHUSDT,1D,72,z_oi,0.03658968369932108,1093
ETHUSDT,1D,72,z_oi_silent,-0.0259090073505461,1093
ETHUSDT,1D,72,z_dom_stables,0.043597300312436235,1092
ETHUSDT,1D,72,z_top_lsr_count,-0.11477199849886209,1093
ETHUSDT,1D,72,z_top_lsr_sum,0.06074612298695685,1093
ETHUSDT,1D,72,z_taker_ratio,-0.03779726809123502,1093
ETHUSDT,1D,72,brigalS,-0.13481162494450785,1093
ETHUSDT,1D,72,oilsr,0.11556170026797286,1093
ETHUSDT,1D,72,cross_institutional_lead,-0.018462210579750195,1093
ETHUSDT,1D,72,cross_leverage_heat,-0.014808867284372994,1053
ETHUSDT,1D,72,cross_risk_off,0.019162735106135132,1093
ETHUSDT,1D,72,cross_real_money,0.01480969661163148,1053
ETHUSDT,1D,168,z_lsr,-0.0767288911787277,1089
ETHUSDT,1D,168,z_fund,0.08678887991741543,920
ETHUSDT,1D,168,z_oi,0.052396182226659815,1089
ETHUSDT,1D,168,z_oi_silent,-0.027379166619356594,1089
ETHUSDT,1D,168,z_dom_stables,0.10173456516567395,1088
ETHUSDT,1D,168,z_top_lsr_count,-0.06856151800495174,1089
ETHUSDT,1D,168,z_top_lsr_sum,0.030962947810349393,1089
ETHUSDT,1D,168,z_taker_ratio,0.016886898960076446,1089
ETHUSDT,1D,168,brigalS,-0.07677855582359523,1089
ETHUSDT,1D,168,oilsr,0.08595526361675974,1089
ETHUSDT,1D,168,cross_institutional_lead,-0.042964260966721624,1089
ETHUSDT,1D,168,cross_leverage_heat,-0.01658810721475405,1049
ETHUSDT,1D,168,cross_risk_off,0.028223678530434906,1089
ETHUSDT,1D,168,cross_real_money,0.016590118612445873,1049
