side,indicator,mean_at_zero_avg,mean_at_zero_std,cells,sign_consistency
bear,brigalS,0.20799053668926146,0.06422514877738889,3,3.2384593986722945
bear,cross_institutional_lead,0.4552410322439313,0.09089226176149358,3,5.0085785458668575
bear,cross_leverage_heat,1051.1579965551462,1153.4212519210307,3,0.911339196156162
bear,cross_real_money,-2102.892897893418,2306.8025053039796,3,0.9116050867199439
bear,cross_risk_off,-0.03405588964887583,0.014514843274097926,3,2.34628021851599
bear,oilsr,-0.0213767815765723,0.016009467774460915,3,1.3352587280055361
bear,z_dom_stables,-0.031221689272825107,0.049747507347854956,3,0.6276030888243357
bear,z_fund,0.016013597106164647,0.018995288111034913,3,0.84302996682961
bear,z_lsr,0.11111881534559949,0.032069363401569725,3,3.4649523270599274
bear,z_oi,0.08993367473555003,0.01996486445085184,3,4.504597311789554
bear,z_oi_silent,0.07541541058565993,0.017255376389344507,3,4.370545671332342
bear,z_taker_ratio,0.013088071049655522,0.012582587815708023,3,1.0401732331497386
bear,z_top_lsr_count,0.07869293421791723,0.045415181613590254,3,1.7327451178653612
bear,z_top_lsr_sum,-0.04650381311936722,0.029774401802685778,3,1.5618722897456292
bull,brigalS,-0.1545575369998818,0.016225468650161726,3,9.525613116779914
bull,cross_institutional_lead,0.4641912493390894,0.03129718223981289,3,14.831726568297752
bull,cross_leverage_heat,363.91468725070376,262.85548860652733,3,1.3844667622499358
bull,cross_real_money,-728.37583136213,525.7230198605642,3,1.3854744872220257
bull,cross_risk_off,-0.022662009594129718,0.005926633942821783,3,3.8237572647079845
bull,oilsr,0.0890604599799996,0.010660024693311612,3,8.354620419958177
bull,z_dom_stables,0.029335863775744663,0.017362097278587802,3,1.689649775889908
bull,z_fund,0.003104944408722636,0.020093659649275647,3,0.1545235891777716
bull,z_lsr,-0.07020214052885332,0.00811039026442943,3,8.655827677830256
bull,z_oi,0.0194870867510467,0.010008621398512527,3,1.9470300628958606
bull,z_oi_silent,0.040437623593794124,0.010696953924203086,3,3.780293332132558
bull,z_taker_ratio,-0.02548510813079509,0.013946013694476239,3,1.827411666811232
bull,z_top_lsr_count,-0.031480090166837914,0.002975675415780913,3,10.579141125369189
bull,z_top_lsr_sum,-0.01257763534020305,0.009276066801427025,3,1.355923324988142
