asset,tf,variant,n_trades,n_wins,win_rate,total_pnl_usd,avg_pnl_usd,sharpe,max_dd_usd,avg_fees_usd,avg_funding_usd,avg_bars_held,g1_binom_p,g6_pnl_ci_lo,g6_pnl_ci_hi,g4_perm_p
BTC,5m,pure_sms_hold1,54500,6224,0.11420183486238532,-16047.422230058393,-0.29444811431299805,-13.27148018586916,-16047.502154766009,0.22500000000000006,-2.0162739449556058e-05,1.0,0.0,-0.2969484029361542,-0.29185810783437455,
BTC,5m,pure_sms_hold3,54500,11903,0.21840366972477065,-15903.492807725264,-0.2918072074811975,-7.564558730499047,-15912.220468752175,0.22500000000000006,-6.902202981656392e-05,2.9999449541284404,0.0,-0.29616332649353494,-0.2874714036735505,
BTC,5m,pure_sms_hold5,54500,14544,0.2668623853211009,-15821.346320625935,-0.29029993248854924,-5.941930093111527,-15832.148313687265,0.22500000000000006,-0.00012095584266062363,4.999871559633028,0.0,-0.29592417942519195,-0.2847722226690236,
BTC,5m,pure_sms_hold10,54500,17810,0.3267889908256881,-15812.127535985765,-0.290130780476803,-4.32230523478144,-15824.506051103575,0.22500000000000006,-0.00025519204954147976,9.999688073394495,0.0,-0.2978738375060299,-0.2820440662392748,
BTC,5m,pure_sms_signal_flip,5894,2547,0.4321343739395996,-1707.285081847299,-0.28966492735787225,-2.8099145012231266,-1710.4689362610789,0.225,-0.000615375763488771,22.231761112996267,1.941332006358511e-25,-0.32379044218506836,-0.25525721965802184,
BTC,5m,pure_sms_atr_trail,54500,19450,0.3568807339449541,-15786.782656856842,-0.2896657368230613,-4.286053006771097,-15790.062325757837,0.22500000000000006,-0.000351044067431566,12.229174311926606,0.0,-0.2972253156900126,-0.281868620531222,
BTC,5m,sms_regime_trending_hold3,88,10,0.11363636363636363,-36.06059091934965,-0.4097794422653369,-13.107739465334106,-35.61240049265126,0.22500000000000006,0.00032122073863737684,3.0,3.33213360770301e-14,-0.4960641657742522,-0.32887795474635,
BTC,5m,sms_session_londNy_hold3,33402,7742,0.23178252799233579,-9677.710437975886,-0.2897344601513648,-7.098404481487753,-9686.092187910752,0.2250000000000001,-5.083610861628442e-05,3.0,0.0,-0.2957954075011804,-0.2841102780374273,
BTC,5m,sms_session_asia_hold3,23886,4657,0.1949677635434983,-7091.93804027937,-0.29690773006277194,-8.790329135894464,-7092.948801034161,0.225,-7.387074122923879e-05,2.9998744034162272,0.0,-0.3024313027014327,-0.29123142018894677,
BTC,5m,sms_ranging_hold3,45929,9818,0.21376472381284156,-13356.50078723254,-0.29080756792511353,-7.605972455676759,-13362.895172322003,0.225,1.0331000022273906e-06,2.9999346817914607,0.0,-0.29540636610294935,-0.28616811820746346,
