label,hypothesis,asset,hold_h,z_thresh,regime_filter,n_signals,status,n_trades,win_rate,total_pnl_usd,avg_pnl_usd,sharpe,g1_p,g1_pass,g2_pnl_pos,g3_wf_stable,g3_wf_mean_sharpe,g4_perm_p,g4_pass,boot_lo,boot_hi,boot_pos,avg_funding,avg_fees
N2-cross_to_neg|ETH|h24h|z2.0,N2-cross_to_neg,ETH,24,2.0,,170,OK,170,0.5529411764705883,174.14574423819488,1.024386730812911,1.9849090109476317,0.19213646543397706,False,True,True,2.3008875559113715,0.053946053946053944,False,-0.021972597540006383,0.2726571477303584,False,0.007728090735294142,0.2250000000000001
N2-cross_to_neg|ETH|h72h|z2.0,N2-cross_to_neg,ETH,72,2.0,,170,OK,170,0.5235294117647059,-11.03385506831441,-0.06490502981361417,-0.0850577248080222,0.591484588889974,False,False,True,0.8836227260771622,0.5114885114885115,False,-0.14670012353024497,0.1547529111667905,False,0.0392138157352943,0.2250000000000001
N2-cross_to_pos|ETH|h1h|z2.0,N2-cross_to_pos,ETH,1,2.0,,170,OK,167,0.31736526946107785,-91.5327415910554,-0.548100249048236,-4.596244926846056,2.692987435805149e-06,True,False,False,-5.7104489303917765,1.0,False,-0.4654368555209217,-0.13504301535719332,False,-0.0008516154191616739,0.2250000000000001
N2-cross_to_pos|ETH|h4h|z2.0,N2-cross_to_pos,ETH,4,2.0,,170,OK,168,0.35714285714285715,-115.9658647629521,-0.6902730045413815,-3.281887224930613,0.0002636516495278525,True,False,False,-4.344880172545737,0.996003996003996,False,-0.3625203967827362,-0.05773228639794338,False,-0.0023770827380952355,0.22500000000000006
N2-cross_to_pos|ETH|h8h|z2.0,N2-cross_to_pos,ETH,8,2.0,,170,OK,169,0.42011834319526625,-135.33510144378158,-0.80079941682711,-2.5740153077816337,0.045179604429172356,True,False,False,-2.837292758435471,0.988011988011988,False,-0.3058797024137835,-0.008518947217849576,False,-0.004421173816568043,0.22500000000000003
N2-cross_to_pos|ETH|h24h|z2.0,N2-cross_to_pos,ETH,24,2.0,,170,OK,170,0.4117647058823529,-278.55254450216495,-1.6385443794244996,-3.178561169011535,0.025844387581341735,True,False,False,-3.7387774078038567,0.998001998001998,False,-0.34498339029143477,-0.053899100066702996,False,-0.016022073235294133,0.2250000000000001
N2-cross_to_pos|ETH|h72h|z2.0,N2-cross_to_pos,ETH,72,2.0,,170,OK,170,0.47058823529411764,-21.860752401930085,-0.12859266118782403,-0.16911888941234593,0.49013856710390064,False,False,False,-1.2620180659562055,0.5764235764235764,False,-0.1716545083826286,0.12825859838146755,False,-0.05154268764705901,0.2250000000000001
N2-A|ETH|h24h|z2.0|reg-ranging,N2-A,ETH,24,2.0,ranging,0,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
N2-A|ETH|h24h|z2.0|reg-trending_up,N2-A,ETH,24,2.0,trending_up,0,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
N2-A|ETH|h24h|z2.0|reg-trending_dn,N2-A,ETH,24,2.0,trending_dn,0,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
N2-B|ETH|h24h|z2.0|reg-ranging,N2-B,ETH,24,2.0,ranging,28,OK,28,0.4642857142857143,-3.5143168260614166,-0.12551131521647915,-0.25327062721399185,0.8505540192127228,False,False,False,-0.11185287425692654,0.5274725274725275,False,-0.40430378431590586,0.39459250967173437,False,-0.05201809821428578,0.22499999999999995
N2-B|ETH|h24h|z2.0|reg-trending_up,N2-B,ETH,24,2.0,trending_up,8,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
N2-B|ETH|h24h|z2.0|reg-trending_dn,N2-B,ETH,24,2.0,trending_dn,0,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
N2-A|SOL|h1h|z1.5,N2-A,SOL,1,1.5,,27,OK,27,0.4444444444444444,-0.8618767573647625,-0.0319213613838801,-0.2415991816951715,0.7011080384254456,False,False,True,-0.4266588596185639,0.4875124875124875,False,-0.4658925690058282,0.3550632514536403,False,-0.0026954037037034808,0.22499999999999998
N2-A|SOL|h1h|z2.0,N2-A,SOL,1,2.0,,2,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
N2-A|SOL|h4h|z1.5,N2-A,SOL,4,1.5,,27,OK,27,0.4444444444444444,7.935909080186277,0.29392255852541765,1.6582210604774272,0.7011080384254456,False,True,True,1.2217139618705917,0.2867132867132867,False,-0.3300346211304313,0.4711616127478082,False,-0.006436326851851398,0.22499999999999998
N2-A|SOL|h4h|z2.0,N2-A,SOL,4,2.0,,2,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
N2-A|SOL|h8h|z1.5,N2-A,SOL,8,1.5,,27,OK,27,0.5185185185185185,2.612876054840529,0.09677318721631589,0.32403136559781914,1.0,False,True,True,1.6649589518900383,0.45554445554445555,False,-0.3705238268725315,0.4562334637927706,False,-0.002019899999999518,0.22499999999999998
N2-A|SOL|h8h|z2.0,N2-A,SOL,8,2.0,,2,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
N2-A|SOL|h24h|z1.5,N2-A,SOL,24,1.5,,27,OK,27,0.48148148148148145,-11.668211350988013,-0.43215597596251903,-0.9248542775492857,1.0,False,False,False,-0.6534154607207482,0.6073926073926074,False,-0.4579510675933001,0.35187768362416927,False,0.016854132407408597,0.22499999999999998
N2-A|SOL|h24h|z2.0,N2-A,SOL,24,2.0,,2,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
N2-A|SOL|h72h|z1.5,N2-A,SOL,72,1.5,,27,OK,27,0.5185185185185185,103.09929172659649,3.8184922861702404,5.417045390119403,1.0,False,True,True,4.357306599902631,0.061938061938061936,False,-0.026385532261243162,0.7217573844146341,False,0.14893956666666947,0.22499999999999998
N2-A|SOL|h72h|z2.0,N2-A,SOL,72,2.0,,2,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
N2-B|SOL|h1h|z1.5,N2-B,SOL,1,1.5,,33,OK,33,0.36363636363636365,-22.575500492535404,-0.6841060755313759,-4.457634239897402,0.16275565745308995,False,False,False,-3.990617655100193,0.9370629370629371,False,-0.5987120676215006,0.05072966130960732,False,-0.009345417424242363,0.225
N2-B|SOL|h1h|z2.0,N2-B,SOL,1,2.0,,17,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
N2-B|SOL|h4h|z1.5,N2-B,SOL,4,1.5,,33,OK,33,0.48484848484848486,7.520650343391392,0.2278984952542846,0.6822237665119625,1.0,False,True,True,-0.1274979235216295,0.4095904095904096,False,-0.3114087859603081,0.3919619117098663,False,-0.03482184090909079,0.225
N2-B|SOL|h4h|z2.0,N2-B,SOL,4,2.0,,17,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
N2-B|SOL|h8h|z1.5,N2-B,SOL,8,1.5,,33,OK,33,0.48484848484848486,35.1244760662325,1.064378062613106,3.09381166823006,1.0,False,True,True,3.3500298799214416,0.15784215784215785,False,-0.1687908081382422,0.5140686513572429,False,-0.06336733030303013,0.225
N2-B|SOL|h8h|z2.0,N2-B,SOL,8,2.0,,17,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
N2-B|SOL|h24h|z1.5,N2-B,SOL,24,1.5,,33,OK,33,0.5151515151515151,52.285728197583964,1.5844160059873929,2.1299146782508838,1.0,False,True,True,1.2755988642738216,0.24875124875124874,False,-0.2502756380700298,0.4325714252010713,False,-0.1526933477272725,0.225
N2-B|SOL|h24h|z2.0,N2-B,SOL,24,2.0,,17,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
N2-B|SOL|h72h|z1.5,N2-B,SOL,72,1.5,,33,OK,33,0.45454545454545453,57.84789214656566,1.752966428683808,2.0139886397584346,0.7283324808813632,False,True,False,0.18814803488015355,0.22577422577422576,False,-0.23836204457108026,0.46087381626801627,False,-0.33280740227272776,0.225
N2-B|SOL|h72h|z2.0,N2-B,SOL,72,2.0,,17,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
N2-C_pos|SOL|h1h|z1.5,N2-C_pos,SOL,1,1.5,,27,OK,27,0.4444444444444444,-15.338123242635236,-0.5680786386161198,-4.299545140874533,0.7011080384254456,False,False,False,-4.278807458667045,0.9040959040959041,False,-0.6538645676995127,0.119366503994411,False,0.0026954037037034808,0.22499999999999998
N2-C_pos|SOL|h1h|z2.0,N2-C_pos,SOL,1,2.0,,2,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
