asset,tf,feature,sign,n_signals,n_trades,n_wins,win_rate,total_pnl_usd,avg_pnl_usd,sharpe,max_dd_usd,avg_funding_paid,avg_fees_paid,avg_bars_held,g1_pvalue,g1_pass,g3_pass,g6_frac_positive,g6_ci_lo,g6_ci_hi,g6_pass,skipped_reason
BTC,5m,rf_band_pos,trend,29265,29265.0,12791.0,0.43707500427131385,-10603.703206959426,-0.3623339554744379,-1.278445332016849,-10813.545477605563,-0.04996606133096026,0.22500000000000006,143.99969246540235,5.089979580587422e-103,True,False,0.0,-0.4138294820646996,-0.31150884690205816,False,
BTC,5m,rf_band_pos,fade,29265,29265.0,13544.0,0.46280539894071415,-6955.296793040574,-0.23766604452556206,-0.8385718219667354,-7448.002007606943,0.04996606133096026,0.22500000000000006,143.99969246540235,4.253000276418089e-37,True,False,0.0,-0.28849115309794177,-0.18617051793530037,False,
BTC,5m,rsi_14,trend,40606,40606.0,17657.0,0.4348372161749495,-10788.206205796065,-0.26568010160557715,-0.9352047666483344,-11111.295804566686,0.0007197893987320269,0.22500000000000006,143.98549475446978,2.2356134972418947e-152,True,False,0.0,-0.31153777659121956,-0.22162089896090179,False,
BTC,5m,rsi_14,fade,40606,40606.0,19629.0,0.4834014677633847,-13575.393794203934,-0.33431989839442283,-1.1768196439039897,-13905.734537294657,-0.0007197893987320269,0.22500000000000006,143.98549475446978,2.3068139574449686e-11,True,False,0.0,-0.37837910103909816,-0.2884622234087805,False,
BTC,5m,rf_dist_bps,trend,37317,37317.0,16597.0,0.4447570812230351,-15584.237607893909,-0.4176176436448243,-1.271457011555098,-16107.174400251257,0.0025375825575467263,0.22500000000000006,143.9580620092719,3.162401066395748e-101,True,False,0.0,-0.4737574407176941,-0.3650401960515846,False,
BTC,5m,rf_dist_bps,fade,37317,37317.0,17929.0,0.4804512688586971,-6805.962392106092,-0.18238235635517572,-0.5552718600389109,-6979.066320834105,-0.0025375825575467263,0.22500000000000006,143.9580620092719,4.4042859720013894e-14,True,False,0.0,-0.23495980394841542,-0.1262425592823059,False,
BTC,15m,rf_band_pos,trend,13853,13852.0,5980.0,0.43170661276349986,-3439.552226494343,-0.24830726440184397,-0.8761133097797038,-4291.916242946329,-0.033403798534525596,0.22500000000000006,47.99025411492925,2.9010979821020927e-58,True,False,0.0,-0.322510453458685,-0.17873197117672376,False,
BTC,15m,rf_band_pos,fade,13853,13852.0,6529.0,0.4713398787178747,-4871.647773505656,-0.35169273559815595,-1.2408927598337733,-4888.770970058021,0.033403798534525596,0.22500000000000006,47.99025411492925,1.5884116587304596e-11,True,False,0.0,-0.42126802882327624,-0.27748954654131497,False,
BTC,15m,rsi_14,trend,13972,13972.0,6125.0,0.43837675350701405,-3209.183203105469,-0.229686745140672,-0.8109051470535663,-3740.5002828695524,0.0005957075257623409,0.22500000000000006,47.99763813340968,3.8717754658533676e-48,True,False,0.0,-0.3056352650796543,-0.15901153537932494,False,
BTC,15m,rsi_14,fade,13972,13972.0,6806.0,0.4871170913255082,-5174.016796894531,-0.370313254859328,-1.3073846477456752,-5392.236300942596,-0.0005957075257623409,0.22500000000000006,47.99763813340968,0.0023871452490772612,True,False,0.0,-0.44098846462067504,-0.29436473492034576,False,
BTC,15m,bb_pos_20,trend,13042,13042.0,5579.0,0.4277718141389357,-3664.673796414937,-0.2809901699444055,-0.9713067087551586,-3911.5165449003593,-0.0027085707828578905,0.22500000000000006,47.99447937432909,2.761802767756708e-61,True,False,0.0,-0.35762924390414896,-0.19798378327999,False,
BTC,15m,bb_pos_20,fade,13042,13042.0,6339.0,0.4860450851096458,-4160.526203585063,-0.31900983005559447,-1.1027303487276714,-4246.553749845866,0.0027085707828578905,0.22500000000000006,47.99447937432909,0.0014789882436636965,True,False,0.0,-0.40201621672001003,-0.24237075609585101,False,
BTC,1h,rf_band_pos,trend,2888,2888.0,1025.0,0.35491689750692523,-998.7887668350562,-0.3458409857462106,-2.398585168720954,-1032.4939867751264,-0.008013435742731907,0.22500000000000006,3.0,1.857744626766347e-55,True,False,0.0,-0.4273375332656141,-0.26821267696506496,False,
BTC,1h,rf_band_pos,fade,2888,2888.0,1405.0,0.48649584487534625,-734.0112331649437,-0.2541590142537894,-1.7627235267402266,-735.6486008302261,0.008013435742731907,0.22500000000000006,3.0,0.1518963742664469,False,False,0.0,-0.3317873230349351,-0.17266246673438593,False,
