strategy_id,asset,tf,hypothesis,subtest,liq_side,threshold_usd,hold_min,direction_mode,n_trades,win_rate,dollar_per_trade,total_pnl_usd,sharpe,max_dd,p_value,permutation_p,bootstrap_ci_lo,wf_mean,wf_pos_frac,gate_pass,notes
SOL_1m_liq_long_100k_15m_continuation,SOL,1m,N1,threshold_horizon,LONG,100000.0,15,continuation,8,0.25,-3.05,-24.4,-4.5,-38.75,0.28906,,,,0.0,NONE,liq_long_>=$100k_15m_continuation
SOL_1m_liq_long_100k_15m_reversion,SOL,1m,N1,threshold_horizon,LONG,100000.0,15,reversion,8,0.75,2.45,19.6,3.615,-18.8,0.28906,,,,0.0,G2,liq_long_>=$100k_15m_reversion
SOL_1m_liq_long_100k_30m_continuation,SOL,1m,N1,threshold_horizon,LONG,100000.0,30,continuation,8,0.125,-7.0795,-56.64,-17.843,-52.2,0.07031,,,,0.0,NONE,liq_long_>=$100k_30m_continuation
SOL_1m_liq_long_100k_30m_reversion,SOL,1m,N1,threshold_horizon,LONG,100000.0,30,reversion,8,0.875,6.4795,51.84,16.331,-1.48,0.07031,,,,0.0,G2,liq_long_>=$100k_30m_reversion
SOL_1m_liq_long_100k_60m_continuation,SOL,1m,N1,threshold_horizon,LONG,100000.0,60,continuation,8,0.0,-5.8883,-47.11,-20.06,-42.74,0.00781,,,,0.0,G1,liq_long_>=$100k_60m_continuation
SOL_1m_liq_long_100k_60m_reversion,SOL,1m,N1,threshold_horizon,LONG,100000.0,60,reversion,8,1.0,5.2883,42.31,18.016,0.0,0.00781,0.57,,,0.0,"G1,G2",liq_long_>=$100k_60m_reversion
SOL_1m_liq_long_250k_5m_continuation,SOL,1m,N1,threshold_horizon,LONG,250000.0,5,continuation,7,0.4286,-1.5827,-11.08,-3.123,-28.5,1.0,,,,0.0,NONE,liq_long_>=$250k_5m_continuation
SOL_1m_liq_long_250k_5m_reversion,SOL,1m,N1,threshold_horizon,LONG,250000.0,5,reversion,7,0.5714,0.9827,6.88,1.939,-16.18,1.0,,,,0.0,G2,liq_long_>=$250k_5m_reversion
SOL_1m_liq_long_250k_15m_continuation,SOL,1m,N1,threshold_horizon,LONG,250000.0,15,continuation,7,0.2857,-3.0422,-21.3,-4.199,-38.75,0.45312,,,,0.0,NONE,liq_long_>=$250k_15m_continuation
SOL_1m_liq_long_250k_15m_reversion,SOL,1m,N1,threshold_horizon,LONG,250000.0,15,reversion,7,0.7143,2.4422,17.1,3.371,-18.8,0.45312,,,,0.0,G2,liq_long_>=$250k_15m_reversion
SOL_1m_liq_long_250k_30m_continuation,SOL,1m,N1,threshold_horizon,LONG,250000.0,30,continuation,7,0.1429,-7.4565,-52.2,-17.804,-50.95,0.125,,,,0.0,NONE,liq_long_>=$250k_30m_continuation
