asset,tf,prob_threshold,n_signals,n_trades,n_wins,win_rate,total_pnl_usd,avg_pnl_usd,sharpe,max_dd_usd,avg_fees_paid,avg_funding_paid,avg_bars_held,g1_pvalue,g1_pass,g3_pass,g6_frac_positive,g6_ci_lo,g6_ci_hi,g6_pass
BTC,1h,0.55,14726,14726,6439,0.4372538367513242,-4900.4998799986515,-0.3327787505092117,-1.6911341445486772,-4936.57738727021,0.22500000000000006,-0.006843269346741654,6.0,1.9091854646463396e-52,True,False,0.0,-0.38411168373867427,-0.28569080871072977,False
ETH,1h,0.55,13566,13566,6610,0.48724753059118386,-2252.467719735911,-0.16603772075305256,-0.5696343882495506,-2529.443447110669,0.22500000000000006,-0.007154228482975471,6.0,0.003054523231247519,True,False,0.0,-0.24173384063440256,-0.08938505562667422,False
SOL,1h,0.55,13031,13031,6196,0.47548154401043663,-4362.550174429712,-0.33478245525513867,-0.9601230153004999,-4503.581619454939,0.22500000000000003,-0.005855590973450192,6.0,2.2700162797426436e-08,True,False,0.0,-0.43500724189059653,-0.24203931080876642,False
BTC,15m,0.55,47440,47440,18781,0.395889544688027,-13159.692127121718,-0.27739654568131783,-2.4744359959836815,-13201.23205257914,0.22500000000000003,-0.0026594482725576163,8.0,0.0,True,False,0.0,-0.2938078886798909,-0.2610373256936088,False
ETH,15m,0.55,39876,39876,18184,0.4560136422911024,-10340.485781552023,-0.2593160242138635,-1.5096485877723764,-10486.92142835535,0.22500000000000006,-0.0015991521065302557,8.0,3.9275407350395673e-69,True,False,0.0,-0.2844329458749536,-0.233702380696243,False
SOL,15m,0.55,35843,35843,16468,0.45944814887146723,-9136.952692742876,-0.25491595828314806,-1.2146650353329025,-9258.503206029378,0.22500000000000006,-0.004117364341713733,8.0,3.137427484997156e-53,True,False,0.0,-0.29037210132579067,-0.22146628231795876,False
BTC,5m,0.55,92892,92892,32829,0.35341041209146107,-26023.004416393058,-0.28014257865470715,-3.5076608142805332,-26046.81508927105,0.225,-0.0029256605313182685,12.0,0.0,True,False,0.0,-0.2884884265390273,-0.2719788713351466,False
ETH,5m,0.55,67835,67835,29703,0.43787130537333235,-19593.978392731253,-0.2888476213272094,-2.2274174536155438,-19694.159887104503,0.22500000000000006,-0.0009069638788973751,12.0,2.656654660347786e-230,True,False,0.0,-0.30431834150749537,-0.27273175988186144,False
SOL,5m,0.55,56471,56471,25393,0.44966442953020136,-14372.165642557695,-0.2545052441528872,-1.6206352014737486,-14397.630032947558,0.22500000000000003,-0.00404617972189377,12.0,1.19900083046697e-126,True,False,0.0,-0.2750354659934127,-0.23690068308246034,False
BTC,4h,0.55,3879,3879,1834,0.4728022686259345,-689.2299141562386,-0.17768237023878283,-0.6519828450727175,-959.1235708192619,0.2250000000000001,-0.017638058758718916,3.0,0.0007448009705961498,True,False,0.006,-0.3137665278951288,-0.04626028235343135,False
ETH,4h,0.55,3710,3710,1843,0.4967654986522911,-464.78444726037117,-0.12527882675481702,-0.30474846009804946,-677.4291627551894,0.22500000000000006,-0.016248112628042367,3.0,0.7057274238683844,False,False,0.114,-0.35462908958490896,0.08494075664578556,False
SOL,4h,0.55,3714,3714,1817,0.4892299407646742,-649.7621361137724,-0.17494941737042874,-0.3583077965017098,-943.9719207878072,0.2250000000000001,-0.017737386133554627,3.0,0.1948646975365343,False,False,0.075,-0.4228865854862209,0.0732106027582276,False
BTC,1h,0.6,12080,12080,5319,0.44031456953642384,-3606.4884938388095,-0.29855037200652396,-1.537809303235059,-3686.4892670912873,0.2250000000000001,-0.009397265747113066,6.0,2.3252091951775662e-39,True,False,0.0,-0.3562847767859397,-0.24704687643147175,False
ETH,1h,0.6,9977,9977,4935,0.4946376666332565,-956.1919450276566,-0.09583962564174167,-0.32408107197685265,-1382.1737096115364,0.22500000000000006,-0.009168718344697117,6.0,0.2885889216961096,False,False,0.022,-0.18066785508802458,-0.0017179887289267455,False
SOL,1h,0.6,9297,9297,4386,0.4717650855114553,-3193.9959578312514,-0.3435512485566582,-0.9777623121429038,-3377.033095914039,0.22500000000000003,-0.007916142666992528,6.0,5.452205046022286e-08,True,False,0.0,-0.45609937724334904,-0.23041556013510445,False
