test,hypothesis,leader,follower,lag_min,corr,direction,thr_pct,hold_min,n,mean_pnl,win_rate,sharpe,sum_pnl,t,p,volume_filter,window,train_n,test_n,train_mean,test_mean,test_winrate,test_p,obs_mean,perm_p,n_perm,hold_bars_15m,avg_bars_held
N5.1_corr,N5,BTC,ETH,0.0,0.8217795276399353,,,,,,,,,,,,,,,,,,,,,,,
N5.1_corr,N5,BTC,SOL,0.0,0.5740674351114358,,,,,,,,,,,,,,,,,,,,,,,
N5.1_corr,N5,ETH,BTC,0.0,0.8217795276399353,,,,,,,,,,,,,,,,,,,,,,,
N5.1_corr,N5,BTC,ETH,1.0,0.01271979817616404,,,,,,,,,,,,,,,,,,,,,,,
N5.1_corr,N5,BTC,SOL,1.0,0.030105157676021607,,,,,,,,,,,,,,,,,,,,,,,
N5.1_corr,N5,ETH,BTC,1.0,0.013956469481790199,,,,,,,,,,,,,,,,,,,,,,,
N5.1_corr,N5,BTC,ETH,2.0,-0.013908307632116139,,,,,,,,,,,,,,,,,,,,,,,
N5.1_corr,N5,BTC,SOL,2.0,-0.005942188250524325,,,,,,,,,,,,,,,,,,,,,,,
N5.1_corr,N5,ETH,BTC,2.0,-0.010927403685315544,,,,,,,,,,,,,,,,,,,,,,,
N5.1_corr,N5,BTC,ETH,3.0,0.0004526777234508575,,,,,,,,,,,,,,,,,,,,,,,
N5.1_corr,N5,BTC,SOL,3.0,-0.003623020020258727,,,,,,,,,,,,,,,,,,,,,,,
N5.1_corr,N5,ETH,BTC,3.0,-0.004612105572101341,,,,,,,,,,,,,,,,,,,,,,,
N5.1_corr,N5,BTC,ETH,5.0,-0.001727157436554313,,,,,,,,,,,,,,,,,,,,,,,
N5.1_corr,N5,BTC,SOL,5.0,0.002545836249908831,,,,,,,,,,,,,,,,,,,,,,,
N5.1_corr,N5,ETH,BTC,5.0,-0.0030202422658777636,,,,,,,,,,,,,,,,,,,,,,,
N5.2_sweep,N5,,ETH,,,UP,0.2,1.0,104.0,-0.36457524041499767,0.2692307692307692,-4.6010607443178095,-37.91582500315976,-2.9557953816228877,0.003866304667110576,,,,,,,,,,,,,
N5.2_sweep,N5,,ETH,,,DOWN,0.2,1.0,104.0,-0.25466294552368685,0.2980769230769231,-4.398191380753403,-26.48494633446343,-2.825468841457777,0.0056709373438146304,,,,,,,,,,,,,
N5.2_sweep,N5,,SOL,,,UP,0.2,1.0,115.0,-0.334675264518758,0.2608695652173913,-5.3333302724858545,-38.48765541965717,-3.602857858410071,0.0004677681046623139,,,,,,,,,,,,,
N5.2_sweep,N5,,SOL,,,DOWN,0.2,1.0,129.0,-0.22675815290360163,0.26356589147286824,-3.8505830855422603,-29.25180172456461,-2.7549967034864005,0.006725383855513689,,,,,,,,,,,,,
N5.2_sweep,N5,,ETH,,,UP,0.2,3.0,104.0,-0.16708986466892706,0.375,-1.2250343286319698,-17.377345925568413,-0.7869817444535265,0.4330996351163725,,,,,,,,,,,,,
N5.2_sweep,N5,,ETH,,,DOWN,0.2,3.0,104.0,-0.07529842416388803,0.40384615384615385,-0.7365995637962331,-7.831036113044355,-0.4732034002079132,0.6370694031720558,,,,,,,,,,,,,
N5.2_sweep,N5,,SOL,,,UP,0.2,3.0,115.0,-0.6133233000699917,0.22608695652173913,-3.619265349267568,-70.53217950804904,-2.444944891665625,0.0160178595770768,,,,,,,,,,,,,
N5.2_sweep,N5,,SOL,,,DOWN,0.2,3.0,129.0,-0.22026871889625768,0.35658914728682173,-2.6976405787793425,-28.41466473761724,-1.9300949327994101,0.05580711892414203,,,,,,,,,,,,,
N5.2_sweep,N5,,ETH,,,UP,0.2,5.0,104.0,-0.14016103046880507,0.375,-0.8096164862307677,-14.576747168755729,-0.5201106448859693,0.6041025687977419,,,,,,,,,,,,,
N5.2_sweep,N5,,ETH,,,DOWN,0.2,5.0,104.0,-0.17087038794627413,0.46153846153846156,-1.1910295234342883,-17.77052034641251,-0.765136510986348,0.4459398826551546,,,,,,,,,,,,,
N5.2_sweep,N5,,SOL,,,UP,0.2,5.0,115.0,-0.5053120999898371,0.30434782608695654,-2.6242760930559954,-58.11089149883126,-1.7727935945166138,0.0789337972841706,,,,,,,,,,,,,
N5.2_sweep,N5,,SOL,,,DOWN,0.2,5.0,129.0,-0.2493446055409375,0.37209302325581395,-1.6576966862887843,-32.165454114780935,-1.1860408682657442,0.2378030934444746,,,,,,,,,,,,,
N5.2_sweep,N5,,ETH,,,UP,0.2,10.0,104.0,0.2746954831501855,0.3942307692307692,1.6446354931035572,28.568330247619294,1.0565402773636574,0.29319324262195723,,,,,,,,,,,,,
N5.2_sweep,N5,,ETH,,,DOWN,0.2,10.0,104.0,-0.08895166494325268,0.4326923076923077,-0.4246193715767031,-9.25097315409828,-0.2727823098193244,0.7855667029242217,,,,,,,,,,,,,
N5.2_sweep,N5,,SOL,,,UP,0.2,10.0,115.0,0.2088649054969415,0.3826086956521739,0.7240103721330798,24.019464132148272,0.4890952417230007,0.6257139546837744,,,,,,,,,,,,,
