poly_mint_sell_btc_5m,7899,59.2,1923.74,0.2435,99.94,,05-17,1.0
poly_mint_sell_eth_5m,7353,51.5,1614.54,0.2196,82.09,,05-17,1.0
poly_mint_sell_btc_15m,7938,42.4,1366.41,0.1721,72.69,,05-17,1.0
poly_mint_sell_eth_15m,7052,31.2,945.70,0.1341,53.71,,05-17,1.0
poly_updown_eth_15m_momo_v2_HOLD,110,67.3,846.36,7.6942,3.51,,05-21,13.5
poly_updown_eth_15m_momo_v2_SELL,110,66.4,777.74,7.0704,3.35,,05-21,13.5
poly_mint_sell_sol_5m,4079,40.5,771.54,0.1891,49.11,,05-17,1.0
poly_updown_eth_15m_momo_v2_HEDGE,110,67.3,681.69,6.1972,2.95,,05-21,13.5
poly_updown_sol_5m_momo_v2_HOLD_f7,164,59.1,611.00,3.7256,1.97,,06-01,11.9
poly_updown_sol_5m_momo_v2_SELL_f7,86,61.6,557.20,6.4791,2.72,,05-27,6.2
poly_updown_sol_5m_momo_v2_HEDGE_f7,86,65.1,516.72,6.0084,2.49,,05-27,6.2
poly_updown_btc_15m_momo_HOLD,85,61.2,449.93,5.2933,2.01,,05-21,13.5
poly_mint_sell_sol_15m,4330,20.2,425.44,0.0983,31.27,,05-17,1.0
poly_updown_btc_5m_momo_HOLD_f7,171,54.4,394.89,2.3093,1.20,,06-01,11.3
poly_sniper_v5_btc_5m_q_parent15mslope_ts_imb5_v8,2697,68.7,371.97,0.1379,0.37,0.703,06-02,5.4
poly_updown_btc_5m_momo_HEDGE_f7,98,55.1,261.90,2.6724,1.07,,05-27,6.4
shadow_poly_updown_ALL_15m_S4_prewindow,28,71.4,260.48,9.3027,2.23,,06-02,6.5
poly_updown_btc_15m_momo_SELL,85,54.1,260.10,3.0600,1.24,,05-21,13.5
poly_updown_btc_5m_momo_SELL_f7,98,55.1,258.99,2.6427,1.06,,05-27,6.4
poly_updown_btc_15m_momo_HOLD_f7,62,58.1,238.58,3.8480,1.22,,06-02,12.1
poly_updown_btc_15m_momo_HEDGE,85,61.2,235.74,2.7734,1.13,,05-21,13.5
poly_updown_eth_15m_momo_v2_SELL_f7,37,48.6,187.20,5.0595,1.53,,05-27,6.4
poly_updown_eth_5m_v4,41,56.1,172.96,4.2186,1.37,,06-02,21.5
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,134,81.3,166.79,1.2447,1.99,0.728,06-02,5.5
poly_updown_eth_15m_momo_v2_HEDGE_f7,37,56.8,158.83,4.2927,1.26,,05-27,6.4
