poly_sniper_v5_btc_5m_down_b2_contrarian2k_v9,387,50.4,110.14,0.2846,6.0098,0.93,0.481,0,05-29,06-02,3.6
poly_sniper_v5_eth_5m_cloud_ribbon_mp_hurst_v6_vL,236,73.3,45.18,0.1914,3.2624,0.90,0.698,44,05-29,06-02,3.5
poly_sniper_v5_sol_5m_b1_polyflow_aligned_v9,35,71.4,34.97,0.9991,6.6388,0.89,0.625,66,05-29,06-02,3.5
poly_sniper_v5_eth_5m_lq_ema50_hurst_grandparent_prev15m_v8,17,70.6,14.90,0.8767,4.0679,0.89,0.603,65,05-29,06-01,2.8
poly_sniper_v5_eth_5m_bb_mp_hurst_band_v6_vL,303,68.3,53.68,0.1772,3.6153,0.85,0.650,48,05-29,06-02,3.5
poly_updown_eth_5m_v3_1,50,54.0,116.60,2.3321,20.5025,0.80,,0,05-10,06-02,22.2
poly_sniper_v5_sol_5m_b3_abs500_no_opp_v9,179,54.2,59.82,0.3342,6.8796,0.65,0.533,53,05-29,06-02,3.6
poly_sniper_v5_eth_5m_cloud_vwap_hurstmp_v7_vL,253,68.0,36.65,0.1449,3.6238,0.64,0.651,48,05-29,06-02,3.5
poly_sniper_v5_sol_5m_rf_tr_partial_mid,600,70.2,63.95,0.1066,4.2392,0.62,0.674,52,05-27,06-02,5.5
poly_sniper_v5_sol_5m_btcf7_f7overb_ema800_vwap_v7,380,67.4,44.92,0.1182,3.7803,0.61,0.659,99,05-27,06-02,5.5
poly_sniper_v5_btc_5m_a2_hlcascade100k_v9,29,51.7,20.09,0.6927,6.6165,0.56,0.508,48,05-29,06-02,3.5
poly_updown_eth_5m_v3_3,64,51.6,87.39,1.3655,20.3308,0.54,,0,05-10,06-02,22.2
poly_updown_eth_5m_v3_2,64,51.6,87.34,1.3647,20.3319,0.54,,0,05-10,06-02,22.2
poly_sniper_v5_eth_5m_lq_ema50_hurst_grandparent_prev15m_v8_vL,21,66.7,10.02,0.4770,4.1226,0.53,0.613,57,05-29,06-01,2.8
poly_updown_eth_15m_momo_HOLD_f7,52,53.8,92.43,1.7774,25.2208,0.51,,0,05-22,06-02,10.4
poly_updown_eth_5m_vwap_off210_f7_m1v,16,56.3,45.66,2.8535,25.4520,0.45,,0,06-01,06-02,0.6
poly_updown_eth_15m_momo_v2_HOLD_f7,58,53.4,83.94,1.4472,24.9840,0.44,,0,05-20,06-02,12.2
poly_sniper_v5_eth_5m_cloud_mp_sms_active_off120,29,75.9,7.22,0.2488,3.2204,0.42,0.728,41,05-29,06-01,3.3
shadow_poly_updown_eth_15m_fade_sniper,150,54.7,123.42,0.8228,24.1073,0.42,,0,05-24,06-02,8.2
poly_sniper_v5_btc_5m_q_parent15mslope_ts_imb5_v8,2678,68.7,381.69,0.1425,19.3484,0.38,0.702,50,05-27,06-02,5.3
poly_sniper_v5_sol_5m_rf_tr_pp_mid,56,71.4,10.43,0.1862,3.6483,0.38,0.684,64,05-28,06-02,5.1
poly_updown_eth_15m_momo_SELL_f7,28,39.3,38.44,1.3728,20.8265,0.35,,0,05-22,05-27,4.8
poly_fast_taker_b2_nomerge_eth_5m,28,64.3,2.51,0.0896,1.6142,0.29,0.624,61,06-01,06-02,0.4
poly_updown_sol_15m_momo_HOLD_f7,56,51.8,47.15,0.8420,26.0060,0.24,,0,05-21,06-02,12.0
poly_updown_sol_15m_momo_v2_HOLD_f7,48,52.1,41.41,0.8628,25.5370,0.23,,0,05-20,06-02,12.3
