fired,skip_reason,slug,ws_s,outcome_truth,current_px,trend_align,v_trend,v_levels,v_momentum,p_up_levels,score_momentum,bb_position,rsi14,direction,stake_usd,vwap_entry,shares,hit_levels,underfilled,won,pnl_usd,balance_cum_usd
False,pre_open_1.62<13.00,btc-updown-5m-1776994800,1776994500,Down,,,,,,,,,,,,,,,,,,
False,pre_open_1.70<13.00,btc-updown-5m-1776995100,1776994800,Up,,,,,,,,,,,,,,,,,,
False,pre_open_1.78<13.00,btc-updown-5m-1776995400,1776995100,Up,,,,,,,,,,,,,,,,,,
False,pre_open_1.87<13.00,btc-updown-5m-1776995700,1776995400,Up,,,,,,,,,,,,,,,,,,
False,pre_open_1.95<13.00,btc-updown-5m-1776996000,1776995700,Up,,,,,,,,,,,,,,,,,,
False,pre_open_2.87<13.00,btc-updown-5m-1776999300,1776999000,Down,,,,,,,,,,,,,,,,,,
False,pre_open_2.95<13.00,btc-updown-5m-1776999600,1776999300,Up,,,,,,,,,,,,,,,,,,
False,pre_open_3.03<13.00,btc-updown-5m-1776999900,1776999600,Up,,,,,,,,,,,,,,,,,,
False,pre_open_3.12<13.00,btc-updown-5m-1777000200,1776999900,Down,,,,,,,,,,,,,,,,,,
False,pre_open_3.20<13.00,btc-updown-5m-1777000500,1777000200,Down,,,,,,,,,,,,,,,,,,
False,pre_open_3.28<13.00,btc-updown-5m-1777000800,1777000500,Down,,,,,,,,,,,,,,,,,,
False,pre_open_3.37<13.00,btc-updown-5m-1777001100,1777000800,Up,,,,,,,,,,,,,,,,,,
False,pre_open_3.45<13.00,btc-updown-5m-1777001400,1777001100,Down,,,,,,,,,,,,,,,,,,
False,pre_open_3.53<13.00,btc-updown-5m-1777001700,1777001400,Up,,,,,,,,,,,,,,,,,,
False,pre_open_3.62<13.00,btc-updown-5m-1777002000,1777001700,Down,,,,,,,,,,,,,,,,,,
False,pre_open_3.70<13.00,btc-updown-5m-1777002300,1777002000,Up,,,,,,,,,,,,,,,,,,
False,pre_open_3.78<13.00,btc-updown-5m-1777002600,1777002300,Up,,,,,,,,,,,,,,,,,,
False,pre_open_3.87<13.00,btc-updown-5m-1777002900,1777002600,Up,,,,,,,,,,,,,,,,,,
False,pre_open_3.95<13.00,btc-updown-5m-1777003200,1777002900,Down,,,,,,,,,,,,,,,,,,
False,pre_open_4.03<13.00,btc-updown-5m-1777003500,1777003200,Up,,,,,,,,,,,,,,,,,,
False,pre_open_4.12<13.00,btc-updown-5m-1777003800,1777003500,Up,,,,,,,,,,,,,,,,,,
False,pre_open_4.20<13.00,btc-updown-5m-1777004100,1777003800,Up,,,,,,,,,,,,,,,,,,
False,pre_open_4.28<13.00,btc-updown-5m-1777004400,1777004100,Up,,,,,,,,,,,,,,,,,,
False,pre_open_4.37<13.00,btc-updown-5m-1777004700,1777004400,Down,,,,,,,,,,,,,,,,,,
False,pre_open_4.45<13.00,btc-updown-5m-1777005000,1777004700,Down,,,,,,,,,,,,,,,,,,
False,pre_open_4.53<13.00,btc-updown-5m-1777005300,1777005000,Down,,,,,,,,,,,,,,,,,,
False,pre_open_4.62<13.00,btc-updown-5m-1777005600,1777005300,Up,,,,,,,,,,,,,,,,,,
