entry_time,exit_time,side,entry,exit,qty,stop,tp,reason,bars_held,realized,ret
2024-01-02 04:20:00+00:00,2024-01-02 05:10:00+00:00,1,111.5067235,113.15,124.23505365066707,110.68507419957987,113.15,TP,10,191.59293609672775,0.019159293609672775
2024-01-03 10:00:00+00:00,2024-01-03 10:35:00+00:00,1,109.21638000000002,108.02965737887759,88.30497635395491,108.04586425851636,110.58496288978037,STOP,7,-113.42627078409886,-0.01112939571814766
2024-01-10 22:15:00+00:00,2024-01-10 23:45:00+00:00,1,102.85542600000001,102.25,16.012423260463972,96.54603280879012,110.39276062945187,TIME,18,-11.172243067248193,-0.0011085590701433023
2024-01-15 02:55:00+00:00,2024-01-15 04:25:00+00:00,1,96.67449900000001,95.76,83.43643295426776,95.45345340329168,98.10785591604999,TIME,18,-83.52775617850116,-0.00829718907898936
2024-01-16 03:55:00+00:00,2024-01-16 05:25:00+00:00,1,96.2044285,96.06,114.66725046670413,95.31935326996737,97.23477607603915,TIME,18,-26.482114004422048,-0.00265259702768708
2024-01-17 01:15:00+00:00,2024-01-17 02:45:00+00:00,1,99.77496400000001,100.66,71.60674324009591,98.36949065667226,101.4286112119933,TIME,18,56.91592285867183,0.005716180693168039
2024-01-23 03:00:00+00:00,2024-01-23 04:30:00+00:00,1,85.52282650000001,85.79,91.7259889745585,84.41828100226877,86.82006279727749,TIME,18,17.435526219661302,0.0017411323652883246
2024-01-24 07:20:00+00:00,2024-01-24 08:50:00+00:00,1,86.2229315,86.55,55.19758283007045,84.3926494047714,88.3908207142743,TIME,18,13.761898931087263,0.0013718909355166873
2024-01-26 02:55:00+00:00,2024-01-26 04:25:00+00:00,1,88.13321800000001,87.98,84.41844384431693,86.9300825551112,89.54790093386657,TIME,18,-19.62466684072809,-0.0019536561052916836
2024-01-28 03:45:00+00:00,2024-01-28 03:55:00+00:00,1,95.32429650000002,96.64315281923106,90.24147649341812,94.19903931730745,96.64315281923106,TP,2,111.21999980072505,0.011093740635810319
2024-01-29 02:10:00+00:00,2024-01-29 03:35:00+00:00,1,97.2645875,98.78936280868686,79.01991532467011,95.96719765942761,98.78936280868686,TP,17,113.51614083297628,0.011198537651614788
2024-02-06 08:45:00+00:00,2024-02-06 10:10:00+00:00,1,96.23443300000001,95.54507329407879,155.16683581661974,95.55940720515956,97.01271135380853,STOP,17,-120.35678293202774,-0.011741885315914
2024-02-06 16:25:00+00:00,2024-02-06 17:55:00+00:00,1,96.03440300000001,95.89,75.21198728017976,94.67315982767519,97.63620820678976,TIME,18,-17.35659368995708,-0.0017134102924155948
2024-02-09 07:15:00+00:00,2024-02-09 08:45:00+00:00,1,105.24578450000001,105.98,106.9019935517136,104.28404046629393,106.36515144044729,TIME,18,68.32789479290858,0.0067567784265662924
2024-02-10 01:00:00+00:00,2024-02-10 01:35:00+00:00,1,107.91618500000001,108.62387705016961,168.77159826493357,107.29676912485867,108.62387705016961,TP,7,102.99270282424285,0.010116342637535622
2024-02-10 20:45:00+00:00,2024-02-10 22:15:00+00:00,1,109.976494,109.39,76.26755139921558,108.61161311643134,111.57806426028237,TIME,18,-52.259206700716504,-0.0050816937679379
2024-02-16 02:50:00+00:00,2024-02-16 04:20:00+00:00,1,114.00709850000001,113.62,93.27057758903501,112.89302412050655,115.30637105539212,TIME,18,-45.6588106072548,-0.00446254747689677
2024-02-17 00:15:00+00:00,2024-02-17 01:20:00+00:00,1,110.57658400000001,110.06949688075609,214.89681000871192,110.08600978222343,111.12878826133189,STOP,13,-130.30866683701512,-0.012793045782351771
2024-02-18 04:15:00+00:00,2024-02-18 05:45:00+00:00,1,108.71630500000002,109.46,204.5116399116405,108.20831209827179,109.76,TIME,18,132.01546677764662,0.013128565101583311
2024-02-18 08:30:00+00:00,2024-02-18 09:15:00+00:00,1,109.15637100000001,110.0,155.65652488329806,108.48550733513223,110.0,TP,9,115.96545482861808,0.01138299438696544
2024-02-19 07:25:00+00:00,2024-02-19 08:45:00+00:00,1,113.29699200000002,111.87550818277934,74.24884074819387,111.89229202658333,114.9452495681,STOP,16,-113.06698426907738,-0.010973572765123066
2024-02-23 06:05:00+00:00,2024-02-23 07:35:00+00:00,1,102.71540500000002,102.46,111.85093042551718,101.78892095852183,103.79329484977382,TIME,18,-38.894363862689,-0.003816726281902454
2024-02-24 04:10:00+00:00,2024-02-24 05:40:00+00:00,1,100.61509000000001,101.19,82.47597859634857,99.3691434940259,102.0770278071689,TIME,18,39.92643232726242,0.003933014995252253
2024-02-26 15:30:00+00:00,2024-02-26 16:40:00+00:00,1,104.47566900000001,106.82922230558736,51.61965203087254,102.48564807867719,106.82922230558736,TP,14,116.58123443780195,0.011439025029472345
2024-02-28 07:40:00+00:00,2024-02-28 09:10:00+00:00,1,109.60643850000001,110.31,73.08132303341878,108.17950047384325,111.2825994313881,TIME,18,44.18490232830623,0.004286418332392976
2024-02-28 16:10:00+00:00,2024-02-28 17:30:00+00:00,1,115.15727100000001,111.25480081141316,26.760448238198993,111.27149153514343,119.78221015782789,STOP,16,-107.1583513204887,-0.01035116158405626
