wallet,feature,engagement_rate_pct,n_engaged,n_unengaged,eng_mean,nen_mean,eng_median,nen_median,diff_mean,z_score
0x04b6d7e9,sum_bids,55.67226890756303,265,211,0.9852,0.9884,0.99,0.99,-0.0032,-0.8600000143051147
0x04b6d7e9,sum_asks,55.67226890756303,265,211,1.0148,1.0116,1.01,1.01,0.0032,0.8600000143051147
0x04b6d7e9,spread_up,55.67226890756303,265,211,0.0148,0.0116,0.01,0.01,0.0032,0.8600000143051147
0x04b6d7e9,spread_dn,55.67226890756303,265,211,0.0148,0.0116,0.01,0.01,0.0032,0.8600000143051147
0x04b6d7e9,mid_diff,55.67226890756303,265,211,0.0089,0.0082,0.01,0.01,0.0007,1.940000057220459
0x04b6d7e9,depth_up,55.67226890756303,265,211,827.3744,888.5874,494.515,498.08,-61.213,-0.8799999952316284
0x04b6d7e9,depth_dn,55.67226890756303,265,211,827.3744,888.5874,494.515,498.08,-61.213,-0.8799999952316284
0x04b6d7e9,hour_utc,55.67226890756303,265,211,14.2566,10.1706,15.0,8.0,4.086,6.6
0xeebde7a0,sum_bids,96.42105263157895,458,17,0.9862,0.9894,0.99,0.99,-0.0032,-1.309999942779541
0xeebde7a0,sum_asks,96.42105263157895,458,17,1.0138,1.0106,1.01,1.01,0.0032,1.309999942779541
0xeebde7a0,spread_up,96.42105263157895,458,17,0.0138,0.0106,0.01,0.01,0.0032,1.309999942779541
0xeebde7a0,spread_dn,96.42105263157895,458,17,0.0138,0.0106,0.01,0.01,0.0032,1.309999942779541
0xeebde7a0,mid_diff,96.42105263157895,458,17,0.0084,0.0094,0.01,0.01,-0.001,-0.8600000143051147
0xeebde7a0,depth_up,96.42105263157895,458,17,771.9614,673.9777,498.99,491.07,97.9837,0.9200000166893005
0xeebde7a0,depth_dn,96.42105263157895,458,17,771.9614,673.9777,498.99,491.07,97.9837,0.9200000166893005
0xeebde7a0,hour_utc,96.42105263157895,458,17,9.9585,9.4706,9.0,9.0,0.4879,0.39
0x89b5cdaa,sum_bids,76.33587786259542,500,155,0.9862,0.9883,0.99,0.99,-0.0021,-0.9800000190734863
0x89b5cdaa,sum_asks,76.33587786259542,500,155,1.0138,1.0117,1.01,1.01,0.0021,0.9800000190734863
0x89b5cdaa,spread_up,76.33587786259542,500,155,0.0138,0.0117,0.01,0.01,0.0021,0.9800000190734863
0x89b5cdaa,spread_dn,76.33587786259542,500,155,0.0138,0.0117,0.01,0.01,0.0021,0.9800000190734863
0x89b5cdaa,mid_diff,76.33587786259542,500,155,0.0081,0.0083,0.01,0.01,-0.0002,-0.2199999988079071
0x89b5cdaa,depth_up,76.33587786259542,500,155,783.9288,962.9883,497.095,500.56,-179.0594,-2.5299999713897705
0x89b5cdaa,depth_dn,76.33587786259542,500,155,783.9288,962.9883,497.095,500.56,-179.0594,-2.5299999713897705
0x89b5cdaa,hour_utc,76.33587786259542,500,155,11.58,12.5419,12.5,14.0,-0.9619,-1.46
0xcfb103c3,sum_bids,65.6441717791411,428,224,0.9889,0.9825,0.99,0.99,0.0064,1.4299999475479126
0xcfb103c3,sum_asks,65.6441717791411,428,224,1.0111,1.0175,1.01,1.01,-0.0064,-1.4299999475479126
0xcfb103c3,spread_up,65.6441717791411,428,224,0.0111,0.0175,0.01,0.01,-0.0064,-1.4299999475479126
0xcfb103c3,spread_dn,65.6441717791411,428,224,0.0111,0.0175,0.01,0.01,-0.0064,-1.4299999475479126
0xcfb103c3,mid_diff,65.6441717791411,428,224,0.0089,0.0068,0.01,0.01,0.0021,1.909999966621399
0xcfb103c3,depth_up,65.6441717791411,428,224,477.9031,1484.1338,493.66,1333.28,-1006.2307,-17.860000610351562
0xcfb103c3,depth_dn,65.6441717791411,428,224,477.9031,1484.1338,493.66,1333.28,-1006.2307,-17.860000610351562
0xcfb103c3,hour_utc,65.6441717791411,428,224,11.5467,12.2902,11.0,14.0,-0.7434,-1.25
0xce25e214,sum_bids,42.384105960264904,128,174,0.9817,0.9871,0.99,0.99,-0.0055,-0.6700000166893005
0xce25e214,sum_asks,42.384105960264904,128,174,1.0183,1.0129,1.01,1.01,0.0055,0.6700000166893005
0xce25e214,spread_up,42.384105960264904,128,174,0.0183,0.0129,0.01,0.01,0.0055,0.6700000166893005
0xce25e214,spread_dn,42.384105960264904,128,174,0.0183,0.0129,0.01,0.01,0.0055,0.6700000166893005
0xce25e214,mid_diff,42.384105960264904,128,174,0.0092,0.0073,0.01,0.01,0.0019,0.7200000286102295
0xce25e214,depth_up,42.384105960264904,128,174,938.2772,592.6118,524.25,499.06,345.6653,5.75
0xce25e214,depth_dn,42.384105960264904,128,174,938.2772,592.6118,524.25,499.06,345.6653,5.75
0xce25e214,hour_utc,42.384105960264904,128,174,14.2656,11.2644,15.0,11.0,3.0013,3.81
