wallet,slug,outcome_truth,mint_cost,trading_cash,up_leftover,down_leftover,redeemed,actual_pnl,mc,asset_sym,slot_start_s
0x04b6d7e9,btc-updown-15m-1778767200,?,2481.1686250000002,2199.325402040874,-2217.4225130000004,-2481.1686250000002,0.0,-281.84322295912625,updown_15m,BTC,1778767200
0x04b6d7e9,btc-updown-15m-1778768100,?,2008.6691159999998,1875.1702230859519,-1731.9002639999999,-2008.6691159999998,0.0,-133.49889291404793,updown_15m,BTC,1778768100
0x04b6d7e9,btc-updown-15m-1778769000,Up,1442.8931420000001,1174.5393202477585,-1442.8931420000001,-1171.8437170000002,0.0,-268.35382175224163,updown_15m,BTC,1778769000
0x04b6d7e9,btc-updown-15m-1778769900,Up,1978.664495,1801.4427094920918,-1978.664495,-1854.333444,0.0,-177.22178550790818,updown_15m,BTC,1778769900
0x04b6d7e9,btc-updown-15m-1778770800,Up,4421.0323880000005,4235.058112742433,-4421.0323880000005,-3860.942966,0.0,-185.97427525756757,updown_15m,BTC,1778770800
0x04b6d7e9,btc-updown-15m-1778771700,Up,3010.653571,2460.478785505403,-3010.653571,-2942.0564990000003,0.0,-550.174785494597,updown_15m,BTC,1778771700
0x04b6d7e9,btc-updown-15m-1778772600,Up,3496.8628280000003,2977.6953157015555,-3204.9802040000004,-3496.8628280000003,0.0,-519.1675122984448,updown_15m,BTC,1778772600
0x04b6d7e9,btc-updown-15m-1778773500,Up,3136.401507,3170.314884640706,-3136.401507,-2877.43392,0.0,33.91337764070613,updown_15m,BTC,1778773500
0x04b6d7e9,btc-updown-15m-1778774400,Up,3315.581701,3493.9654745482667,-3315.581701,-3115.0021599999995,0.0,178.38377354826662,updown_15m,BTC,1778774400
0x04b6d7e9,btc-updown-15m-1778775300,Up,3464.4715300000003,2668.050220053981,-3464.4715300000003,-2393.049016,0.0,-796.4213099460194,updown_15m,BTC,1778775300
0x04b6d7e9,btc-updown-15m-1778776200,Down,5348.871553000001,4648.48596088459,-5348.871553000001,-4325.412488,0.0,-700.3855921154109,updown_15m,BTC,1778776200
0x04b6d7e9,btc-updown-15m-1778777100,Up,3989.9075349999994,2769.655076393433,-3989.9075349999994,-3435.8929639999997,0.0,-1220.2524586065665,updown_15m,BTC,1778777100
0x04b6d7e9,btc-updown-15m-1778778000,Down,1456.2894669999998,1237.612843353647,-1456.2894669999998,-1429.8760379999999,0.0,-218.67662364635294,updown_15m,BTC,1778778000
0x04b6d7e9,btc-updown-15m-1778778900,Down,3110.774941,2996.0700328458192,-2860.445922,-3110.774941,0.0,-114.70490815418088,updown_15m,BTC,1778778900
0x04b6d7e9,btc-updown-15m-1778779800,Up,2708.660957,2049.948540543318,-1875.3991899999999,-2708.660957,0.0,-658.7124164566821,updown_15m,BTC,1778779800
0x04b6d7e9,btc-updown-15m-1778780700,Up,2222.7247289999996,1843.128754952633,-1899.391438,-2222.7247289999996,0.0,-379.59597404736655,updown_15m,BTC,1778780700
0x04b6d7e9,btc-updown-15m-1778781600,Up,3706.899781,3405.6424961069324,-3706.899781,-3343.778485,0.0,-301.25728489306766,updown_15m,BTC,1778781600
0x04b6d7e9,btc-updown-15m-1778782500,Up,1341.421171,988.171592546784,-1107.9357449999998,-1341.421171,0.0,-353.2495784532159,updown_15m,BTC,1778782500
0x04b6d7e9,btc-updown-15m-1778783400,Down,1885.423714,1938.6289047017697,-1229.352469,-1885.423714,0.0,53.20519070176965,updown_15m,BTC,1778783400
0x04b6d7e9,btc-updown-15m-1778784300,Up,2238.29709,1706.0163758300448,-1972.683335,-2238.29709,0.0,-532.2807141699552,updown_15m,BTC,1778784300
0x04b6d7e9,btc-updown-15m-1778785200,Down,4388.887565000001,2968.3341480746594,-3956.8934419999996,-4388.887565000001,0.0,-1420.5534169253415,updown_15m,BTC,1778785200
0x04b6d7e9,btc-updown-15m-1778786100,Down,1390.041004,958.7500719192753,-1341.8072319999999,-1390.041004,0.0,-431.2909320807246,updown_15m,BTC,1778786100
0x04b6d7e9,btc-updown-15m-1778787000,Up,2562.2236199999998,2343.5445843283833,-2334.667382,-2562.2236199999998,0.0,-218.67903567161648,updown_15m,BTC,1778787000
0x04b6d7e9,btc-updown-15m-1778787900,Down,523.8822379999999,290.6252826379889,37.43,-523.8822379999999,0.0,-233.256955362011,updown_15m,BTC,1778787900
0x04b6d7e9,btc-updown-15m-1778821200,Up,1679.0611649999998,1375.5013215521121,-1237.871593,-1679.0611649999998,0.0,-303.5598434478877,updown_15m,BTC,1778821200
0x04b6d7e9,btc-updown-15m-1778822100,Down,1585.530416,1233.8692082101024,-1332.2721829999996,-1585.530416,0.0,-351.6612077898976,updown_15m,BTC,1778822100
0x04b6d7e9,btc-updown-15m-1778823000,Down,704.843606,602.0332791981335,-523.1610069999999,-704.843606,0.0,-102.8103268018665,updown_15m,BTC,1778823000
0x04b6d7e9,btc-updown-15m-1778823900,Down,1963.8147390000001,1631.923764335979,-1938.5988880000002,-1963.8147390000001,0.0,-331.8909746640211,updown_15m,BTC,1778823900
0x04b6d7e9,btc-updown-15m-1778824800,Up,1244.418416,1247.6089850507817,-1062.472537,-1244.418416,0.0,3.1905690507817326,updown_15m,BTC,1778824800
0x04b6d7e9,btc-updown-15m-1778825700,Up,2547.8579290000002,2126.487570570547,-1928.1946540000001,-2547.8579290000002,0.0,-421.37035842945306,updown_15m,BTC,1778825700
0x04b6d7e9,btc-updown-15m-1778826600,Up,2138.013843,1926.2746463681488,-1885.9006180000001,-2138.013843,0.0,-211.73919663185143,updown_15m,BTC,1778826600
0x04b6d7e9,btc-updown-15m-1778838300,Up,1336.293249,335.8614744870301,-39.94496400000003,-1336.293249,0.0,-1000.4317745129699,updown_15m,BTC,1778838300
0x04b6d7e9,btc-updown-15m-1778839200,Up,2487.183639,2253.5613583552226,-2220.3435280000003,-2487.183639,0.0,-233.62228064477722,updown_15m,BTC,1778839200
0x04b6d7e9,btc-updown-15m-1778840100,Down,2767.111497,2683.668159244049,-2767.111497,-2525.9119689999998,0.0,-83.44333775595078,updown_15m,BTC,1778840100
0x04b6d7e9,btc-updown-15m-1778841000,Up,1459.111742,1044.9776677870477,-1459.111742,-932.114568,0.0,-414.1340742129523,updown_15m,BTC,1778841000
0x04b6d7e9,btc-updown-15m-1778841900,Up,2404.8582389999997,2418.2296290055265,-2280.3143880000002,-2404.8582389999997,0.0,13.371390005526791,updown_15m,BTC,1778841900
0x04b6d7e9,btc-updown-15m-1778842800,Down,2022.0834770000001,1536.09811073203,-2022.0834770000001,-1397.4010449999998,0.0,-485.9853662679702,updown_15m,BTC,1778842800
0x04b6d7e9,btc-updown-15m-1778843700,Down,2683.684694,2285.934706076477,-2172.0724539999997,-2683.684694,0.0,-397.7499879235229,updown_15m,BTC,1778843700
0x04b6d7e9,btc-updown-15m-1778844600,Up,2513.342701,2465.5252531946226,-2435.00448,-2513.342701,0.0,-47.81744780537747,updown_15m,BTC,1778844600
0x04b6d7e9,btc-updown-15m-1778845500,Down,3504.68488,3275.5809384095037,-3504.68488,-2868.2971740000003,0.0,-229.1039415904961,updown_15m,BTC,1778845500
0x04b6d7e9,btc-updown-15m-1778846400,Down,2610.4911340000003,2290.97627877084,-2610.4911340000003,-2328.1912970000003,0.0,-319.5148552291603,updown_15m,BTC,1778846400
0x04b6d7e9,btc-updown-15m-1778847300,?,668.935795,507.20858235737785,-292.527072,-668.935795,0.0,-161.72721264262213,updown_15m,BTC,1778847300
0x04b6d7e9,btc-updown-15m-1778848200,?,1528.0106719999997,1224.5469793366635,-1528.0106719999997,-1216.8612500000002,0.0,-303.46369266333613,updown_15m,BTC,1778848200
0x04b6d7e9,btc-updown-15m-1778849100,?,1560.403018,1164.2048205342621,-1560.403018,-1032.915213,0.0,-396.19819746573785,updown_15m,BTC,1778849100
0x04b6d7e9,btc-updown-15m-1778850000,?,1690.103551,1532.1273730898238,-1414.145771,-1690.103551,0.0,-157.97617791017615,updown_15m,BTC,1778850000
0x04b6d7e9,btc-updown-15m-1778850900,?,1865.9395410000002,1302.198350908373,-901.3481260000001,-1865.9395410000002,0.0,-563.7411900916272,updown_15m,BTC,1778850900
0x04b6d7e9,btc-updown-15m-1778851800,?,2330.2466050000003,2222.5166503950913,-2159.3809760000004,-2330.2466050000003,0.0,-107.72995460490893,updown_15m,BTC,1778851800
0x04b6d7e9,btc-updown-15m-1778852700,?,1160.2559370000001,811.3225051540999,-1160.2559370000001,-637.200457,0.0,-348.93343184590026,updown_15m,BTC,1778852700
0x04b6d7e9,btc-updown-15m-1778853600,?,1532.849861,1360.116771848539,-1027.41454,-1532.849861,0.0,-172.73308915146094,updown_15m,BTC,1778853600
