wallet,n_slugs,mean_pnl,median_pnl,sum_pnl,pct_positive,median_mint,median_cash,median_redeemed
0x04b6d7e9,265,-430.5841663875046,-349.7925464159707,-114104.80409268872,12.830188679245284,2547.8579290000002,2189.0312749632462,0.0
0x89b5cdaa,1500,-103.79640463975232,-43.02722325255115,-155694.6069596285,5.733333333333333,189.6889875,119.28001012765789,0.0
0xce25e214,384,-112.39425243895742,-64.83045671752467,-43159.39293655965,17.1875,85.2234810000001,-8.863450865508714,0.0
0xcfb103c3,428,-57.130721996777964,-50.47863845760763,-24451.94901462097,26.635514018691588,49.96080000000006,3.628297797121462,0.0
0xeebde7a0,870,-364.7668765990585,-106.24168458220618,-317347.1826411809,9.080459770114944,398.517137,178.824649688911,0.0
