wallet,slug,outcome_truth,mc,slot_start_s,total_fills,maker_pct,cash_from_trading,rebate,fee,net_up,net_dn,mint_pairs,mint_cost,inv_up_final,inv_dn_final,redemption,actual_pnl
0x04b6d7e9,btc-updown-15m-1778767200,?,updown_15m,1778767200,158,96.83544303797468,2129.0944930398136,13.6718552314635,1.793609920158383,-2217.4225130000004,-2481.1686250000002,2481.1686250000002,2481.1686250000002,263.7461119999998,0.0,0.0,-340.19588664888124
0x04b6d7e9,btc-updown-15m-1778768100,?,updown_15m,1778768100,108,96.29629629629629,1794.465703656053,6.571948891885443,0.3149680711496305,-1731.9002639999999,-2008.6691159999998,2008.6691159999998,2008.6691159999998,276.7688519999999,0.0,0.0,-207.946431523211
0x04b6d7e9,btc-updown-15m-1778769000,Up,updown_15m,1778769000,93,100.0,1290.1607735134057,7.614159391711518,0.0,-1442.8931420000001,-1171.8437170000002,1442.8931420000001,1442.8931420000001,0.0,271.0494249999999,0.0,-145.1182090948828
0x04b6d7e9,btc-updown-15m-1778769900,Up,updown_15m,1778769900,129,95.34883720930233,1823.583823128669,6.795504023147534,0.7861616361525283,-1978.664495,-1854.333444,1978.664495,1978.664495,0.0,124.33105099999989,0.0,-149.07132948433582
0x04b6d7e9,btc-updown-15m-1778770800,Up,updown_15m,1778770800,301,98.00664451827242,3938.452262997284,24.83117421000748,0.6650439547524833,-4421.0323880000005,-3860.942966,4421.0323880000005,4421.0323880000005,0.0,560.0894220000005,0.0,-458.4139947474614
0x04b6d7e9,btc-updown-15m-1778771700,Up,updown_15m,1778771700,307,95.11400651465797,2587.380415718729,19.78206758797208,4.351402559774201,-3010.653571,-2942.0564990000003,3010.653571,3010.653571,0.0,68.59707199999957,0.0,-407.8424902530728
0x04b6d7e9,btc-updown-15m-1778772600,Up,updown_15m,1778772600,229,84.27947598253274,3554.9853426452223,21.53980780454491,12.875008884099467,-3204.980204,-3496.8628280000003,3496.8628280000003,3496.8628280000003,291.8826240000003,0.0,291.8826240000003,358.6699375656681
0x04b6d7e9,btc-updown-15m-1778773500,Up,updown_15m,1778773500,165,100.0,2783.536178668409,13.261270560501114,0.0,-3136.401507,-2877.43392,3136.401507,3136.401507,0.0,258.9675870000001,0.0,-339.6040577710901
0x04b6d7e9,btc-updown-15m-1778774400,Up,updown_15m,1778774400,146,100.0,3344.6645642876974,10.713947028204482,0.0,-3315.581701,-3115.0021599999995,3315.581701,3315.581701,0.0,200.57954100000052,0.0,39.796810315901894
0x04b6d7e9,btc-updown-15m-1778775300,Up,updown_15m,1778775300,237,100.0,2588.464065269923,16.375277405295897,0.0,-3464.4715300000003,-2393.049016,3464.4715300000003,3464.4715300000003,0.0,1071.4225140000003,0.0,-859.6321873247812
0x04b6d7e9,btc-updown-15m-1778776200,Down,updown_15m,1778776200,247,99.19028340080972,5055.6606105223345,25.008972566368186,0.1367654423776244,-5348.871553,-4325.412488,5348.871553,5348.871553,0.0,1023.459065,1023.459065,755.1203296463254
0x04b6d7e9,btc-updown-15m-1778777100,Up,updown_15m,1778777100,198,100.0,3144.5450307959454,14.888745583969797,0.0,-3989.9075349999994,-3435.8929639999997,3989.9075349999994,3989.9075349999994,0.0,554.0145709999997,0.0,-830.473758620084
0x04b6d7e9,btc-updown-15m-1778778000,Down,updown_15m,1778778000,95,96.84210526315789,1234.0300141476087,8.674028094498968,1.259274261892089,-1456.2894669999998,-1429.8760379999999,1456.2894669999998,1456.2894669999998,0.0,26.41342899999995,26.41342899999995,-188.4312700197845
0x04b6d7e9,btc-updown-15m-1778778900,Down,updown_15m,1778778900,183,99.4535519125683,3253.512367726604,9.143007880180019,0.08960000100135804,-2860.445922,-3110.774941,3110.774941,3110.774941,250.32901900000024,0.0,0.0,151.79083460578295
0x04b6d7e9,btc-updown-15m-1778779800,Up,updown_15m,1778779800,181,100.0,2147.6859512965884,10.54340734864762,0.0,-1875.3991899999999,-2708.660957,2708.660957,2708.660957,833.2617670000002,0.0,833.2617670000002,282.830168645236
0x04b6d7e9,btc-updown-15m-1778780700,Up,updown_15m,1778780700,105,95.23809523809523,1912.3670842385245,7.299425342532057,0.4822818450290658,-1899.391438,-2222.7247289999996,2222.7247289999996,2222.7247289999996,323.33329099999946,0.0,323.33329099999946,19.792789736027316
0x04b6d7e9,btc-updown-15m-1778781600,Up,updown_15m,1778781600,146,97.26027397260275,3558.7353147778485,14.225549962273094,2.7370877352565417,-3706.899781,-3343.778485,3706.899781,3706.899781,0.0,363.12129600000026,0.0,-136.67600399513503
0x04b6d7e9,btc-updown-15m-1778782500,Up,updown_15m,1778782500,95,96.84210526315789,1004.9674955580513,7.289114320286826,0.306208930205717,-1107.9357449999998,-1341.421171,1341.421171,1341.421171,233.4854260000002,0.0,233.4854260000002,-95.98534405186729
0x04b6d7e9,btc-updown-15m-1778783400,Down,updown_15m,1778783400,77,94.8051948051948,1832.5688190510014,5.080293218083055,1.2496400389528275,-1229.352469,-1885.423714,1885.423714,1885.423714,656.0712450000001,0.0,0.0,-49.02424176986847
0x04b6d7e9,btc-updown-15m-1778784300,Up,updown_15m,1778784300,165,100.0,1881.472473249296,12.896892366445048,0.0,-1972.683335,-2238.29709,2238.29709,2238.29709,265.6137550000001,0.0,265.6137550000001,-78.31396938425905
0x04b6d7e9,btc-updown-15m-1778785200,Down,updown_15m,1778785200,205,94.14634146341463,3468.730199472615,21.466418380779096,3.0017235283076102,-3956.893442,-4388.887565000001,4388.887565000001,4388.887565000001,431.99412300000085,0.0,0.0,-901.6926706749146
0x04b6d7e9,btc-updown-15m-1778786100,Down,updown_15m,1778786100,133,99.24812030075188,1292.67019394,5.629545602118426,0.010053119881038665,-1341.8072319999999,-1390.041004,1390.041004,1390.041004,48.233772000000044,0.0,0.0,-91.75131757776262
0x04b6d7e9,btc-updown-15m-1778787000,Up,updown_15m,1778787000,154,99.35064935064936,2486.4548161594694,11.989319028358931,0.14004899865484238,-2334.667382,-2562.2236199999998,2562.2236199999998,2562.2236199999998,227.55623799999967,0.0,227.55623799999967,163.6367041891731
0x04b6d7e9,btc-updown-15m-1778787900,Down,updown_15m,1778787900,43,83.72093023255815,289.19283140129215,1.765054096936078,0.6526669098125959,37.43,-523.8822379999999,0.0,0.0,37.43,-523.8822379999999,0.0,290.30521858841564
0x04b6d7e9,btc-updown-15m-1778821200,Up,updown_15m,1778821200,150,100.0,1449.2528465432447,7.301729705431484,0.0,-1237.871593,-1679.0611649999998,1679.0611649999998,1679.0611649999998,441.18957199999977,0.0,441.18957199999977,218.682983248676
0x04b6d7e9,btc-updown-15m-1778822100,Down,updown_15m,1778822100,177,98.30508474576271,1257.8975395589582,9.239819537925499,0.38752896118453917,-1332.272183,-1585.530416,1585.530416,1585.530416,253.25823300000002,0.0,0.0,-318.78058586430075
0x04b6d7e9,btc-updown-15m-1778823000,Down,updown_15m,1778823000,48,93.75,665.0874837866472,0.9861716827076332,0.3867811563396809,-523.1610069999999,-704.843606,704.843606,704.843606,181.6825990000001,0.0,0.0,-39.15673168698481
0x04b6d7e9,btc-updown-15m-1778823900,Down,updown_15m,1778823900,162,100.0,1793.4097197303804,11.664000433716833,0.0,-1938.5988880000002,-1963.8147390000001,1963.8147390000001,1963.8147390000001,25.21585099999993,0.0,0.0,-158.74101883590288
0x04b6d7e9,btc-updown-15m-1778824800,Up,updown_15m,1778824800,131,100.0,1410.7332149994033,5.148590958889267,0.0,-1062.472537,-1244.418416,1244.418416,1244.418416,181.94587899999988,0.0,181.94587899999988,353.4092689582926
0x04b6d7e9,btc-updown-15m-1778825700,Up,updown_15m,1778825700,220,100.0,2266.638731807224,13.658636972660329,0.0,-1928.1946540000001,-2547.8579290000002,2547.8579290000002,2547.8579290000002,619.6632750000001,0.0,619.6632750000001,352.1027147798836
0x04b6d7e9,btc-updown-15m-1778826600,Up,updown_15m,1778826600,226,94.24778761061947,2071.757278663612,11.535240227812938,1.9492976998768328,-1885.900618,-2138.013843,2138.013843,2138.013843,252.11322500000028,0.0,252.11322500000028,195.44260319154864
0x04b6d7e9,btc-updown-15m-1778838300,Up,updown_15m,1778838300,78,84.61538461538461,378.82829319839306,4.525976920458441,4.8979016013222205,-39.944963999999985,-1336.293249,1336.293249,1336.293249,1296.348285,0.0,1296.348285,338.5114045175292
0x04b6d7e9,btc-updown-15m-1778839200,Up,updown_15m,1778839200,206,100.0,2397.241745343835,13.111921059567173,0.0,-2220.3435280000003,-2487.183639,2487.183639,2487.183639,266.8401109999995,0.0,266.8401109999995,190.01013840340192
0x04b6d7e9,btc-updown-15m-1778840100,Down,updown_15m,1778840100,162,96.91358024691358,2608.1515662753623,12.980857729023985,2.7893879613674706,-2767.111497,-2525.9119689999998,2767.111497,2767.111497,0.0,241.1995280000001,241.1995280000001,92.43106704301908
0x04b6d7e9,btc-updown-15m-1778841000,Up,updown_15m,1778841000,136,100.0,1039.9543150909803,6.488040389798456,0.0,-1459.111742,-932.114568,1459.111742,1459.111742,0.0,526.9971740000001,0.0,-412.66938651922123
0x04b6d7e9,btc-updown-15m-1778841900,Up,updown_15m,1778841900,111,100.0,2283.480240732867,7.645760157859243,0.0,-2280.3143880000002,-2404.8582389999997,2404.8582389999997,2404.8582389999997,124.54385099999945,0.0,124.54385099999945,10.811612890725883
0x04b6d7e9,btc-updown-15m-1778842800,Down,updown_15m,1778842800,173,94.79768786127167,1595.379953220973,7.727133736888799,4.62000002503395,-2022.083477,-1397.401045,2022.083477,2022.083477,0.0,624.6824319999998,624.6824319999998,201.08604193282758
0x04b6d7e9,btc-updown-15m-1778843700,Down,updown_15m,1778843700,182,98.9010989010989,2541.7697313566855,10.148051446830717,0.30257499762177464,-2172.0724539999997,-2683.684694,2683.684694,2683.684694,511.6122400000004,0.0,0.0,-132.0694861941056
0x04b6d7e9,btc-updown-15m-1778844600,Up,updown_15m,1778844600,213,97.65258215962442,2604.4250884569005,15.516548870371892,0.5834940121587004,-2435.00448,-2513.342701,2513.342701,2513.342701,78.33822099999998,0.0,78.33822099999998,184.35366331511386
0x04b6d7e9,btc-updown-15m-1778845500,Down,updown_15m,1778845500,181,94.47513812154696,3600.4057961642466,16.352385507760044,1.9281156303574098,-3504.68488,-2868.297174,3504.68488,3504.68488,0.0,636.387706,636.387706,746.5328920416496
