Computing open books for all BTC slugs...
  features computed for 9123 unique BTC slugs

0x04b6d7e9: window=[1778767200,1778874000], engaged 265/476 slugs (55.7%)

0xeebde7a0: window=[1778806800,1778913300], engaged 458/475 slugs (96.4%)

0x89b5cdaa: window=[1778766300,1778913300], engaged 500/655 slugs (76.3%)

0xcfb103c3: window=[1778766900,1778913300], engaged 428/652 slugs (65.6%)

0xce25e214: window=[1778841900,1778909400], engaged 128/302 slugs (42.4%)

==========================================================================================
SLUG-SELECTION DISCRIMINATORS (sorted by |z| within wallet)
==========================================================================================

0x04b6d7e9:
  feature  z_score  diff_mean  eng_mean  nen_mean
 hour_utc     6.60     4.0860   14.2566   10.1706
 mid_diff     1.94     0.0007    0.0089    0.0082
 depth_dn    -0.88   -61.2130  827.3744  888.5874
 depth_up    -0.88   -61.2130  827.3744  888.5874
spread_dn     0.86     0.0032    0.0148    0.0116
spread_up     0.86     0.0032    0.0148    0.0116
 sum_asks     0.86     0.0032    1.0148    1.0116
 sum_bids    -0.86    -0.0032    0.9852    0.9884

0xeebde7a0:
  feature  z_score  diff_mean  eng_mean  nen_mean
 sum_bids    -1.31    -0.0032    0.9862    0.9894
 sum_asks     1.31     0.0032    1.0138    1.0106
spread_up     1.31     0.0032    0.0138    0.0106
spread_dn     1.31     0.0032    0.0138    0.0106
 depth_up     0.92    97.9837  771.9614  673.9777
 depth_dn     0.92    97.9837  771.9614  673.9777
 mid_diff    -0.86    -0.0010    0.0084    0.0094
 hour_utc     0.39     0.4879    9.9585    9.4706

0x89b5cdaa:
  feature  z_score  diff_mean  eng_mean  nen_mean
 depth_dn    -2.53  -179.0594  783.9288  962.9883
 depth_up    -2.53  -179.0594  783.9288  962.9883
 hour_utc    -1.46    -0.9619   11.5800   12.5419
 sum_bids    -0.98    -0.0021    0.9862    0.9883
spread_dn     0.98     0.0021    0.0138    0.0117
spread_up     0.98     0.0021    0.0138    0.0117
 sum_asks     0.98     0.0021    1.0138    1.0117
 mid_diff    -0.22    -0.0002    0.0081    0.0083

0xcfb103c3:
  feature    z_score  diff_mean  eng_mean  nen_mean
 depth_dn -17.860001 -1006.2307  477.9031 1484.1338
 depth_up -17.860001 -1006.2307  477.9031 1484.1338
 mid_diff   1.910000     0.0021    0.0089    0.0068
 sum_bids   1.430000     0.0064    0.9889    0.9825
spread_dn  -1.430000    -0.0064    0.0111    0.0175
spread_up  -1.430000    -0.0064    0.0111    0.0175
 sum_asks  -1.430000    -0.0064    1.0111    1.0175
 hour_utc  -1.250000    -0.7434   11.5467   12.2902

0xce25e214:
  feature  z_score  diff_mean  eng_mean  nen_mean
 depth_dn     5.75   345.6653  938.2772  592.6118
 depth_up     5.75   345.6653  938.2772  592.6118
 hour_utc     3.81     3.0013   14.2656   11.2644
 mid_diff     0.72     0.0019    0.0092    0.0073
spread_dn     0.67     0.0055    0.0183    0.0129
spread_up     0.67     0.0055    0.0183    0.0129
 sum_asks     0.67     0.0055    1.0183    1.0129
 sum_bids    -0.67    -0.0055    0.9817    0.9871
