wallet,n_engaged,n_unengaged,base_rate,lr_auc_mean,lr_auc_std,lr_apr_mean,lr_acc_mean,gb_auc_mean,gb_auc_std,gb_apr_mean,gb_acc_mean,prec@10pct,recall@10pct,lift@10pct,prec@20pct,recall@20pct,lift@20pct,prec@30pct,recall@30pct,lift@30pct,prec@50pct,recall@50pct,lift@50pct
0x04b6d7e9,229,167,0.5783,0.8046,0.0327,0.863,0.7122,0.984,0.0221,0.9826,0.957,0.9744,0.1659,1.6849,0.962,0.3319,1.6636,0.9661,0.4978,1.6706,0.9646,0.8341,1.6681
0x89b5cdaa,368,114,0.7635,0.5518,0.0881,0.7969,0.5831,0.6196,0.0672,0.8289,0.7365,0.8125,0.106,1.0642,0.7917,0.2065,1.0369,0.8056,0.3152,1.0551,0.8382,0.5489,1.0978
0xcfb103c3,324,158,0.6722,0.9238,0.0217,0.9387,0.9046,0.9436,0.0155,0.9545,0.9274,0.9375,0.1389,1.3947,0.9583,0.284,1.4257,0.9653,0.429,1.436,0.9502,0.7068,1.4136
0xce25e214,90,102,0.4688,0.8472,0.0592,0.8262,0.7601,0.947,0.0365,0.9391,0.8907,1.0,0.2111,2.1333,0.9737,0.4111,2.0772,0.9123,0.5778,1.9462,0.8646,0.9222,1.8444
