slug,outcome,n_fills,n_buys,n_sells,n_maker,n_taker,buy_shares,sell_shares,buy_usd,sell_usd,avg_buy_px,avg_sell_px,size_p50,size_p90,first_offset,last_offset,median_offset,n_unique_offsets,mc,asset_sym,slot_start_s,median_book_spread,wallet,span_s,fires_per_min,maker_pct,sell_pct
btc-updown-15m-1778771700,Down,176,15,161,161,15,251.14000000000001,3193.196499,138.05520284831522,1246.872589922776,0.5486666758855184,0.38552795174699395,6.172591499999999,41.773783,12,870,449.0,83,updown_15m,BTC,1778771700,0.010000020265579224,0x04b6d7e9,858,12.307692307692307,91.47727272727273,91.47727272727273
btc-updown-15m-1778771700,Up,131,0,131,131,0,0.0,3010.653571,0.0,1478.5630286442688,,0.45412213542989194,7.2,50.0,12,871,161.0,47,updown_15m,BTC,1778771700,0.009999990463256836,0x04b6d7e9,859,9.150174621653084,100.0,100.0
btc-updown-15m-1778772600,Down,118,0,118,118,0,0.0,3496.8628280000003,0.0,1955.5486453628914,,0.5392372888528695,11.854166,79.16935219999999,50,782,104.5,45,updown_15m,BTC,1778772600,0.009999990463256836,0x04b6d7e9,732,9.672131147540984,100.0,100.0
btc-updown-15m-1778772600,Up,111,36,75,75,36,821.0,4025.9802040000004,542.2100042700768,2141.646701552408,0.6575000037749609,0.40533333629369733,14.45,200.0,17,871,61.0,36,updown_15m,BTC,1778772600,0.009999990463256836,0x04b6d7e9,854,7.798594847775176,67.56756756756756,67.56756756756756
btc-updown-15m-1778773500,Down,111,0,111,111,0,0.0,2877.43392,0.0,652.8915490872412,,0.32324324345199373,5.0,80.044686,22,492,221.0,49,updown_15m,BTC,1778773500,0.009999997913837433,0x04b6d7e9,470,14.170212765957448,100.0,100.0
btc-updown-15m-1778773500,Up,54,0,54,54,0,0.0,3136.401507,0.0,2130.6446295811675,,0.71425925747112,20.0,200.0,6,494,320.0,29,updown_15m,BTC,1778773500,0.009999990463256836,0x04b6d7e9,488,6.639344262295082,100.0,100.0
btc-updown-15m-1778774400,Down,86,0,86,86,0,0.0,3115.0021599999995,0.0,544.6318101019835,,0.23732557749852193,10.5232165,130.0249685,79,690,348.0,45,updown_15m,BTC,1778774400,0.009999997913837433,0x04b6d7e9,611,8.445171849427169,100.0,100.0
btc-updown-15m-1778774400,Up,60,0,60,60,0,0.0,3315.581701,0.0,2800.032754185714,,0.8308333307504654,14.4375,200.0,46,702,445.0,36,updown_15m,BTC,1778774400,0.009999990463256836,0x04b6d7e9,656,5.48780487804878,100.0,100.0
btc-updown-15m-1778775300,Down,112,0,112,112,0,0.0,2393.049016,0.0,1579.498253626088,,0.693571429167475,12.0,42.76500000000001,133,808,387.5,41,updown_15m,BTC,1778775300,0.009999990463256836,0x04b6d7e9,675,9.955555555555556,100.0,100.0
btc-updown-15m-1778775300,Up,125,0,125,125,0,0.0,3464.4715300000003,0.0,1008.9658116438353,,0.29103999996185304,10.8,80.80000000000015,9,838,280.0,42,updown_15m,BTC,1778775300,0.009999997913837433,0x04b6d7e9,829,9.047044632086852,100.0,100.0
btc-updown-15m-1778776200,Down,158,0,158,158,0,0.0,4325.412488,0.0,3117.7557141735815,,0.6327848110017897,9.544629,54.84557810000016,78,768,209.0,60,updown_15m,BTC,1778776200,0.009999990463256836,0x04b6d7e9,690,13.73913043478261,100.0,100.0
btc-updown-15m-1778776200,Up,89,2,87,87,2,8.48,5357.351553,3.052800121307373,1940.957696470061,0.36000001430511475,0.3573563202530488,17.06,200.0,15,783,264.0,45,updown_15m,BTC,1778776200,0.009999990463256836,0x04b6d7e9,768,6.953125,97.75280898876404,97.75280898876404
